-- S08 NPDES informal: permit-state x agency x month extract, 1990 to today (time series, local)
ST | AGENCY | YM | N | ACTS | PERMITS
CT | State | 2020-08-01 | 2 | 2 | 2
UT | State | 2000-02-01 | 1 | 1 | 1
KY | State | 2004-11-01 | 6 | 6 | 6
NC | EPA | 2014-03-01 | 1 | 1 | 1
IN | State | 1995-08-01 | 2 | 2 | 2
WI | State | 1992-02-01 | 1 | 1 | 1
MA | EPA | 1997-01-01 | 1 | 1 | 1
GA | EPA | 2018-07-01 | 1 | 1 | 1
AK | EPA | 2002-02-01 | 2 | 2 | 2
ND | State | 2016-09-01 | 1 | 1 | 1
AK | State | 2010-06-01 | 3 | 3 | 3
NM | EPA | 1990-01-01 | 2 | 2 | 2
MI | State | 2002-02-01 | 2 | 2 | 2
AZ | State | 2020-03-01 | 3 | 3 | 2
WY | State | 2024-06-01 | 2 | 2 | 2
WY | State | 1999-10-01 | 2 | 2 | 2
MO | State | 1993-08-01 | 1 | 1 | 1
OH | State | 2020-04-01 | 2 | 2 | 2
UT | State | 1992-05-01 | 2 | 2 | 1
NM | EPA | 1993-10-01 | 3 | 3 | 3
LA | EPA | 2006-12-01 | 3 | 3 | 3
WI | State | 1996-05-01 | 2 | 2 | 2
MS | State | 1992-09-01 | 1 | 1 | 1
MO | State | 2000-12-01 | 1 | 1 | 1
NM | EPA | 2021-03-01 | 2 | 2 | 2
MN | State | 2014-11-01 | 1 | 1 | 1
RI | State | 2010-09-01 | 2 | 2 | 2
AK | EPA | 2006-02-01 | 2 | 2 | 2
ME | EPA | 2018-04-01 | 1 | 1 | 1
MA | EPA | 1997-11-01 | 2 | 2 | 2
HI | State | 2023-10-01 | 1 | 1 | 1
OR | State | 2000-09-01 | 1 | 1 | 1
ND | State | 2023-01-01 | 1 | 1 | 1
MS | State | 1995-10-01 | 2 | 2 | 2
WI | State | 2011-01-01 | 3 | 3 | 2
PR | EPA | 1999-05-01 | 1 | 1 | 1
NE | EPA | 2018-09-01 | 1 | 1 | 1
AK | State | 2009-07-01 | 1 | 1 | 1
NJ | State | 2010-03-01 | 1 | 1 | 1
UT | State | 1991-05-01 | 3 | 3 | 3
RI | State | 2005-08-01 | 2 | 2 | 2
IL | EPA | 2022-12-01 | 2 | 2 | 2
FL | State | 2013-08-01 | 1 | 1 | 1
HI | State | 2021-09-01 | 1 | 1 | 1
AL | State | 1992-02-01 | 1 | 1 | 1
MS | EPA | 2004-07-01 | 1 | 1 | 1
OH | State | 2006-11-01 | 3 | 3 | 2
CT | State | 2026-01-01 | 3 | 3 | 3
WY | State | 1999-12-01 | 1 | 1 | 1
TX | State | 1998-04-01 | 1 | 1 | 1
CA | State | 1993-10-01 | 1 | 1 | 1
IN | EPA | 2026-03-01 | 1 | 1 | 1
WA | EPA | 2008-05-01 | 2 | 2 | 2
NJ | State | 2014-05-01 | 1 | 1 | 1
MO | State | 2007-09-01 | 1 | 1 | 1
ID | EPA | 2007-12-01 | 2 | 2 | 2
SD | State | 1998-05-01 | 3 | 3 | 3
OR | EPA | 2008-10-01 | 1 | 1 | 1
WA | EPA | 2023-01-01 | 1 | 1 | 1
UT | State | 1991-04-01 | 1 | 1 | 1
(15121 rows; csv has all)
