-- S11 ICIS-Air: every operating facility with class, HPV status, carcinogen flags from the pollutants table, violations and formal actions since 2020 (extract; peer math local)
PGM_SYS_ID | REGISTRY_ID | STATE | CLS | CURRENT_HPV | FACILITY_NAME | CITY | NAICS_CODES | TOX | TOX_MAJOR_CAS | N_POLL | HPV20 | FRV20 | HPV20_OPEN | FORMAL20 | PEN20 | FORMAL_EVER
CT0000000901105057 | 110007079357 | CT | MIN | No Violation Identified | CARGILL ANIMAL NUTRITION DBA K& L FEED | FRANKLIN | 311119 |  |  | 0 |  |  |  |  |  | 
IALIN0001911301062 | 110002350036 | IA | SMI | No Violation Identified | ELECTRO-HYDRAULIC AUTOMATION | CEDAR RAPIDS | 333996 |  |  | 1 |  |  |  |  |  | 
MO0000002900100036 | 110042533274 | MO | MIN | No Violation Identified | A.T. STILL UNIVERSITY | KIRKSVILLE | 611310 |  |  | 1 |  |  |  |  |  | 
MD0000002451002740 | 110001799965 | MD | MIN | No Violation Identified | CAPT JERRYS CUSTOM T SHIRTS | BALTIMORE | 323113 |  |  | 1 |  |  |  |  |  | 
TX0000004877701819 | 110064844637 | TX | MIN | No Violation Identified | TRENCH BURNER BARTB-1 | TERRELL | 237990 325110 |  |  | 0 | 0 | 0 | 0 | 0 | 0.0 | 1
NY0000007312400034 | 110000616245 | NY | MIN | No Violation Identified | NIAGARA MOHAWK - SEVENTH NORTH SERVICE CENTER | LIVERPOOL | 221119 |  |  | 0 |  |  |  |  |  | 
VT0005000700063 | 110070379996 | VT | SMI | No Violation Identified | UNIVERSITY OF VERMONT (ENVIRONMENTAL SAFETY FACILITY) | BURLINGTON | 562112 |  |  | 1 |  |  |  |  |  | 
MD0000002400501621 | 110019853522 | MD | MIN | No Violation Identified | EXXON | PHOENIX | 447190 |  |  | 1 |  |  |  |  |  | 
MA0000002511901878 | 110012615937 | MA | SMI | No Violation Identified | VERIZON MASSACHUSETTS | CAMBRIDGE, TOWN OF | 517110 |  |  | 1 |  |  |  |  |  | 
GA000000130590112R | 110016674302 | GA | MIN | No Violation Identified | FIRESTONE NATURAL RUBBER LATEX CO | GEORGIA | 999999 |  |  | 1 |  |  |  |  |  | 
NM0000003501502927 | 110071667274 | NM | SMI | No Violation Identified | PHRIPPLE 17 FED COM EAST CTB | MALAGA | 211120 |  |  | 0 |  |  |  |  |  | 
MD0000002451002470 | 110022393471 | MD | MIN | No Violation Identified | EASTERN PETROLEUM CORPORATION | BALTIMORE | 447190 |  |  | 1 |  |  |  |  |  | 
