-- S15 SDWA time: links by primacy prefix x year of the related violation x related category x tier, plus health-based violation denominators by the same cut
PART | ST | Y | CAT | TIER | N | PN_VIOLS | SYSTEMS
links | NC | 2025 | TT | 2 | 1 | 1 | 1
links | RI | 2010 | MCL | 2 | 2 | 2 | 2
links | 07 | 2021 | TT | 2 | 1 | 1 | 1
links | VT | 2016 | MCL | 1 | 1 | 1 | 1
links | NY | 2009 | MCL | 2 | 1 | 1 | 1
links | AL | 2022 | MON | 3 | 1 | 1 | 1
links | 10 | 2009 | MCL | 1 | 1 | 1 | 1
links | AZ | 2016 | ? | ? | 7 | 1 | 1
links | TX | 2012 | TT | 2 | 1 | 1 | 1
links | ME | 2021 | ? | ? | 1 | 1 | 1
links | VA | 2016 | MCL | 1 | 1 | 1 | 1
links | AK | 2003 | MR | 3 | 21 | 1 | 1
links | 06 | 2017 | ? | ? | 6 | 1 | 1
links | NJ | 2008 | ? | ? | 1 | 1 | 1
links | OK | 2004 | MR | 3 | 9 | 1 | 1
links | AZ | 2026 | TT | 1 | 1 | 1 | 1
links | KY | 2019 | MR | 3 | 1 | 1 | 1
links | GA | 2019 | MCL | 1 | 1 | 1 | 1
links | NH | 2004 | MCL | 1 | 1 | 1 | 1
links | NM | 1992 | MR | 3 | 1 | 1 | 1
links | PA | 2015 | MRDL | 2 | 1 | 1 | 1
links | NM | 2009 | Other | 3 | 1 | 1 | 1
links | NY | 2008 | MCL | 2 | 1 | 1 | 1
links | IL | 2018 | ? | ? | 1 | 1 | 1
links | WV | 1999 | MR | 3 | 1 | 1 | 1
links | MO | 2021 | MCL | 1 | 1 | 1 | 1
links | AL | 2021 | ? | ? | 1 | 1 | 1
links | TN | 2006 | MR | 3 | 1 | 1 | 1
links | NJ | 2006 | MCL | 2 | 1 | 1 | 1
links | AS | 2025 | TT | 2 | 1 | 1 | 1
links | VA | 2026 | TT | 2 | 1 | 1 | 1
links | NY | 2024 | TT | 2 | 1 | 1 | 1
links | SD | 2016 | MR | 3 | 1 | 1 | 1
links | IN | 2023 | Other | 3 | 1 | 1 | 1
links | NC | 2003 | TT | 2 | 1 | 1 | 1
links | AL | 2019 | MCL | 2 | 1 | 1 | 1
links | CO | 2015 | MR | 3 | 14 | 1 | 1
links | NC | 2018 | TT | 1 | 1 | 1 | 1
links | CA | 2017 | TT | 2 | 1 | 1 | 1
links | TX | 2006 | ? | ? | 6 | 1 | 1
links | AL | 2025 | MRDL | 1 | 1 | 1 | 1
links | NJ | 2005 | MCL | 1 | 1 | 1 | 1
links | AL | 2006 | MR | 3 | 1 | 1 | 1
links | IL | 2016 | RPT | 3 | 1 | 1 | 1
links | 09 | 2023 | MR | 3 | 1 | 1 | 1
links | CA | 2008 | MCL | 2 | 4 | 1 | 1
links | CT | 2016 | MCL | 1 | 1 | 1 | 1
links | RI | 2015 | TT | 2 | 1 | 1 | 1
links | 01 | 2018 | MCL | 2 | 1 | 1 | 1
links | MI | 2014 | MCL | 2 | 2 | 1 | 1
links | NY | 2014 | ? | ? | 22 | 1 | 1
links | 02 | 2019 | MON | 3 | 1 | 1 | 1
links | CT | 2026 | MCL | 1 | 1 | 1 | 1
links | WV | 2015 | Other | 3 | 1 | 1 | 1
links | NY | 2021 | ? | ? | 2 | 2 | 1
links | MA | 2017 | MR | 3 | 1 | 1 | 1
links | WV | 2003 | Other | 3 | 1 | 1 | 1
links | IA | 2023 | Other | 3 | 1 | 1 | 1
links | MA | 2007 | ? | ? | 1 | 1 | 1
links | SD | 2021 | TT | 2 | 1 | 1 | 1
(9038 rows; csv has all)
