-- S18 ICIS-Air informal actions by state x year x agency flag, 2016 on: does Missouri's air side drop the way its water letters did?
ST | WHO | Y | N | FACILITIES
CA | L | 2019 | 652 | 193
OK | S | 2023 | 207 | 198
CA | L | 2024 | 581 | 139
MO | S | 2020 | 53 | 46
WA | L | 2016 | 191 | 86
WA | L | 2018 | 204 | 88
LA | S | 2023 | 140 | 126
PR | S | 2017 | 25 | 25
AK | S | 2021 | 115 | 87
PA | S | 2016 | 258 | 217
PA | S | 2020 | 259 | 228
NY | S | 2017 | 55 | 24
SC | S | 2019 | 52 | 52
NH | S | 2022 | 55 | 53
TX | S | 2024 | 25 | 19
AR | S | 2022 | 75 | 69
PA | L | 2025 | 59 | 52
NM | S | 2024 | 23 | 90
TN | L | 2017 | 10 | 10
MN | S | 2019 | 72 | 70
TN | S | 2022 | 94 | 70
OH | S | 2021 | 266 | 225
MO | S | 2016 | 10 | 10
IA | S | 2019 | 51 | 43
SC | S | 2026 | 59 | 59
NC | S | 2018 | 198 | 170
KY | S | 2016 | 78 | 50
AR | S | 2024 | 82 | 75
LA | S | 2019 | 260 | 188
MS | S | 2017 | 50 | 45
OK | S | 2018 | 77 | 75
CO | S | 2026 | 157 | 152
NH | S | 2021 | 23 | 23
AK | S | 2017 | 98 | 75
OH | S | 2026 | 104 | 99
NE | S | 2017 | 52 | 48
IN | S | 2024 | 152 | 138
HI | S | 2016 | 9 | 8
MA | S | 2016 | 108 | 108
TN | S | 2026 | 63 | 58
CA | L | 2018 | 503 | 189
TX | E | 2023 | 37 | 213
IL | S | 2016 | 163 | 162
MN | S | 2023 | 62 | 57
SC | S | 2022 | 96 | 92
AK | S | 2020 | 82 | 66
VT | S | 2018 | 42 | 36
MA | S | 2018 | 83 | 81
PA | L | 2020 | 42 | 34
FL | S | 2017 | 31 | 29
RI | S | 2020 | 7 | 7
HI | S | 2022 | 6 | 6
NC | L | 2021 | 10 | 8
IL | E | 2019 | 8 | 8
DC | S | 2021 | 3 | 3
OR | S | 2024 | 21 | 14
KY | L | 2019 | 9 | 6
IL | E | 2023 | 24 | 24
NY | S | 2022 | 36 | 18
OK | S | 2020 | 87 | 80
(858 rows; csv has all)
