-- S19 NPDES same-violation cohort: permits with effluent violations in 2+ quarters of a year, and the share that got any state informal action, or any formal action, that same year; every state, 2018-2025
ST | Y | PERMITS_2PLUS_VIOL_Q | GOT_STATE_LETTER | GOT_FORMAL | GOT_NEITHER | MED_VIOL_Q
NM | 2018 | 29 | 0 | 16 | 13 | 3.000
AK | 2025 | 69 | 13 | 2 | 54 | 3.000
NV | 2025 | 16 | 0 | 0 | 16 | 3.000
OK | 2018 | 187 | 57 | 89 | 69 | 3.000
LA | 2019 | 1379 | 199 | 203 | 1044 | 3.000
OR | 2024 | 36 | 15 | 10 | 15 | 3.000
LA | 2025 | 1523 | 245 | 125 | 1223 | 2.000
CT | 2023 | 100 | 23 | 0 | 77 | 3.000
IL | 2022 | 527 | 81 | 54 | 425 | 3.000
KY | 2021 | 482 | 455 | 44 | 27 | 3.000
DC | 2024 | 3 | 0 | 0 | 3 | 3.000
OR | 2021 | 56 | 33 | 10 | 22 | 2.500
WA | 2024 | 390 | 35 | 16 | 343 | 2.000
LA | 2021 | 1507 | 323 | 113 | 1143 | 2.000
OK | 2021 | 201 | 51 | 65 | 107 | 3.000
NM | 2022 | 29 | 0 | 10 | 19 | 4.000
OH | 2021 | 743 | 101 | 17 | 627 | 2.000
UT | 2023 | 32 | 3 | 4 | 25 | 2.000
NN | 2022 | 6 | 0 | 0 | 6 | 3.500
MA | 2019 | 124 | 0 | 12 | 112 | 3.000
TX | 2018 | 719 | 310 | 74 | 385 | 3.000
GA | 2022 | 194 | 124 | 28 | 52 | 2.000
MP | 2023 | 2 | 0 | 0 | 2 | 3.000
IA | 2020 | 245 | 59 | 3 | 183 | 3.000
TN | 2024 | 234 | 89 | 11 | 143 | 3.000
MA | 2025 | 152 | 0 | 4 | 148 | 3.000
DC | 2021 | 3 | 0 | 1 | 2 | 4.000
SR | 2022 | 2 | 0 | 0 | 2 | 3.500
ND | 2023 | 30 | 5 | 1 | 24 | 2.000
VA | 2018 | 157 | 31 | 12 | 122 | 2.000
PR | 2024 | 108 | 0 | 0 | 108 | 3.000
MO | 2022 | 727 | 60 | 22 | 647 | 3.000
MD | 2025 | 138 | 0 | 5 | 133 | 2.000
PA | 2025 | 868 | 233 | 26 | 623 | 2.000
KS | 2025 | 135 | 0 | 9 | 126 | 3.000
HI | 2023 | 8 | 1 | 1 | 6 | 2.500
WV | 2024 | 642 | 0 | 34 | 608 | 3.000
MI | 2019 | 138 | 64 | 3 | 74 | 2.000
MS | 2019 | 112 | 99 | 14 | 12 | 3.000
VI | 2022 | 37 | 0 | 2 | 35 | 4.000
OK | 2022 | 175 | 40 | 94 | 67 | 3.000
WY | 2023 | 56 | 10 | 1 | 46 | 3.000
NN | 2018 | 3 | 0 | 0 | 3 | 4.000
ID | 2022 | 48 | 0 | 3 | 45 | 3.000
RI | 2023 | 15 | 12 | 1 | 3 | 2.000
VA | 2024 | 200 | 142 | 14 | 53 | 2.000
CO | 2021 | 217 | 0 | 5 | 212 | 3.000
WA | 2020 | 248 | 27 | 15 | 208 | 2.000
NV | 2020 | 15 | 0 | 0 | 15 | 3.000
NM | 2020 | 34 | 0 | 13 | 21 | 3.500
PA | 2023 | 826 | 230 | 44 | 573 | 2.000
ND | 2022 | 28 | 3 | 0 | 25 | 2.000
MD | 2021 | 137 | 0 | 5 | 132 | 3.000
AK | 2020 | 69 | 14 | 1 | 55 | 3.000
NY | 2025 | 456 | 105 | 44 | 328 | 3.000
NE | 2022 | 74 | 21 | 1 | 52 | 2.000
OR | 2019 | 22 | 7 | 5 | 11 | 2.500
AS | 2023 | 1 | 0 | 0 | 1 | 2.000
SR | 2018 | 2 | 0 | 0 | 2 | 4.000
OH | 2022 | 770 | 115 | 16 | 640 | 3.000
(476 rows; csv has all)
