-- S21 NPDES Missouri eyeball: permits with effluent violations in 6+ of 8 quarters in 2020-21 or in 2024-25, their state letters and formal actions in each window, and names
NPDES_ID | VQ_2021 | VQ_2425 | NVIOL_2425 | INF_2021 | INF_2425 | LAST_INF | FO_2021 | FO_2425 | LAST_FORMAL | FACILITY_NAME | CITY | FTYPE
MO0104256 | 8 | 8 | 193 | 0 | 0 | 2006-02-23 | 0 | 0 |  | LEADWOOD WWTP | LEADWOOD | MWD
MO0098752 | 8 | 8 | 190 | 0 | 0 | 2002-04-26 | 0 | 0 |  | MADISON MINE | FREDERICKTOWN | POF
MO0107719 | 8 | 8 | 142 | 0 | 0 | 2017-05-25 | 0 | 0 |  | CENTER WWTF | CENTER | MWD
MO0109819 | 8 | 8 | 135 | 0 | 0 | 2022-08-19 | 0 | 0 | 2023-06-14 | BASSWOOD RESORT WWTP | PLATTE CITY | POF
MO0048178 | 5 | 8 | 134 | 0 | 0 |  | 0 | 0 | 1989-08-17 | LILBOURN WWTP | LILBOURN | MWD
MO0035742 | 8 | 8 | 107 | 0 | 0 |  | 0 | 0 |  | LAKE FOREST CLEAN WATER DISTRICT WWTF | STE. GENEVIEVE | MWD
MO0118664 | 0 | 8 | 103 | 0 | 0 |  | 0 | 0 |  | LAKESIDE COMMUNITY | ROLLA | POF
MO0023027 | 8 | 8 | 99 | 1 | 0 | 2020-10-19 | 0 | 1 | 2024-03-27 | SEDALIA NORTH WWTP | SEDALIA | MWD
MO0088854 | 8 | 8 | 95 | 3 | 0 | 2020-08-21 | 0 | 0 | 2022-05-19 | SELMA VILLAGE WWTF | CRYSTAL CITY | MWD
MO0126195 | 7 | 8 | 94 | 1 | 0 | 2020-12-21 | 0 | 0 |  | MORLEY WWTF | MORLEY | MWD
MO0134791 | 8 | 8 | 92 | 0 | 0 | 2018-04-06 | 1 | 0 | 2021-06-30 | EMORY CREEK RANCH WWTP | BRANSON | MWD
MO0022969 | 8 | 8 | 92 | 0 | 0 | 2023-12-12 | 0 | 1 | 2024-05-10 | SKIDMORE WWTF | SKIDMORE | MWD
MO0023213 | 8 | 8 | 91 | 0 | 0 | 1989-09-22 | 1 | 0 | 2021-11-22 | DEXTER EAST WWTF | DEXTER | MWD
MO0122581 | 8 | 8 | 89 | 0 | 0 |  | 0 | 1 | 2025-02-27 | IRON MOUNTAIN LAKE WWTF | IRON MOUNTAIN | MWD
MO0030821 | 6 | 8 | 83 | 0 | 0 | 1988-01-20 | 0 | 0 | 2022-08-24 | MOREHOUSE WWTF | MOREHOUSE | MWD
MO0025275 | 5 | 8 | 79 | 0 | 1 | 2024-05-17 | 0 | 0 |  | PORTAGEVILLE WWTP | PORTAGEVILLE | MWD
MO0105856 | 8 | 8 | 77 | 0 | 0 | 2019-11-21 | 0 | 0 | 2022-09-27 | YES BYRNES MILL, LLC WWTF | HOUSE SPRINGS | POF
MO0100862 | 7 | 8 | 74 | 0 | 0 | 1994-12-28 | 0 | 1 | 2024-11-01 | MIDWAY AUTO/TRUCK PLAZA WWTF | COLUMBIA | POF
MO0050326 | 6 | 8 | 74 | 0 | 0 | 2023-10-06 | 0 | 1 | 2025-08-15 | BLOOMFIELD WWTF | BLOOMFIELD | MWD
MO0116246 | 8 | 8 | 70 | 0 | 0 | 2019-06-27 | 0 | 1 | 2024-01-31 | MARQUAND WWTP | MARQUAND | MWD
MO0098981 | 2 | 8 | 69 | 0 | 0 |  | 0 | 0 |  | GRAY SUMMIT WWTF | GRAY SUMMIT | MWD
MO0096881 | 7 | 8 | 69 | 0 | 0 | 1988-06-01 | 0 | 0 | 2023-10-05 | R.D. SEWER CO., LLC WWTP | DEXTER | POF
MO0040185 | 8 | 8 | 66 | 2 | 0 | 2021-04-16 | 0 | 0 | 2010-11-28 | CENTER CREEK 201 WWTP | WEBB CITY | MWD
MO0039900 | 8 | 8 | 62 | 2 | 0 | 2021-04-30 | 0 | 1 | 2024-03-04 | PARMA WWTF | PARMA | MWD
MOG940250 | 0 | 8 | 61 | 0 | 0 |  | 0 | 0 |  | EXPRESS MART I-55 MOTOR PLAZA | PEVELY | POF
MO0054691 | 8 | 8 | 60 | 0 | 0 |  | 0 | 0 | 1988-08-26 | ELSBERRY WWTF | ELSBERRY | MWD
MO0043206 | 8 | 8 | 58 | 1 | 0 | 2020-09-17 | 0 | 0 | 1989-09-19 | DEXTER WEST WWTP | DEXTER | MWD
MO0114910 | 8 | 8 | 57 | 0 | 0 |  | 0 | 0 |  | LABADIE WWTF | LABADIE | MWD
MO0109177 | 8 | 8 | 56 | 0 | 0 |  | 0 | 0 |  | BEAUTY VIEW ACRES WWTF | GRAY SUMMIT | MWD
MO0025828 | 5 | 8 | 55 | 0 | 0 | 2019-09-13 | 0 | 0 | 2023-07-07 | MAWC, SMITHTON WWTF | SMITHTON | POF
MO0035700 | 6 | 8 | 54 | 0 | 0 |  | 1 | 0 | 2021-03-30 | TERRE DULAC NORTH THREE CELL LAGOON | BONNE TERRE | POF
MO0048666 | 6 | 8 | 54 | 0 | 0 |  | 0 | 0 | 1992-02-05 | SENATH WWTF | SENATH | MWD
MO0044202 | 8 | 8 | 53 | 0 | 0 | 1999-09-14 | 0 | 0 | 2022-09-29 | JASPER WWTF | JASPER | MWD
MO0112623 | 5 | 8 | 53 | 1 | 0 | 2021-12-27 | 0 | 0 |  | ADRIAN WASTEWATER LAGOON | ADRIAN | MWD
MO0115118 | 7 | 8 | 52 | 0 | 0 |  | 0 | 0 |  | KELSO WWTF | KELSO | MWD
MO0056928 | 8 | 8 | 51 | 0 | 0 |  | 0 | 1 | 2025-01-15 | SWAN LAKE ESTATES WWTP | BATES CITY | POF
MO0055182 | 8 | 8 | 50 | 1 | 0 | 2020-11-10 | 0 | 0 |  | BENTON WWTF | BENTON | MWD
MO0093432 | 7 | 8 | 49 | 1 | 1 | 2024-08-05 | 0 | 0 |  | GREENVILLE WWTF | GREENVILLE | MWD
MO0101567 | 5 | 8 | 49 | 0 | 0 | 1990-04-01 | 0 | 0 | 1990-04-01 | SEDALIA SOUTHEAST WWTP | SEDALIA | MWD
MO0021750 | 7 | 8 | 49 | 0 | 0 | 1988-07-01 | 1 | 1 | 2025-04-07 | EAST PRAIRIE WWTF | EAST PRAIRIE | CTG
MO0031674 | 8 | 8 | 48 | 1 | 0 | 2021-12-15 | 0 | 0 |  | CONWAY WWTF | CONWAY | MWD
MO0102181 | 8 | 8 | 48 | 0 | 0 |  | 0 | 1 | 2024-05-13 | DUDLEY WWTP | DUDLEY | MWD
MO0022080 | 8 | 8 | 47 | 0 | 0 |  | 0 | 0 | 2026-03-19 | HAMILTON NE WWTF | HAMILTON | MWD
MO0100111 | 2 | 8 | 47 | 0 | 0 | 2005-09-14 | 0 | 0 | 2019-02-05 | BERTRAND WWTF | BERTRAND | MWD
MO0120219 | 5 | 8 | 46 | 0 | 0 |  | 0 | 0 |  | BRILEYS SEWER ASSOCIATION WWTF | MOSCOW MILLS | POF
MO0055395 | 7 | 8 | 44 | 0 | 1 | 2025-07-23 | 0 | 0 | 1989-09-22 | BLAND WWTF | BLAND | MWD
MO0023019 | 4 | 8 | 44 | 0 | 0 | 1997-01-21 | 0 | 1 | 2024-03-24 | SEDALIA CENTRAL WWTP | SEDALIA | MWD
MO0022896 | 4 | 8 | 44 | 0 | 0 |  | 0 | 0 | 1988-09-21 | ELLINGTON WWTF | ELLINGTON | MWD
MO0027600 | 6 | 8 | 42 | 0 | 0 |  | 0 | 0 | 1989-04-06 | GRANT CITY WEST SANITARY LAGOON | GRANT CITY | MWD
MO0080594 | 7 | 8 | 41 | 0 | 0 |  | 0 | 0 |  | BELL CITY WWTF | BELL CITY | MWD
MO0112569 | 4 | 8 | 41 | 0 | 0 | 2017-09-28 | 1 | 0 | 2021-12-14 | SARATOGA SUBDIVISION WWTF | FULTON | MWD
MO0102679 | 1 | 8 | 41 | 1 | 0 | 2020-02-03 | 0 | 0 |  | ROGERSVILLE WWTP | ROGERSVILLE | MWD
MO0021105 | 8 | 8 | 39 | 0 | 0 | 2022-02-09 | 0 | 0 |  | APPLETON CITY WWTF | APPLETON CITY | MWD
MO0055026 | 7 | 8 | 38 | 0 | 0 |  | 0 | 0 |  | PARKWOOD LAKE ESTATES MHP WEST WWTF | CAPE GIRARDEAU | POF
MO0041149 | 6 | 8 | 38 | 0 | 0 | 1985-08-07 | 1 | 0 | 2021-03-10 | MILLER WWTF | MILLER | MWD
MO0130249 | 8 | 8 | 37 | 0 | 0 |  | 0 | 0 | 2013-02-27 | PCSD NO. 1 NORTHERN HEIGHTS ESTATES WWTP | WAYNESVILLE | MWD
MO0058106 | 3 | 8 | 37 | 0 | 0 | 1989-05-10 | 0 | 1 | 2025-10-28 | CAPE ROCK HILLS APARTMENTS WWTF | CAPE GIRARDEAU | POF
MO0112551 | 7 | 8 | 36 | 0 | 0 |  | 0 | 0 | 2023-03-25 | CHRISTOPHER #3 WWTF | FULTON | MWD
MO0022918 | 4 | 8 | 36 | 0 | 0 | 1987-07-15 | 0 | 0 | 2022-02-25 | MAWC, ORRICK WWTF | ORRICK | MWD
