-- S23 SDWA PN assoc trap check: the systems with the most link rows, and how many distinct PN violations and related violations sit behind them
PWSID | LINKS | PN_VIOLS | RELATED_VIOLS | B0 | B1 | CODES | MAX_RELATED_PER_PN
WV3305535 | 3342 | 583 | 3342 | 1998-01-01 | 2020-07-02 | 27,52,45,25,12,5A,03,23,24,3A,31 | 47
WV3305527 | 2779 | 802 | 2779 | 2001-01-01 | 2025-01-01 | 23,03,12,3A,52,45,27,31,5A | 26
WV3305536 | 2314 | 398 | 2314 | 2002-01-01 | 2015-10-01 | 23,03,52,12,27,31 | 403
WV3302451 | 2249 | 439 | 2249 | 2002-01-01 | 2019-07-01 | 23,27,25,3A,12,5A,03,31,22,52,24 | 27
WV3301040 | 2153 | 424 | 2153 | 2003-07-01 | 2017-05-01 | 52,38,12,25,24,23,5A,3A,03,27,36 | 48
WV3302851 | 1742 | 455 | 1742 | 2002-01-01 | 2021-09-01 | 5A,23,24,26,3A,45,03,2A,52,27,25,31 | 21
WV3302476 | 1559 | 289 | 1559 | 2002-01-01 | 2014-07-01 | 03,12,31,27,23,52 | 26
TX1520188 | 1359 | 449 | 1359 | 2003-01-01 | 2025-01-01 | 27,03,52,23,02 | 63
WV3302828 | 1310 | 345 | 1310 | 2002-01-01 | 2025-09-27 | 27,51,41,52,2A,03,31,2B,1A,23,12,3A,45 | 21
WV3302814 | 1275 | 650 | 1275 | 2002-01-01 | 2025-01-01 | 23,45,03,5A,52,12,3A,27,31,20 | 21
TX0710158 | 1107 | 245 | 1107 | 2003-11-01 | 2025-03-01 | 4G,23,51,2E,27,3A,03,52 | 21
PA2450418 | 993 | 993 | 993 | 2012-10-01 | 2025-01-01 | 22,27,57,24,3A,2A,34,03,23 | 1
PA2400148 | 880 | 880 | 880 | 2006-11-01 | 2011-08-01 | 03,23,31,51 | 1
MS0300156 | 854 | 2 | 526 | 2008-10-01 | 2011-10-01 | 03 | 454
MS0480001 | 772 | 2 | 484 | 2008-10-01 | 2011-10-01 | 03 | 396
NC0111146 | 738 | 74 | 738 | 2005-01-01 | 2023-01-01 | 03,52,27,3A,23,24 | 26
PA2520092 | 652 | 652 | 652 | 2020-01-01 | 2024-07-01 | 03 | 1
TX1700032 | 646 | 87 | 646 | 2005-06-01 | 2024-10-17 | 52,2E,3A,23,03,34,27,4G | 21
TX0100104 | 643 | 152 | 643 | 2013-04-01 | 2021-05-01 | 23,25,27,3A,03,52,51,2A,34 | 21
TX1520198 | 642 | 348 | 642 | 2006-01-01 | 2025-10-01 | 24,23,02,2E,3A,52,4G,26,27,03,25 | 21
OK4002654 | 617 | 104 | 617 | 2020-01-01 | 2024-03-01 | 02,3A,51,03 | 21
TX0150156 | 592 | 300 | 591 | 2003-04-01 | 2025-01-01 | 27,03,23,2E,3A,51,52 | 21
MS0240049 | 590 | 2 | 422 | 2008-10-01 | 2011-10-01 | 03 | 350
TX2400043 | 589 | 196 | 589 | 2006-01-01 | 2025-01-01 | 27,3A,52,03,51,23,34 | 21
WV3302928 | 574 | 69 | 574 | 2013-01-01 | 2021-12-14 | 52,36,31,45,27,03,46,43,38 | 21
(25 rows; csv has all)
