-- S24 NPDES dull-explanation test: are the "missing" recent letters in MO, CA, IA, AR sitting in the table with blank or junk dates? Date bucket x state, with activity-ID ranges (IDs rise over time)
ST | AGENCY | BUCKET | N | ID_MIN | ID_MAX | ID_GE_3604E6
AR | EPA | 1990-2022 | 587 | 1200066287 | 3601490620 | 0
AR | EPA | 2023+ | 28 | 3603563512 | 3603682826 | 0
AR | EPA | null | 2 | 3400107612 | 3400107656 | 0
AR | EPA | pre1990 | 624 | 1200066182 | 1200078956 | 0
AR | State | 1990-2022 | 8327 | 1200066119 | 3603456808 | 0
AR | State | 2023+ | 85 | 3603519090 | 3604960413 | 42
AR | State | null | 31 | 1400001049 | 1800013821 | 0
AR | State | pre1990 | 605 | 1200066396 | 1200078993 | 0
CA | EPA | 1990-2022 | 17 | 87573 | 3603937789 | 0
CA | EPA | pre1990 | 2 | 1200082316 | 1200082316 | 0
CA | State | 1990-2022 | 18840 | 1200079131 | 3604509055 | 38
CA | State | 2023+ | 3801 | 3603473852 | 3604514861 | 2876
IA | EPA | 1990-2022 | 6 | 3200198533 | 3601686398 | 0
IA | State | 1990-2022 | 9864 | 3200192524 | 3604416477 | 2
IA | State | 2023+ | 529 | 3603328890 | 3604416476 | 205
IA | State | null | 513 | 3400028085 | 3604290949 | 13
IA | State | pre1990 | 6 | 3200198167 | 3200199458 | 0
MO | EPA | 1990-2022 | 15 | 87762 | 2400293625 | 0
MO | EPA | pre1990 | 1 | 2400292362 | 2400292362 | 0
MO | State | 1990-2022 | 2811 | 2400291983 | 3604957107 | 5
MO | State | 2023+ | 568 | 3601914349 | 3604995073 | 134
MO | State | null | 1508 | 3601914006 | 3605027627 | 563
MO | State | pre1990 | 127 | 2400291978 | 2400293462 | 0
(23 rows; csv has all)
