-- S04 GHGRP emission: year x gas, rows, facilities, duplicate keys, CO2e sum
REPORTING_YEAR | GAS_ID | N | FAC | KEYS_FSS | CO2E_NULL | CO2E | CO2E_MAX | SECTORS | RUNS
2010 | 1 | 6275 | 5984 | 6242 | 43 | 5558805181.5786186720 | 75811031.0000000000 | 12 | 1
2010 | 2 | 6183 | 6171 | 6183 | 0 | 108039879.6452288455 | 974909.2500000000 | 9 | 1
2010 | 3 | 5246 | 5215 | 5246 | 0 | 29291907.4350170284 | 3861517.0780000000 | 9 | 1
2010 | 8 | 666 | 666 | 666 | 0 | 153868088.1660210000 | 2645831.0000000000 | 9 | 1
2010 | 10 | 5 | 5 | 5 | 0 | 8034751.2800000000 | 4130259.6800000000 | 1 | 1
2010 | 11 | 9 | 9 | 9 | 0 | 1859915.4800000000 | 707860.0000000000 | 1 | 1
2010 |  | 194 | 166 | 193 | 194 |  |  | 2 | 1
2011 | 1 | 7520 | 7002 | 7520 | 135 | 5835725765.6032890878 | 80841904.0000000000 | 13 | 1
2011 | 2 | 7768 | 7415 | 7768 | 0 | 235326034.4788291698 | 5329690.7500000000 | 9 | 1
2011 | 3 | 6132 | 6096 | 6132 | 0 | 34047013.0964381158 | 9709846.3460000000 | 9 | 1
2011 | 6 | 176 | 176 | 176 | 0 | 6089910.8336712000 | 512854.0800000000 | 3 | 1
2011 | 8 | 719 | 719 | 719 | 0 | 156439192.6970700000 | 2390617.0000000000 | 9 | 1
2011 | 9 | 51 | 51 | 51 | 0 | 1155088.4811224000 | 394353.0000000000 | 2 | 1
2011 | 10 | 70 | 66 | 70 | 0 | 13728321.0866388600 | 5958835.2000000000 | 3 | 1
2011 | 11 | 73 | 73 | 73 | 0 | 8302557.6516005400 | 1096697.3750000000 | 3 | 1
2011 | 12 | 19 | 19 | 19 | 0 | 16883.5678474500 | 5007.5609000000 | 2 | 1
2011 | 13 | 6 | 6 | 6 | 0 | 40485.6703320000 | 17579.2703320000 | 1 | 1
2011 | 15 | 29 | 29 | 29 | 0 | 226.2895787000 | 66.8100000000 | 3 | 1
2011 | 16 | 53 | 53 | 53 | 0 | 1484068.6925287000 | 381774.9941287000 | 2 | 1
2011 |  | 274 | 219 | 274 | 274 |  |  | 3 | 1
2012 | 1 | 7902 | 7325 | 7901 | 215 | 6352112709.1262883611 | 85895740.8000000000 | 14 | 1
2012 | 2 | 7969 | 7621 | 7969 | 0 | 229196952.1625162585 | 4628301.2500000000 | 9 | 1
2012 | 3 | 6329 | 6294 | 6329 | 0 | 27885252.1833246302 | 4610880.6920000000 | 9 | 1
2012 | 6 | 177 | 177 | 177 | 0 | 5023156.9200000000 | 506978.5200000000 | 3 | 1
2012 | 8 | 724 | 724 | 724 | 0 | 159262066.0333370000 | 2486292.0000000000 | 9 | 1
2012 | 9 | 53 | 53 | 53 | 0 | 1097280.8800000000 | 359755.2000000000 | 2 | 1
2012 | 10 | 70 | 66 | 70 | 0 | 10765411.3063000000 | 3315200.0000000000 | 3 | 1
2012 | 11 | 72 | 72 | 72 | 0 | 7513708.2290000000 | 825213.7080000000 | 3 | 1
2012 | 12 | 20 | 20 | 20 | 0 | 13603.8985000000 | 4882.3340000000 | 2 | 1
2012 | 13 | 6 | 6 | 6 | 0 | 38550.8000000000 | 16475.6000000000 | 1 | 1
2012 | 15 | 28 | 28 | 28 | 0 | 165.0766273000 | 55.5300000000 | 3 | 1
2012 | 16 | 54 | 54 | 54 | 0 | 1529055.7404000000 | 478600.2600000000 | 2 | 1
2012 |  | 295 | 233 | 295 | 295 |  |  | 3 | 1
2013 | 1 | 8025 | 7444 | 8025 | 223 | 6661896250.7311717000 | 85350308.8928677000 | 14 | 1
2013 | 2 | 8053 | 7709 | 8053 | 0 | 223606139.2929474900 | 5845810.2500000000 | 9 | 1
2013 | 3 | 6435 | 6397 | 6435 | 0 | 25524892.2516372480 | 3407605.2660000000 | 9 | 1
2013 | 6 | 178 | 178 | 178 | 0 | 4883520.6000000000 | 426360.0000000000 | 3 | 1
2013 | 8 | 750 | 750 | 750 | 0 | 160007251.1000000000 | 2401265.0000000000 | 9 | 1
2013 | 9 | 54 | 54 | 54 | 0 | 875624.4800000000 | 250822.4400000000 | 2 | 1
2013 | 10 | 70 | 67 | 70 | 0 | 9087431.6166000000 | 4087552.8000000000 | 3 | 1
2013 | 11 | 75 | 75 | 75 | 0 | 7715130.1383480000 | 1092765.2910000000 | 3 | 1
2013 | 12 | 23 | 23 | 23 | 0 | 14340.1748000000 | 4734.1026000000 | 2 | 1
2013 | 13 | 8 | 8 | 8 | 0 | 42358.6030000000 | 19752.6000000000 | 3 | 1
2013 | 15 | 29 | 29 | 29 | 0 | 238.4240342000 | 96.4500000000 | 2 | 1
2013 | 16 | 55 | 55 | 55 | 0 | 1786496.5741000000 | 856353.3800000000 | 2 | 1
2013 |  | 670 | 599 | 670 | 670 |  |  | 15 | 1
2014 | 1 | 8273 | 7677 | 8273 | 230 | 6913943681.1081904200 | 85870123.0000000000 | 14 | 1
2014 | 2 | 8220 | 7875 | 8220 | 0 | 220511702.9977812150 | 4141662.7500000000 | 9 | 1
2014 | 3 | 6605 | 6567 | 6605 | 0 | 27322029.8834828083 | 3937354.2040000000 | 9 | 1
2014 | 6 | 179 | 179 | 179 | 0 | 4940950.3848564000 | 299769.8400000000 | 3 | 1
2014 | 8 | 756 | 756 | 756 | 0 | 159002323.0000000000 | 2446220.7000000000 | 9 | 1
2014 | 9 | 51 | 51 | 51 | 0 | 768246.6000000000 | 226063.0400000000 | 2 | 1
2014 | 10 | 72 | 69 | 72 | 0 | 8731768.2138000000 | 5022853.6000000000 | 3 | 1
2014 | 11 | 73 | 73 | 73 | 0 | 6901843.3722370000 | 884344.0880000000 | 3 | 1
2014 | 12 | 24 | 24 | 24 | 0 | 33822.5681000000 | 25244.8020000000 | 2 | 1
2014 | 13 | 6 | 6 | 6 | 0 | 26798.0000000000 | 12158.6000000000 | 1 | 1
2014 | 15 | 28 | 28 | 28 | 0 | 382.3243532000 | 245.3400000000 | 3 | 1
2014 | 16 | 55 | 55 | 55 | 0 | 1505457.5300000000 | 364158.3100000000 | 2 | 1
2014 |  | 837 | 757 | 837 | 837 |  |  | 15 | 1
2015 | 1 | 8218 | 7598 | 8212 | 227 | 6816888620.0727059000 | 89418013.4505964000 | 14 | 1
(176 rows; csv has all)
