-- S05 Superfund boundaries: units x NPL status x program, sites, area, dates, federal flag
GIS_AREA_UNITS | NPL_STATUS_CODE | EPA_PROGRAM | N | SITES | FED | AREA | MED_AREA | MAX_AREA | AREA0 | LC0 | LC1 | OC0 | OC1 | FTYPES
Acres | F | Superfund Remedial | 971 | 785 | 71 | 4001213.074749572 | 73.05263495825734 | 1082652.9620638 | 17 | 2008-12-01 00:00:00 | 2026-04-14 18:45:30 | 2003-11-05 00:00:00 | 2026-04-14 18:45:46 | 10
Acres | D | Superfund Remedial | 286 | 284 | 15 | 811659.9796413657 | 18.91064774975525 | 597025.5235083 | 43 | 2010-07-01 00:00:00 | 2025-05-16 00:00:00 | 2007-01-01 00:00:00 | 2021-06-27 00:00:00 | 10
Square Miles | F | Superfund Remedial | 256 | 256 | 25 | 4908.764067693261 | 0.09209439327246621 | 661.180262406411 | 0 | 2018-05-07 00:00:00 | 2026-04-27 00:00:00 | 2009-01-01 00:00:00 | 2024-07-22 00:00:00 | 5
Acres | F | Superfund | 159 | 159 | 29 | 218699.8648743884 | 58.00877575971326 | 58880.539747453586 | 0 | 2023-06-13 13:02:48 | 2024-09-18 08:33:12 | 2023-04-24 15:56:46 | 2024-02-08 15:16:16 | 5
Miles | F | Superfund | 109 | 109 | 29 | 1564.347117571781 | 0.7517913647637955 | 478.91278802731 | 3 | 2020-05-07 00:00:00 | 2025-05-29 12:22:53 | 2020-05-06 22:00:00 | 2021-04-26 14:56:30 | 7
Square Miles | D | Superfund Remedial | 90 | 90 | 0 | 24.23756778823615 | 0.03280049815554374 | 8.83382437309758 | 0 | 2021-05-21 00:00:00 | 2025-07-17 20:45:23 | 2009-01-01 00:00:00 | 2019-05-10 08:54:09 | 5
Acres | D | Superfund | 55 | 55 | 0 | 3219.242275157286 | 13.656006654508603 | 1242.2896004783613 | 0 | 2023-06-13 13:02:59 | 2026-07-31 08:31:37 | 2023-04-24 15:56:46 | 2024-03-07 10:18:40 | 3
Acres | N | Superfund Remedial | 37 | 37 | 0 | 738236.9466095588 | 19.554465780919735 | 726763.2929646756 | 0 | 2020-05-13 17:04:35 | 2024-05-09 14:43:15 | 2007-02-01 00:00:00 | 2021-05-26 00:00:00 | 5
Acres | P | Superfund Remedial | 26 | 26 | 2 | 1188956.1037376577 | 203.468028080251 | 1129743.7713479097 | 0 | 2020-05-12 13:20:46 | 2026-08-04 00:00:00 | 2007-02-01 00:00:00 | 2021-06-22 00:00:00 | 5
Square Miles | N | Superfund Remedial | 26 | 26 | 0 | 86.60382109352726 | 0.07733998434212963 | 66.29717904476747 | 0 | 2021-05-19 00:00:00 | 2025-07-18 11:44:22 | 2019-05-10 08:54:09 | 2021-02-15 00:00:00 | 5
Miles | D | Superfund | 24 | 24 | 2 | 26.45945578481806 | 0.0281519030592887 | 18.4990692957384 | 1 | 2021-07-02 00:00:00 | 2024-04-09 12:59:02 | 2020-06-10 00:00:00 | 2020-06-10 00:00:00 | 5
 | F | Superfund Remedial | 23 | 14 | 2 |  |  |  | 23 | 2021-07-28 00:00:00 | 2024-12-17 00:00:00 | 2020-05-14 18:20:56 | 2024-07-26 00:00:00 | 8
Acres | R | Superfund Remedial | 7 | 7 | 0 | 25777.491334693044 | 1006.12320584 | 20764.54127234 | 0 | 2018-12-01 00:00:00 | 2024-03-29 21:24:35 | 2018-12-01 00:00:00 | 2021-01-29 00:00:00 | 2
Square Miles | P | Superfund Remedial | 5 | 5 | 0 | 10.996150325941175 | 0.19932831454707203 | 9.8300164080033 | 0 | 2021-05-21 09:22:10 | 2023-11-08 00:00:00 | 2009-01-01 00:00:00 | 2019-05-10 08:54:09 | 4
