-- S07 FRS facilities: by create year, flags, federal fields, tribal, coordinates, site types
CY | N | IS_FED_TRUE | IS_TRIB_TRUE | FED_CODE_FILLED | FED_AGENCY_FILLED | TRIB_YES | LAT_NULL | SEMS | GGRT | BROWNFIELDS | U0 | U1
2000 | 789415 | 0 | 0 | 7117 | 4707 | 2588 | 71733 | 5653 | 3009 | 138 | 2000-06-17 | 2026-06-30
2002 | 56806 | 0 | 0 | 293 | 221 | 388 | 29920 | 46 | 77 | 0 | 2002-07-03 | 2026-06-30
2003 | 110399 | 0 | 0 | 627 | 508 | 1169 | 8286 | 733 | 248 | 590 | 2003-01-16 | 2026-06-30
2004 | 271122 | 0 | 0 | 1450 | 868 | 446 | 56354 | 337 | 249 | 24 | 2004-01-06 | 2026-06-30
2005 | 98168 | 0 | 0 | 708 | 519 | 536 | 11762 | 300 | 176 | 23 | 2005-01-18 | 2026-06-30
2006 | 94000 | 0 | 0 | 581 | 320 | 437 | 39110 | 255 | 91 | 29 | 2006-01-09 | 2026-06-30
2007 | 238259 | 0 | 0 | 713 | 432 | 528 | 19986 | 347 | 206 | 64 | 2007-01-22 | 2026-06-30
2008 | 197458 | 0 | 0 | 543 | 375 | 420 | 23888 | 297 | 202 | 18 | 2008-01-04 | 2026-06-30
2009 | 132277 | 0 | 0 | 406 | 300 | 454 | 19374 | 340 | 138 | 8471 | 2009-01-05 | 2026-06-30
2010 | 181901 | 0 | 0 | 395 | 187 | 308 | 56242 | 328 | 265 | 2103 | 2010-01-05 | 2026-06-30
2011 | 78259 | 0 | 0 | 311 | 133 | 196 | 10275 | 344 | 489 | 1299 | 2011-01-10 | 2026-06-30
2012 | 501906 | 0 | 0 | 7852 | 821 | 512 | 334284 | 350 | 98 | 1188 | 2012-01-05 | 2026-06-30
2013 | 128713 | 0 | 0 | 555 | 94 | 167 | 19510 | 222 | 226 | 68 | 2013-01-03 | 2026-06-30
2014 | 169408 | 0 | 0 | 695 | 94 | 409 | 32216 | 303 | 386 | 545 | 2014-01-10 | 2026-06-30
2015 | 293995 | 0 | 0 | 779 | 330 | 688 | 43038 | 703 | 227 | 28 | 2015-01-09 | 2026-06-30
2016 | 208907 | 0 | 0 | 169 | 57 | 295 | 44709 | 587 | 122 | 33 | 2016-01-04 | 2026-06-29
2017 | 126244 | 0 | 0 | 336 | 32 | 529 | 20195 | 102 | 227 | 30 | 2017-01-05 | 2026-06-29
2018 | 262303 | 0 | 0 | 636 | 40 | 353 | 54075 | 86 | 209 | 69 | 2018-01-16 | 2026-06-30
2019 | 203524 | 0 | 0 | 499 | 102 | 361 | 11316 | 74 | 135 | 18 | 2019-02-05 | 2026-06-30
2020 | 144944 | 0 | 0 | 1196 | 42 | 105 | 11568 | 428 | 294 | 13 | 2014-10-10 | 2026-06-30
2021 | 201521 | 0 | 0 | 610 | 22 | 217 | 60890 | 3005 | 3456 | 26 | 2021-01-12 | 2026-06-30
2022 | 149235 | 0 | 0 | 167 | 15 | 233 | 16891 | 275 | 144 | 5 | 2015-12-31 | 2026-06-23
2023 | 154581 | 0 | 0 | 188 | 37 | 166 | 18210 | 261 | 152 | 20 | 2023-01-11 | 2026-06-29
2024 | 197454 | 0 | 0 | 109 | 12 | 195 | 62147 | 289 | 105 | 11 | 2024-01-03 | 2026-06-30
2025 | 207257 | 0 | 0 | 214 | 4 | 1379 | 16022 | 175 | 116 | 24500 | 2025-01-06 | 2026-06-30
2026 | 102093 | 0 | 0 | 57 | 1 | 118 | 22454 | 242 | 76 | 1246 | 2026-01-05 | 2026-06-30
(26 rows; csv has all)
