-- S15 Combined air emissions for the 17 landfills EPA flags "stopped reporting, unknown reason": every program-year, methane and CO2
REG | PGM | YR | N | CH4 | CH4_UNIT | CO2 | CO2_UNIT
110002524803 | EIS | 2008 | 9 |  |  |  | 
110002524803 | EIS | 2011 | 9 |  |  |  | 
110002524803 | EIS | 2014 | 2 |  |  |  | 
110006297499 | E-GGRT | 2015 | 1 | 133703.75 | MTCO2e |  | 
110006297499 | EIS | 2008 | 7 |  |  |  | 
110006297499 | EIS | 2011 | 10 |  |  |  | 
110006297499 | EIS | 2014 | 10 |  |  |  | 
110009076338 | EIS | 2008 | 9 |  |  |  | 
110009076338 | EIS | 2011 | 9 |  |  |  | 
110009076338 | EIS | 2014 | 9 |  |  |  | 
110009076338 | EIS | 2017 | 4 |  |  |  | 
110012168652 | E-GGRT | 2015 | 1 | 388905.75 | MTCO2e |  | 
110012168652 | E-GGRT | 2016 | 1 | 397790.0 | MTCO2e |  | 
110012168652 | E-GGRT | 2017 | 1 | 542563.0 | MTCO2e |  | 
110012168652 | E-GGRT | 2018 | 1 | 407928.5 | MTCO2e |  | 
110012168652 | E-GGRT | 2019 | 1 | 556706.0 | MTCO2e |  | 
110012168652 | E-GGRT | 2020 | 1 | 571991.0 | MTCO2e |  | 
110012168652 | E-GGRT | 2021 | 1 | 452070.25 | MTCO2e |  | 
110012168652 | EIS | 2008 | 35 | 53.4814 |  |  | 
110012168652 | EIS | 2011 | 31 | 64.466 |  |  | 
110012168652 | EIS | 2014 | 32 | 83.6658 | Pounds |  | 
110012168652 | EIS | 2017 | 32 | 22.0 |  |  | 
110012168652 | EIS | 2020 | 39 | 50441006.35572 |  |  | 
110012694012 | E-GGRT | 2015 | 1 | 110778.5 | MTCO2e |  | 
110012694012 | E-GGRT | 2016 | 1 | 104841.0 | MTCO2e |  | 
110012694012 | E-GGRT | 2017 | 1 | 110011.25 | MTCO2e |  | 
110012694012 | E-GGRT | 2018 | 1 | 116831.25 | MTCO2e |  | 
110012694012 | E-GGRT | 2019 | 1 | 83575.5 | MTCO2e |  | 
110012694012 | E-GGRT | 2020 | 1 | 126736.0 | MTCO2e |  | 
110012694012 | EIS | 2014 | 9 |  |  |  | 
110012694012 | EIS | 2017 | 9 |  |  |  | 
110012694012 | EIS | 2020 | 57 | 0.53527122 |  |  | 
110040514397 | EIS | 2014 | 10 |  |  |  | 
110040514397 | EIS | 2017 | 10 |  |  |  | 
110040514397 | EIS | 2020 | 15 |  |  |  | 
110043790412 | E-GGRT | 2015 | 1 | 82588.0 | MTCO2e |  | 
110043790412 | E-GGRT | 2016 | 1 | 84441.0 | MTCO2e |  | 
110043790412 | E-GGRT | 2017 | 1 | 252.0 | MTCO2e |  | 
110043790412 | E-GGRT | 2018 | 1 | 117151.25 | MTCO2e |  | 
110043790412 | E-GGRT | 2019 | 1 | 120712.75 | MTCO2e |  | 
110043790412 | E-GGRT | 2020 | 1 | 93473.0 | MTCO2e |  | 
110054620665 | E-GGRT | 2015 | 1 | 47642.75 | MTCO2e |  | 
110054620665 | E-GGRT | 2016 | 1 | 50488.0 | MTCO2e |  | 
110054620665 | E-GGRT | 2017 | 1 | 52846.75 | MTCO2e |  | 
110054620665 | E-GGRT | 2018 | 1 | 62151.25 | MTCO2e |  | 
110054620665 | E-GGRT | 2019 | 1 | 59146.0 | MTCO2e |  | 
110054620665 | E-GGRT | 2020 | 1 | 49195.5 | MTCO2e |  | 
110054620665 | E-GGRT | 2021 | 1 | 62162.0 | MTCO2e |  | 
110054620665 | E-GGRT | 2022 | 1 | 65363.5 | MTCO2e |  | 
110060832407 | E-GGRT | 2015 | 2 | 22463.75 |  | 23.2 | MTCO2e
110060832407 | E-GGRT | 2016 | 2 | 41284.25 | MTCO2e | 19.5 | 
110070931010 | E-GGRT | 2020 | 1 | 32637.0 | MTCO2e |  | 
110070931010 | E-GGRT | 2021 | 1 | 80554.75 | MTCO2e |  | 
110071159935 | E-GGRT | 2015 | 2 | 76320.25 |  | 42.7 | MTCO2e
110071159935 | E-GGRT | 2016 | 2 | 79717.0 | MTCO2e | 16.0 | 
110071159935 | E-GGRT | 2017 | 2 | 81891.75 |  | 18.0 | MTCO2e
110071160106 | E-GGRT | 2015 | 1 | 90311.75 | MTCO2e |  | 
110071160106 | E-GGRT | 2016 | 1 | 85308.0 | MTCO2e |  | 
110071161064 | E-GGRT | 2015 | 3 | 144274.75 |  | 989.3 | MTCO2e
110071161064 | E-GGRT | 2016 | 3 | 148438.0 |  | 1023.6 | MTCO2e
(70 rows; csv has all)
