-- S06 FRS NAICS and SIC code tables: per program, rows, facilities, exact duplicates, code shape, blanks
TBL | PGM_SYS_ACNRM | N | IDS | UNIQ_ROWS | LEN6 | SHORT | BLANK | ZEROS | TOP_CODE | BAD_ID
NAICS | RCRAINFO | 1196332 | 1049060 | 1196332 | 513483 | 682849 | 0 | 0 | 56299 | 14141
NAICS | NPDES | 317724 | 262719 | 317724 | 317724 | 0 | 0 | 0 | 236115 | 1239
NAICS | AIR | 311866 | 266207 | 311866 | 311866 | 0 | 0 | 0 | 211111 | 181
NAICS | EIS | 211215 | 199020 | 211215 | 196160 | 15055 | 0 | 0 | 488119 | 0
NAICS | TRIS | 91776 | 64275 | 91624 | 91629 | 0 | 147 | 0 | 327320 | 0
NAICS | RMP | 32922 | 21620 | 32922 | 8052 | 24870 | 0 | 0 | 42291 | 0
NAICS | E-GGRT | 10687 | 10333 | 10687 | 10687 | 0 | 0 | 0 | 221112 | 0
NAICS | CEDRI | 5020 | 4557 | 5020 | 5020 | 0 | 0 | 0 | 211120 | 0
NAICS | CAMDBS | 2160 | 2077 | 2160 | 2140 | 20 | 0 | 0 | 221112 | 0
SIC | NPDES | 771536 | 613718 | 771536 | 771536 | 0 | 0 | 0 | 1521 | 2308
SIC | AIR | 233283 | 214751 | 233283 | 233283 | 0 | 0 | 0 | 1311 | 53
SIC | TRIS | 79175 | 50959 | 79173 | 79175 | 0 | 0 | 0 | 3471 | 0
SIC | CAMDBS | 1217 | 1193 | 1217 | 1217 | 0 | 0 | 0 | 4911 | 0
(13 rows; csv has all)
