-- S11 AQS: extract every site (20,994 rows) for local time and distance math
AQS_SITE_ID | STATE_CODE | COUNTY_CODE | SITE_NUMBER | LATITUDE | LONGITUDE | LAND_USE | LOCATION_SETTING | SITE_ESTABLISHED_DATE | SITE_CLOSED_DATE | OWNING_AGENCY | LOCAL_SITE_NAME | ADDRESS | CITY_NAME | COUNTY_NAME | STATE_NAME | CBSA_NAME | TRIBE_NAME
01-001-0001 | 01 | 001 | 0001 | 32.437458 | -86.472891 | RESIDENTIAL | SUBURBAN | 1974-05-01 | 1976-12-31 | Al Dept Of Env Mgt |  | KING ARTHUR TRAILER COURT, PRATTVILLE,AL | Prattville | Autauga | Alabama | Montgomery, AL | 
01-001-0002 | 01 | 001 | 0002 | 32.42847 | -86.443585 | AGRICULTURAL | RURAL | 1980-01-01 | 1982-12-31 | Al Dept Of Env Mgt |  | COUNTY RD 4 PRATTVILLE EXPERIMENT ST | Prattville | Autauga | Alabama | Montgomery, AL | 
01-001-0003 | 01 | 001 | 0003 | 32.332659 | -86.791521 | FOREST | RURAL | 1989-08-31 | 1990-11-30 | Al Dept Of Env Mgt |  | 1170 COUNTY RD.15 SO., SELMA, AL. 36701 | Not in a City | Autauga | Alabama | Montgomery, AL | 
01-003-0001 | 01 | 003 | 0001 | 0.0 | 0.0 | UNKNOWN | RURAL | 1959-01-01 | 1959-12-31 | US EPA National Exposure Research Lab |  | CHANDLER RESIDENCE FT MORGAN STATE PARK | Not in a city | Baldwin | Alabama | Daphne-Fairhope-Foley, AL | 
01-003-0002 | 01 | 003 | 0002 | 30.552367 | -87.706911 | COMMERCIAL | RURAL | 1974-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | COR PENNSYLVANIA & CHICAGO (ROBERTSDALE) | Robertsdale | Baldwin | Alabama | Daphne-Fairhope-Foley, AL | 
01-003-0003 | 01 | 003 | 0003 | 30.555472 | -87.713599 | COMMERCIAL | URBAN AND CENTER CITY | 1977-08-12 | 1987-12-31 | Al Dept Of Env Mgt |  | RACINE AND MICHIGAN ST, ROBERTSDALE, AL. | Not in a city | Baldwin | Alabama | Daphne-Fairhope-Foley, AL | 
01-003-0010 | 01 | 003 | 0010 | 30.497478 | -87.880258 | COMMERCIAL | SUBURBAN | 2000-01-01 |  | Al Dept Of Env Mgt | FAIRHOPE, Alabama | FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA | Fairhope | Baldwin | Alabama | Daphne-Fairhope-Foley, AL | 
01-005-0001 | 01 | 005 | 0001 | 31.891272 | -85.13521 | COMMERCIAL | SUBURBAN | 1974-01-01 | 1994-12-31 | Al Dept Of Env Mgt |  | 601 EAST BARBOUR US HGWY 82 | Eufaula | Barbour | Alabama | Eufaula, AL-GA | 
01-005-0002 | 01 | 005 | 0002 | 31.664302 | -85.606175 | FOREST | SUBURBAN | 2003-10-06 |  | Al Dept Of Env Mgt | CLIO | 437 COUNTY ROAD 8, CLIO, ALABAMA | Not in a city | Barbour | Alabama | Eufaula, AL-GA | 
01-007-0001 | 01 | 007 | 0001 | 32.904048 | -87.233057 | AGRICULTURAL | RURAL | 1991-07-15 |  | Environmental Science & Engineering, Inc (Ese) |  | 11.8 KM SW OF CENTREVILLE ON CNTY RD 25. | Centreville (Centerville) | Bibb | Alabama | Birmingham-Hoover, AL | 
01-009-0001 | 01 | 009 | 0001 | 33.95702 | -86.464443 | MOBILE | URBAN AND CENTER CITY | 1957-01-01 | 1978-05-18 | Al Dept Of Env Mgt |  | COUNTY HEALTH DEPT 1002 2ND AVE EAST | Oneonta | Blount | Alabama | Birmingham-Hoover, AL | 
01-009-0002 | 01 | 009 | 0002 | 33.949542 | -86.473042 | COMMERCIAL | URBAN AND CENTER CITY | 1979-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 5TH E & 4TH ST NORTH | Oneonta | Blount | Alabama | Birmingham-Hoover, AL | 
01-015-0001 | 01 | 015 | 0001 | 33.656771 | -85.824409 | COMMERCIAL | URBAN AND CENTER CITY | 1972-01-01 | 1998-12-31 | Al Dept Of Env Mgt |  | 309 EAST 8TH STREET | Anniston | Calhoun | Alabama | Anniston-Oxford-Jacksonville, AL | 
01-015-0002 | 01 | 015 | 0002 | 33.685659 | -85.837744 | INDUSTRIAL | SUBURBAN | 1974-05-03 | 1985-12-31 | Al Dept Of Env Mgt |  | BLUE MTN POST OFFICE | Anniston | Calhoun | Alabama | Anniston-Oxford-Jacksonville, AL | 
01-021-0001 | 01 | 021 | 0001 | 32.83956 | -86.637809 | RESIDENTIAL | SUBURBAN | 1972-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 112 AUGUSTA STREET | Clanton | Chilton | Alabama | Birmingham-Hoover, AL | 
01-021-0002 | 01 | 021 | 0002 | 32.83957 | -86.628871 | COMMERCIAL | URBAN AND CENTER CITY | 1976-01-01 | 1993-12-31 | Al Dept Of Env Mgt |  | 1ST AVE & 5TH AVE | Clanton | Chilton | Alabama | Birmingham-Hoover, AL | 
01-023-0001 | 01 | 023 | 0001 | 32.209311 | -88.051961 | INDUSTRIAL | RURAL | 1974-01-01 | 1980-12-31 | Al Dept Of Env Mgt |  | P.O. BOX 111 | Not in a city | Choctaw | Alabama |  | 
01-023-0002 | 01 | 023 | 0002 | 32.2057 | -88.053628 | INDUSTRIAL | RURAL | 1981-01-01 | 1987-01-01 | Al Dept Of Env Mgt |  | P.O. BOX 183 | Not in a City | Choctaw | Alabama |  | 
01-025-0001 | 01 | 025 | 0001 | 31.966669 | -87.782035 | AGRICULTURAL | RURAL | 1972-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | CLARKE STREET (GROVE HILL) | Not in a City | Clarke | Alabama |  | 
01-025-0002 | 01 | 025 | 0002 | 31.694265 | -87.773463 | COMMERCIAL | SUBURBAN | 1974-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | GROVE HILL MEMORIAL HOSPITAL HWY 43 | Grove Hill | Clarke | Alabama |  | 
01-027-0001 | 01 | 027 | 0001 | 33.284928 | -85.803608 | RESIDENTIAL | RURAL | 1991-03-25 |  | Al Dept Of Env Mgt | ASHLAND | ASHLAND AIRPORT | Ashland | Clay | Alabama |  | 
01-031-0002 | 01 | 031 | 0002 | 31.056847 | -87.259142 | UNKNOWN | UNKNOWN | 1975-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | UNKNOWN | Enterprise | Coffee | Alabama | Enterprise, AL | 
