-- S15 FracFocus: every version-4 disclosure with a has-water flag, for coverage by state and operator
DISCLOSURE_ID | API_NUMBER | STATE_NAME | COUNTY_NAME | OPERATOR_NAME | TOTAL_BASE_WATER_VOLUME | FF_VERSION | HAS_WATER
80878a8f-197d-4b38-b6fd-25d9e12f84d6 | 42329430010000 | Texas | Midland | Pioneer Natural Resources | 11797212.0000 | 3 | False
80881dcf-d245-46b5-b6b9-11dd9e415528 | 42013354440000 | Texas | Atascosa | Marathon Oil | 7392661.0000 | 3 | False
80883b44-e923-4d78-8a2a-1480daec10e1 | 42461423140000 | Texas | Upton | Pioneer Natural Resources | 31250856.0000 | 3 | False
80894205-0e4a-45b5-9c9f-84e89b1bb1ff | 33025045960000 | North Dakota | Dunn | Marathon Oil | 6375067.0000 | 4 | False
808b0cb7-df05-452f-8782-a00e07a437d7 | 42317450090000 | Texas | Martin | Diamondback E&P LLC | 21409219.0000 | 3 | False
808b4fe5-daf9-4d4a-aac3-508ac610f6dc | 17031274170000 | Louisiana | De Soto | Expand Operating LLC | 31062805.0000 | 4 | False
808b78c9-de2c-43b0-8e0b-f2cf6de9790c | 30025443170000 | New Mexico | Lea | EOG Resources, Inc. | 5926158.0000 | 3 | False
808cac8d-5e74-4750-8f8f-eee50d8e3854 | 42227304880000 | Texas | Howard | Rover Petroleum Operating, LLC | 43686.0000 | 3 | False
808d09c5-8859-4237-a886-7db52ee16fd0 | 42173373390000 | Texas | Glasscock | Pioneer Natural Resources | 15955002.0000 | 3 | False
808d9d02-f88b-4896-8ae4-0e1c8ba34ccc | 35137277850000 | Oklahoma | Stephens | L.E. Jones Operating, Inc. | 9909.0000 | 4 | True
808e233c-7b9c-4028-b4a8-bbe3db5da427 | 33025035780000 | North Dakota | Dunn | Enerplus Resources (USA) Corporation | 4244671.0000 | 4 | False
808e9306-44c2-4b32-943e-c02d6d99bc85 | 42227422130000 | Texas | Howard | Bayswater Exploration & Production, LLC | 33383492.0000 | 4 | True
808ecdc5-34da-4a9c-bbd0-8a9e078186ec | 42329414080000 | Texas | Midland | Permian Deep Rock Oil Co., LLC | 15162986.0000 | 3 | False
808f77e8-fc3d-4a66-bf37-dedf5723fcfc | 05123364600000 | Colorado | Weld | Anadarko Petroleum Corporation | 3203718.0000 | 3 | False
808f8bf0-cac4-461e-a214-e479bfa11837 | 33053101100000 | North Dakota | McKenzie | Kraken Operating LLC | 11141055.3660 | 4 | False
809087ca-b28a-417d-9f8a-009d72475887 | 42505324990000 | Texas | Zapata | Hilcorp Energy Company | 72452.0000 | 3 | False
8090c2f1-776e-40e8-9914-bd580ea1adcc | 42255367250000 | Texas | Karnes | Murphy Exploration and Production USA | 11258814.0000 | 3 | False
