-- S16 FRS code tables: what the registry IDs that do not start with 110 look like
TBL | PGM_SYS_ACNRM | LEN | N | LO | HI | PGM_ID_EG
NAICS | RCRAINFO | 12 | 14140 | AKR000211722 | XFR000003418 | MDD985384767
SIC | NPDES | 9 | 2308 | AKG572138 | WVR113437 | COG081490
NAICS | NPDES | 9 | 1239 | AKG572138 | WAR315968 | WAR315964
NAICS | AIR | 18 | 151 | 0500000026081R5001 | WY000000000F016653 | NM0000003502502810
SIC | AIR | 18 | 44 | AR0000000577701694 | SD0000004612500034 | CO0000000806701312
NAICS | AIR | 11 | 20 | PA000639609 | PA000888723 | PA000879419
SIC | AIR | 11 | 8 | PA000639609 | PA000888723 | PA000639609
NAICS | AIR | 13 | 4 | CABAA 324110  | WV00005300134 | SC00099000669
NAICS | AIR | 15 | 3 | ME000AEPA000018 | ME000AEPA000020 | ME000AEPA000020
NAICS | AIR | 12 | 2 | CABAA324110  | CABAA541715  | CABAA541715 
NAICS | RCRAINFO | 11 | 1 | TXR00087643 | TXR00087643 | TXR00087643
NAICS | AIR | 16 | 1 | NY0007112200052  | NY0007112200052  | NY0007112200052 
SIC | AIR | 13 | 1 | WV00005300134 | WV00005300134 | WV00005300134
(13 rows; csv has all)
