-- S02 Europol SOCTA: every row (glance says 26)
REPORT_TITLE | REPORT_TYPE | PUBLISH_DATE | UPDATE_DATE | REPORT_YEAR | LANGUAGE | FILE_FORMAT | FILE_SIZE_MB | DOWNLOAD_URL | DOCUMENT_VARIANT | ISBN | DOI | SERIAL_NUMBER | PUBLISHER | GEOGRAPHIC_SCOPE | SOURCE_URL
The changing DNA of serious and organised crime | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu#downloads | Downloads | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
The changing DNA of serious and organised crime (EU-SOCTA 2025) | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA-2025.pdf | The changing DNA of serious and organised crime (EU-SOCTA 2025) | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Executive Summary | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Executive%20Summary.pdf | Executive Summary | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Резюме | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20%D0%A0%D0%B5%D0%B7%D1%8E%D0%BC%D0%B5.pdf | EU-SOCTA 2025 - Резюме | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Shrnutí | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Shrnut%C3%AD.pdf | EU-SOCTA 2025 - Shrnutí | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Sammendrag | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Sammendrag.pdf | EU-SOCTA 2025 - Sammendrag | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Zusammenfassung | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Zusammenfassung.pdf | EU-SOCTA 2025 - Zusammenfassung | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Συνοπτική παρουσίαση | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20%CE%A3%CF%85%CE%BD%CE%BF%CF%80%CF%84%CE%B9%CE%BA%CE%AE%20%CF%80%CE%B1%CF%81%CE%BF%CF%85%CF%83%CE%AF%CE%B1%CF%83%CE%B7.pdf | EU-SOCTA 2025 - Συνοπτική παρουσίαση | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Resumen ejecutivo | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Resumen%20ejecutivo.pdf | EU-SOCTA 2025 - Resumen ejecutivo | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Kokkuvõte | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Kokkuv%C3%B5te.pdf | EU-SOCTA 2025 - Kokkuvõte | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
