-- S04 FTC datasets: every row (glance says 1,004), extract for local time and duplicate checks
ACTION_NAME | RESPONDENT | DATE_FILED | CASE_TYPE | STATUS | TOPIC | DOCUMENT_URL | EIN
Hackensack Meridian Health, Inc. and Englewood Healthcare Foundation |  | 2021-11-05 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/2010044-hackensack-meridian-health-inc-englewood-healthcare-foundation | 
FTC v. Elite IT Partners (10th Cir.), FTC Answering Brief, 23-4009 |  | 2023-06-29 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/merit-brief/ftc-v-elite-it-partners-10th-cir-ftc-answering-brief-23-4009 | 
Roomster Corp |  | 2023-08-28 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/roomster-corp | 
Dissenting Statement of Commissioner Rebecca Kelly Slaughter Regarding the Dismissal of Appeals in Noncompete Rule Litigations |  | 2025-09-05 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/dissenting-statement-commissioner-rebecca-kelly-slaughter-regarding-dismissal-appeals-noncompete | 
BetterHelp, Inc., In the Matter of |  | 2024-05-06 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/2023169-betterhelp-inc-matter | 
Concurring Statement of Commissioner Melissa Holyoak, Joined by Chair Lina M. Khan In the Matter of DoNotPay, Inc. |  | 2024-09-25 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/concurring-statement-commissioner-melissa-holyoak-joined-chair-lina-m-khan-matter-donotpay-inc | 
Grado Laboratories, Inc |  | 2022-06-29 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/closing-letters/grado-laboratories-inc | 
FloatMe |  | 2024-01-24 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/floatme | 
Statement of Commissioners Noah Joshua Phillips and Christine S. Wilson in the Matter of ALG-Health |  | 2022-08-09 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-commissioners-noah-joshua-phillips-christine-s-wilson-matter-alg-health | 
Dissenting Statement of Commissioner Christine S. Wilson Regarding the Matters of O-I Glass, Inc. and Ardagh Group S.A. |  | 2023-01-04 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/dissenting-statement-commissioner-christine-s-wilson-regarding-matters-o-i-glass-inc-ardagh-group-sa | 
Edwards Lifesciences Corp. and JenaValve Technology, Inc., In the Matter of |  | 2026-01-28 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/edwards-lifesciences-corp-jenavalve-technology-inc-matter | 
FTC’s Comment on the FCC’s AI-related Notice of Inquiry |  | 2024-07-31 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/ftcs-comment-fccs-ai-related-notice-inquiry | 
Statement of Chairman Andrew N. Ferguson joined by Commissioners Melissa Holyoak and Mark R. Meador on Grand Canyon Education, Inc. |  | 2025-08-15 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-chairman-andrew-n-ferguson-joined-commissioners-melissa-holyoak-mark-r-meador-grand-canyon | 
RevMountain, LLC, Anasazi Management Partners, et al. |  | 2023-04-25 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3216-x160024-revmountain-llc-anasazi-management-partners-et-al | 
Eras/KIG |  | 2025-08-18 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/eraskig | 
Research & Mfg. Corp. of America, d/b/a Ramcoa |  | 2023-08-28 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/closing-letters/research-mfg-corp-america-dba-ramcoa | 
Statement of Chair Khan Regarding the Commercial Surveillance Data Security Advance Notice of Proposed Rulemaking |  | 2022-08-11 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-chair-khan-regarding-commercial-surveillance-data-security-advance-notice-proposed | 
JustAnswer |  | 2026-01-13 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/justanswer | 
Statement of Alvaro M. Bedoya Regarding 6(b) Study of Pharmacy Benefit Managers |  | 2022-06-07 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-alvaro-m-bedoya-regarding-6b-study-pharmacy-benefit-managers | 
Comment of the United States Federal Trade Commission - Draft Interagency Guidance Framework for Considering the Exercise of March-In Rights |  | 2024-02-06 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/comment-united-states-federal-trade-commission-draft-interagency-guidance-framework-considering | 
Statement of Commissioner Christine S. Wilson Regarding the Announcement of Pre-Consummation Warning Letters |  | 2021-08-09 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-commissioner-christine-s-wilson-regarding-announcement-pre-consummation-warning-letters | 
Statement of Commissioner Alvaro M. Bedoya in the Matter of Facebook, Inc. |  | 2023-05-03 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-commissioner-alvaro-m-bedoya-matter-facebook-inc | 
Statement of Commissioner Melissa Holyoak Regarding Final Premerger Notification Form and the Hart-Scott-Rodino Rules |  | 2024-10-10 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-commissioner-melissa-holyoak-regarding-final-premerger-notification-form-hart-scott-rodino | 
Concurring Statement of Commissioner Rebecca Kelly Slaughter Regarding United States v. Cognosphere, LLC |  | 2025-01-17 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/concurring-statement-commissioner-rebecca-kelly-slaughter-regarding-united-states-v-cognosphere-llc | 
Written Submission on the Public Interest of Chair Lina M. Khan and Commissioner Rebecca Kelly Slaughter in the Matter of Certain UMTS and LTE Cellular Communication Modules |  | 2022-05-16 |  |  |  | https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/written-submission-public-interest-chair-lina-m-khan-commissioner-rebecca-kelly-slaughter-matter | 
(1004 rows; csv has all)
