PF 114 assets 250756583.0
PF city [('SAN JUAN', 54), ('DORADO', 7), ('BAYAMON', 5), ('PONCE', 5), ('CAGUAS', 4), ('HUMACAO', 4), ('GUAYNABO', 3), ('CAROLINA', 3), ('RIO GRANDE', 2), ('TOA BAJA', 2)]
all city [('SAN JUAN', 791), ('BAYAMON', 126), ('CAGUAS', 104), ('PONCE', 102), ('GUAYNABO', 100), ('CAROLINA', 83), ('MAYAGUEZ', 69), ('DORADO', 56), ('HUMACAO', 51), ('AGUADILLA', 46), ('ARECIBO', 42), ('ISABELA', 34)]
dorado all 56
661137396 | PASOS PROGRAMA DE VIDA INDEPENDIENT E INC | % GLADYS VANESSA | AC20 RIO ESPIRITU SANTO | BAYAMON | 202607 |F 04 |  |A  |I  | P80
660980202 | ALIANZA POR LA SALUD INC |  | 33 CALLE BOLIVIA | HATO REY | 202606 |F 04 |  |A  |I  | E86
660586195 | CABALLEROS CATOLICOS DE MANATI INC | % ANGEL A VEGA VELEZ | PO BOX 33 | MANATI | 202604 |F 04 |  |A  |I  | X22
661012637 | CONSORCIO DEL SUR - CONSUR | % CARLOS R JIRAU VELEZ | 441 CALLE FERROCARRIL STE 209- | PONCE | 202603 |F 03 |  |A  |I  | T23
661085475 | MEJOR MUNDO FOUNDATION INC |  | ASHFORD MEDICAL CENTER SUITE 5 | SAN JUAN | 202603 |F 04 |  |A  |I  | P80
660852613 | CCA CINEART CREATIVE ACADEMY INC |  | PO BOX 1810 PMB 726 | MAYAGUEZ | 202512 |F 03 |  |A  |I  | X21
661062633 | KILOMETROS DE CAMBIO INC |  | 51 CALLE PONCE | SAN JUAN | 202512 |F 04 |  |A  |I  | P43
661116032 | FUNDACION NATURAULAS INC | % ANDRES JAVIER RIVERA A | CAR 453 KM 7 BO PILETA SOLLER | LARES | 202512 |F 04 |  |A  |I  | B21
660529335 | CENTRO CULTURAL CAIMITO INC | % JOEL GONZALEZ-APONTE | 1007 AVE MUNOZ RIVERA OFIC 310 | SAN JUAN | 202511 |F 04 | 202512 |A 150574 |I 13903 | A20
661089649 | PONCE LIONS LACROSSE INC |  | 1901 PASEO DE LA REINA | PONCE | 202511 |F 04 |  |A  |I  | N60
661113519 | FUNDACION YO PUEDO CON CRISTO INC | % MARIA MILAGROS SANTOS- | GARDEN HILLS NORTH CLUB DR J3 | GUAYNABO | 202510 |F 04 |  |A  |I  | G30
661079229 | PAMARA PROJECT FOUNDATION CORP |  | 1000 AVE SANCHEZ OSORIO | CAROLINA | 202507 |F 04 |  |A  |I  | T99
661098985 | MUJER ESFUERZATE | % TANIA LEE HERNANDEZ | 207 CALLE DEL PARQUE STE 9 | SANTURCE | 202507 |F 04 |  |A  |I  | P80
661099721 | WAVES TO HAPPINESS INC |  | CARR 413 KM 5 9 BO PUNTAS | RINCON | 202507 |F 04 |  |A  |I  | N20
661103032 | ART WALK PR INC | % GEORGINA VEGA | 76 CALLE KINGS CT APT 803 | SAN JUAN | 202507 |F 04 |  |A  |I  | A20
660978040 | CREPS |  | 91 CALLE AMBAR | SAN JUAN | 202506 |F 04 |  |A  |I  | B90
661090670 | FUNDACION DE SERVICIOS FUNERARIOS DE PUERT |  | C8 CALLE GUAYAMA VILLAS DE CAN | TRUJILLO ALTO | 202506 |F 04 |  |A  |I  | Y50
660775171 | COMUNIDAD RIVERA INC | % ARMANDO FRANCESCHI | HC 5 BOX 6227 | AGUAS BUENAS | 202505 |F 04 | 202512 |A 85005 |I 33260 | P20
661091608 | JACANA FOUNDATION CORP | % THOMAS MITCHELL AIDE | 954 AVE PONCE DE LEON STE 708 | SAN JUAN | 202504 |F 04 | 202512 |A 1 |I 6918 | T22
661006734 | LUNAS PROJECT INC |  | 1662 CALLE SANTA INES | SAN JUAN | 202503 |F 04 |  |A  |I  | P40
660751424 | FUNDACION PADRE JUAN JOSE SANTIAGO INC |  | 165 AVE PNCE DE LEON STE 201 | SAN JUAN | 202502 |F 04 |  |A  |I  | B82
660980459 | CLUB PIRU THE ANIMATION FOUNDATION CORP |  | RR 6 BOX 9594 | SAN JUAN | 202502 |F 04 |  |A  |I  | A20
660789403 | ACADEMIA MEDICA DEL SUR - FONDO EDUCACION  |  | PO BOX 7082 | PONCE | 202501 |F 03 |  |A  |I  | T50
661046509 | FUNDACION PEDRO INC | % FRANCISCO J MENDEZ GON | 120 CHARDON NUM 009 | SAN JUAN | 202501 |F 04 | 202412 |A 58629 |I 62422 | P84
661083953 | TRUE COLORS FEST | % ANIBAL RUBIO RODRIGUEZ | 416 CALLE HERMES | SAN JUAN | 202412 |F 04 |  |A  |I  | A60
660548376 | THE EFRON FOUNDATION INC |  | 221 PONCE DE LEON AVE 6TH FLOO | SAN JUAN | 202410 |F 04 | 202412 |A 62 |I 36400 | A12
660914546 | CASA DE REFUGIO EN MEDIO DE LA TEMPESTAD | % ESPERANZA DE AMOR Y FE | HC 60 BOX 42725 | SAN LORENZO | 202410 |F 04 |  |A  |I  | X11
660972911 | CABECITAS DE ORO INC |  | 61 JOSE PILAR GONZALEZ | ADJUNTAS | 202409 |F 03 | 202512 |A 1 |I 582799 | P75
660752214 | FUNDACION BECHARA INC | % FRANCISCO BECHARA | PO BOX 362066 | SAN JUAN | 202407 |F 03 | 202412 |A 150922 |I 122288 | P20
660496650 | FUNDACION ESPOSOS LUIS MENDEZ VAZ Y MARIA  |  | 701 AVE PONCE DE LEON STE 310 | SAN JUAN | 202404 |F 03 | 202412 |A 6161552 |I 957656 | A51
660922778 | CREE INC | % JEAN C COLON | 25775 CARR 113 | QUEBRADILLAS | 202404 |F 04 | 202412 |A 280514 |I 662780 | P32
