-- S08 GLEIF peer base: country x managing office x registration status, with the office's own name (offices hold LEIs too)
CTRY | LOU | RS | N | UPD_2025ON | REG_2022MAR_ON | LOU_NAME | LOU_CTRY
US | 5493001KJTIIGC8Y1R12 | LAPSED | 194549 | 76642 | 27177 | Bloomberg Finance L.P. | US
IT | 815600EAD78C57FCE690 | ISSUED | 135020 | 135020 | 58185 | INFOCAMERE - SOCIETA' CONSORTILE DI INFORMATICA DELLE CAMERE DI COMMERCIO ITALIANE PER AZIONI | IT
IN | 335800FVH4MOKZS9VH40 | ISSUED | 117425 | 117425 | 85605 | LEGAL ENTITY IDENTIFIER INDIA LIMITED | IN
NL | 724500A93Z8V1MJK5349 | ISSUED | 111847 | 111847 | 45782 | Kamer van Koophandel | NL
US | 5493001KJTIIGC8Y1R12 | ISSUED | 108541 | 108541 | 53487 | Bloomberg Finance L.P. | US
IN | 529900T8BM49AURSDO55 | ISSUED | 100123 | 100123 | 77878 | Ubisecure Oy | FI
CN | 655600IJ8LS3CCDA4421 | LAPSED | 97931 | 1719 | 28492 | 北京国家金融标准化研究院有限责任公司 | CN
GB | 213800WAVVOPS85N2205 | LAPSED | 95440 | 9977 | 7935 | LONDON STOCK EXCHANGE LEI LIMITED | GB
ES | 959800R2X69K6Y6MX775 | ISSUED | 82579 | 82579 | 28303 | COLEGIO DE REGISTRADORES DE LA PROPIEDAD, MERCANTILES Y BIENES MUEBLES DE ESPAÑA | ES
DE | 39120001KULK7200U106 | ISSUED | 80732 | 80732 | 32692 | Bundesanzeiger Verlag GmbH | DE
FR | 969500Q2MA9VBQ8BG884 | ISSUED | 71650 | 71650 | 37535 | INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES | FR
ES | 959800R2X69K6Y6MX775 | LAPSED | 64786 | 13760 | 12539 | COLEGIO DE REGISTRADORES DE LA PROPIEDAD, MERCANTILES Y BIENES MUEBLES DE ESPAÑA | ES
FR | 969500Q2MA9VBQ8BG884 | LAPSED | 59523 | 23523 | 18769 | INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES | FR
DE | 5299000J2N45DDNE4Y28 | ISSUED | 52847 | 52847 | 15522 | Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann GmbH & Co. KG | DE
IN | 485100001PLJJ09NZT59 | ISSUED | 52142 | 52142 | 51373 | Nasdaq CSD SE | LV
IT | 815600EAD78C57FCE690 | LAPSED | 51108 | 12924 | 11056 | INFOCAMERE - SOCIETA' CONSORTILE DI INFORMATICA DELLE CAMERE DI COMMERCIO ITALIANE PER AZIONI | IT
GB | 213800WAVVOPS85N2205 | ISSUED | 48685 | 48685 | 14689 | LONDON STOCK EXCHANGE LEI LIMITED | GB
IN | 529900F6BNUR3RJ2WH29 | ISSUED | 41420 | 41420 | 37007 | EQS Group GmbH | DE
NL | 724500A93Z8V1MJK5349 | LAPSED | 38909 | 6689 | 4990 | Kamer van Koophandel | NL
FI | 743700OO8O2N3TQKJC81 | ISSUED | 38851 | 38851 | 12673 | Patentti- ja rekisterihallitus | FI
SE | 549300O897ZC5H7CY412 | ISSUED | 34609 | 34609 | 13849 | Nordic Legal Entity Identifier AB | SE
DK | 529900T8BM49AURSDO55 | ISSUED | 27535 | 27535 | 15545 | Ubisecure Oy | FI
IN | 529900T8BM49AURSDO55 | LAPSED | 25484 | 14587 | 18219 | Ubisecure Oy | FI
DE | 5299000J2N45DDNE4Y28 | LAPSED | 25255 | 3814 | 1702 | Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann GmbH & Co. KG | DE
SE | 549300O897ZC5H7CY412 | LAPSED | 23728 | 4297 | 3458 | Nordic Legal Entity Identifier AB | SE
GB | 529900T8BM49AURSDO55 | ISSUED | 22128 | 22128 | 14816 | Ubisecure Oy | FI
DE | 529900T8BM49AURSDO55 | ISSUED | 21419 | 21419 | 14394 | Ubisecure Oy | FI
PL | 259400L3KBYEVNHEJF55 | ISSUED | 21222 | 21222 | 8577 | Krajowy Depozyt Papierów Wartościowych S.A. | PL
NL | 724500A93Z8V1MJK5349 | RETIRED | 20900 | 4981 | 922 | Kamer van Koophandel | NL
IN | 335800FVH4MOKZS9VH40 | LAPSED | 20493 | 10666 | 13731 | LEGAL ENTITY IDENTIFIER INDIA LIMITED | IN
FR | 969500Q2MA9VBQ8BG884 | RETIRED | 19112 | 4763 | 1178 | INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES | FR
AT | 5299000J2N45DDNE4Y28 | ISSUED | 18755 | 18755 | 4857 | Herausgebergemeinschaft Wertpapier-Mitteilungen Keppler, Lehmann GmbH & Co. KG | DE
CA | 529900F6BNUR3RJ2WH29 | LAPSED | 18336 | 1359 | 1080 | EQS Group GmbH | DE
IT | 815600EAD78C57FCE690 | RETIRED | 18181 | 4552 | 1682 | INFOCAMERE - SOCIETA' CONSORTILE DI INFORMATICA DELLE CAMERE DI COMMERCIO ITALIANE PER AZIONI | IT
US | 5493001KJTIIGC8Y1R12 | RETIRED | 17319 | 6893 | 510 | Bloomberg Finance L.P. | US
SE | 529900T8BM49AURSDO55 | ISSUED | 17140 | 17140 | 11810 | Ubisecure Oy | FI
NO | 549300O897ZC5H7CY412 | ISSUED | 16826 | 16826 | 7449 | Nordic Legal Entity Identifier AB | SE
AU | 529900T8BM49AURSDO55 | ISSUED | 16408 | 16408 | 12742 | Ubisecure Oy | FI
IT | 529900T8BM49AURSDO55 | ISSUED | 15211 | 15211 | 11738 | Ubisecure Oy | FI
CZ | 315700LK78Z7C0WMIL03 | ISSUED | 14892 | 14892 | 5560 | Centrální depozitář cenných papírů, a.s. | CZ
(4513 rows; csv has all)
