-- S11 Pub 78 x auto-revocation list x EO master file: every Pub 78 EIN that ever lost its exemption, with latest revocation, reinstatement and current master-file status (row level)
EIN | ST | STATE | CITY | LEGAL_NAME | REV_ROWS | REV_FIRST | REV_LAST | POST_LAST | REIN_LAST | R_NAME | R_CITY | R_STATE | R_TYPE | IN_BMF | B_NAME | B_STATUS | B_DEDUCT | B_SUB | B_RULING | B_TAXPER | B_REV
455440099 | FORGN |  | Johnstown County Kilda | Shamrock Fund of the Jack and Jill Childrens Foundation | 1 | 2015-05-15 | 2015-05-15 | 2016-08-09 | 2015-05-15 | SHAMROCK FUND OF THE JACK AND JILL CHILDRENS FOUNDATION | DOWNPATRICK BT3 |  | 03 | True | SHAMROCK FUND OF THE JACK AND JILL CHILDRENS FOUNDATION | 01 | 1 | 03 | 2016-07-01 | 202412 | 0
463741470 | PC | MD | Crownsville | Pajama Jams for Youth Inc. | 1 | 2019-05-15 | 2019-05-15 | 2019-08-12 | 2019-05-15 | PAJAMA JAMS FOR YOUTH INC  | VIRGINIA BCH | VA | 03 | True | PAJAMA JAMS FOR YOUTH INC | 01 | 1 | 03 | 2019-09-01 | 202512 | 0
471242816 | PC | PA | Bensalem | Acts of Grace Ministries | 1 | 2016-12-15 | 2016-12-15 | 2017-03-16 | 2016-12-15 | ACTS OF GRACE MINISTRIES  | BENSALEM | PA | 04 | True | ACTS OF GRACE MINISTRIES | 01 | 1 | 03 | 2017-04-01 | 202512 | 139757
471205069 | PC | SC | Moncks Corner | Fire and Iron Charleston | 1 | 2017-01-15 | 2017-01-15 | 2017-04-26 | 2020-02-15 | FIRE AND IRON CHARLESTON  | LADSON | SC | 04 | True | FIRE AND IRON CHARLESTON | 01 | 1 | 03 | 2020-06-01 | 202512 | 0
237617323 | EO,LODGE | TX | San Antonio | Catholic Life Insurance | 1 | 2011-05-15 | 2011-05-15 | 2012-02-22 |  | CATHOLIC LIFE INSURANCE | SAN ANTONIO | TX | 08 | True | CATHOLIC LIFE INSURANCE | 01 | 1 | 08 | 2021-07-01 | 202512 | 0
263201201 | PC | CA | Davis | Davis Red Maple Cultural Connection | 2 | 2011-12-15 | 2017-01-15 | 2017-03-21 | 2011-12-15 | RED MAPLE CULTURAL CONNECTION  | DAVIS | CA | 03 | True | DAVIS RED MAPLE CULTURAL CONNECTION | 01 | 1 | 03 | 2017-12-01 | 202509 | 0
263972520 | PC | KS | Independence | Community Access Center Inc. | 1 | 2011-11-15 | 2011-11-15 | 2013-05-13 | 2011-11-15 | COMMUNITY ACCESS CENTER INC | INDEPENDENCE | KS | 00 | True | COMMUNITY ACCESS CENTER INC | 01 | 1 | 03 | 2014-05-01 | 202506 | 0
270201826 | PC | AL | Montgomery | Hands of Christ Ministery Center at Chisolm Baptist Church Inc. | 1 | 2012-05-15 | 2012-05-15 | 2014-03-10 | 2012-05-15 | HANDS OF CHRIST MINISTERY CENTER AT CHISOLM BAPTIST CHURCH INC | MONTGOMERY | AL | 00 | True | HANDS OF CHRIST MINISTERY CENTER AT CHISOLM BAPTIST CHURCH INC | 01 | 1 | 03 | 2014-03-01 |  | 
271783503 | PC | CA | Fair Oaks | California Water Law Symposium Inc. | 1 | 2013-05-15 | 2013-05-15 | 2013-08-12 | 2013-05-15 | CALIFORNIA WATER LAW SYMPOSIUM INC | SAN FRANCISCO | CA | 03 | True | CALIFORNIA WATER LAW SYMPOSIUM INC | 01 | 1 | 03 | 2015-02-01 | 202512 | 0
352216663 | PC | TN | Johnson City | Newness Incorporated | 1 | 2010-05-15 | 2010-05-15 | 2012-09-11 | 2011-09-15 | NEWNESS INCORPORATED | APEX | NC | 00 | True | NEWNESS INCORPORATED | 01 | 1 | 03 | 2012-09-01 | 202512 | 0
112665371 | PC | NY | Kings Park | Park View Parent Faculty Association Inc. | 1 | 2010-11-15 | 2010-11-15 | 2011-07-13 | 2012-01-15 | PARK VIEW PARENT FACULTY | KINGS PARK | NY | 03 | True | PARK VIEW PARENT FACULTY ASSOCIATION INC | 01 | 1 | 03 | 2012-09-01 | 202506 | 35856
222505460 | PC | RI | Jamestown | Conanicut Island Art Association Inc. | 1 | 2018-05-15 | 2018-05-15 | 2018-08-13 | 2018-05-15 | CONANICUT ISLAND ART ASSOCIATION INC | JAMESTOWN | RI | 03 | True | CONANICUT ISLAND ART ASSOCIATION INC | 01 | 1 | 03 | 2019-04-01 | 202212 | 0
237151583 | EO,LODGE | NY | New York Mls | Royal Order of Jesters Utica Court No 163 | 1 | 2010-05-15 | 2010-05-15 | 2011-06-09 | 2010-05-15 | ROYAL ORDER OF JESTERS UTICA COURT | NEW HARTFORD | NY | 10 | True | ROYAL ORDER OF JESTERS UTICA COURT NO 163 | 01 | 1 | 10 | 2016-10-01 | 202512 | 0
237634050 | EO,LODGE | NY | Brooklyn | Ancient Order of Hibernians Ladies | 1 | 2010-05-15 | 2010-05-15 | 2011-06-09 | 2010-05-15 | ANCIENT ORDER OF HIBERNIANS LADIES | CINNAMINSON | NJ | 08 | True | ANCIENT ORDER OF HIBERNIANS LADIES | 01 | 1 | 10 | 2016-11-01 | 202512 | 0
260724624 | PC | NY | Pavilion | Pavilion Elementary Parent Teachers Organziation | 1 | 2011-01-15 | 2011-01-15 | 2016-06-07 | 2016-05-15 | PAVILION ELEMENTARY PARENT TEACHERS ORGANIZATION | PAVILION | NY | 03 | True | PAVILION ELEMENTARY PARENT TEACHERSORGANZIATION | 01 | 1 | 03 | 2016-06-01 | 202308 | 0
474140616 | PC | IN | Indianapolis | A Peace of Heaven Ministry Inc. | 1 | 2021-05-15 | 2021-05-15 | 2022-02-14 | 2021-05-15 | A PEACE OF HEAVEN MINISTRY INC  | INDIANAPOLIS | IN | 03 | True | A PEACE OF HEAVEN MINISTRY INC | 01 | 1 | 03 | 2022-11-01 | 202412 | 1323260
475658667 | PC | IL | Winchester | Winchester Civic Group | 1 | 2020-05-15 | 2020-05-15 | 2020-08-11 | 2020-05-15 | WINCHESTER CIVIC GROUP  | WINCHESTER | IL | 03 | True | WINCHESTER CIVIC GROUP | 01 | 1 | 03 | 2022-01-01 | 202512 | 0
581783260 | EO,LODGE | DC | Washington | Independent Order of Odd Fellows | 1 | 2013-05-15 | 2013-05-15 | 2013-08-12 | 2013-05-15 | INDEPENDENT ORDER OF ODD FELLOWS | WASHINGTON | DC | 08 | True | INDEPENDENT ORDER OF ODD FELLOWS | 01 | 1 | 08 | 2020-02-01 | 202412 | 263345
611239417 | PC | KY | Eddyville | 56th Judicial District Corrections Board Incorporated | 1 | 2010-11-15 | 2010-11-15 | 2013-02-11 | 2012-03-15 | 56TH JUDICIAL DISTRICT CORRECTIONS | PRINCETON | KY | 00 | True | 56TH JUDICIAL DISTRICT CORRECTIONS BOARD INCORPORATED | 01 | 1 | 03 | 2013-02-01 | 202506 | 0
812062253 | PC | IN | Anderson | His Solutions Specialty Care | 1 | 2020-05-15 | 2020-05-15 | 2020-08-11 | 2020-05-15 | HIS SOLUTIONS SPECIALTY CARE  | ANDERSON | IN | 03 | True | HIS SOLUTIONS SPECIALTY CARE | 01 | 1 | 03 | 2022-01-01 | 202412 | 0
910966643 | PC | WA | Seattle | American Slavic Womens Club | 1 | 2010-05-15 | 2010-05-15 | 2011-06-09 | 2015-07-15 | YUGOSLAV WOMENS CLUB | SEATTLE | WA | 04 | True | AMERICAN SLAVIC WOMENS CLUB | 01 | 1 | 03 | 2015-09-01 | 202412 | 0
454723576 | PC | IN | Fort Wayne | Joshuas Hand Inc. | 1 | 2015-05-15 | 2015-05-15 | 2015-08-10 | 2015-05-15 | JOSHUAS HAND INC  | FORT WAYNE | IN | 03 | True | JOSHUAS HAND INC | 01 | 1 | 03 | 2015-12-01 | 202412 | 0
462588340 | PC | MI | Detroit | Grace in Action Collectives | 1 | 2016-06-15 | 2016-06-15 | 2016-09-12 | 2016-06-15 | GRACE IN ACTION COLLECTIVES  | DETROIT | MI | 03 | True | GRACE IN ACTION COLLECTIVES | 01 | 1 | 03 | 2017-04-01 | 202501 | 573178
474312308 | EO,LODGE | KY | Scottsville | Christ the King Council 16232 | 1 | 2018-05-15 | 2018-05-15 | 2018-08-13 | 2022-10-15 | KNIGHTS OF COLUMBUS  | SCOTTSVILLE | KY | 08 | True | CHRIST THE KING COUNCIL 16232 | 01 | 1 | 08 | 2023-05-01 | 202506 | 0
542131941 | PC | OH | Canton | Martin Luther King Jr Commission of Greater Canton Inc. | 2 | 2013-05-15 | 2020-05-15 | 2020-11-03 | 2020-05-15 | MARTIN LUTHER KING JR COMMISSION OF | CANTON | OH | 03 | True | MARTIN LUTHER KING JR COMMISSION OF GREATER CANTON INC | 01 | 1 | 03 | 2022-01-01 | 202512 | 62960
611123588 | PC | NC | Lewisville | Yachana Foundation USA Inc. | 1 | 2024-05-15 | 2024-05-15 | 2025-02-11 | 2024-05-15 | YACHANA FOUNDATION USA INC  | LEWISVILLE | NC | 03 | True | YACHANA FOUNDATION USA INC | 01 | 1 | 03 | 2025-08-01 | 202412 | 215599
760725361 | PC | PA | Collegeville | Pennsylvania Gourd Society | 1 | 2011-05-15 | 2011-05-15 | 2012-02-22 | 2015-01-15 | PENNSYLVANIA GOURD SOCIETY | HARRISBURG | PA | 03 | True | PENNSYLVANIA GOURD SOCIETY | 01 | 1 | 03 | 2020-01-01 | 202512 | 0
813294356 | PC | NC | Winston Salem | Union of Todeeans in the Americas-Uta | 1 | 2022-05-15 | 2022-05-15 | 2023-02-15 | 2022-05-15 | UNION OF TODEEANS IN THE  | WINSTON SALEM | NC | 00 | True | UNION OF TODEEANS IN THE AMERICAS-UTA | 01 | 1 | 03 | 2023-03-01 | 202512 | 0
