-- S03 Treasury debt outstanding: the whole table (237 rows)
RECORD_DATE | DEBT_OUTSTANDING_AMT | SRC_LINE_NBR | RECORD_FISCAL_YEAR | RECORD_FISCAL_QUARTER | RECORD_CALENDAR_YEAR | RECORD_CALENDAR_QUARTER | RECORD_CALENDAR_MONTH | RECORD_CALENDAR_DAY
1790-01-01 | 71060508.5 | 1 | 1790.0 | 2 | 1790.0 | 1 | 01 | 01
1791-01-01 | 75463476.52 | 1 | 1791.0 | 2 | 1791.0 | 1 | 01 | 01
1792-01-01 | 77227924.66 | 1 | 1792.0 | 2 | 1792.0 | 1 | 01 | 01
1793-01-01 | 80358634.04 | 1 | 1793.0 | 2 | 1793.0 | 1 | 01 | 01
1794-01-01 | 78427404.77 | 1 | 1794.0 | 2 | 1794.0 | 1 | 01 | 01
1795-01-01 | 80747587.39 | 1 | 1795.0 | 2 | 1795.0 | 1 | 01 | 01
1796-01-01 | 83762172.07 | 1 | 1796.0 | 2 | 1796.0 | 1 | 01 | 01
1797-01-01 | 82064479.33 | 1 | 1797.0 | 2 | 1797.0 | 1 | 01 | 01
1798-01-01 | 79228529.12 | 1 | 1798.0 | 2 | 1798.0 | 1 | 01 | 01
1799-01-01 | 78408669.77 | 1 | 1799.0 | 2 | 1799.0 | 1 | 01 | 01
1800-01-01 | 82976294.35 | 1 | 1800.0 | 2 | 1800.0 | 1 | 01 | 01
1801-01-01 | 83038050.8 | 1 | 1801.0 | 2 | 1801.0 | 1 | 01 | 01
1802-01-01 | 80712632.25 | 1 | 1802.0 | 2 | 1802.0 | 1 | 01 | 01
1803-01-01 | 77054686.4 | 1 | 1803.0 | 2 | 1803.0 | 1 | 01 | 01
1804-01-01 | 86427120.88 | 1 | 1804.0 | 2 | 1804.0 | 1 | 01 | 01
1805-01-01 | 82312150.5 | 1 | 1805.0 | 2 | 1805.0 | 1 | 01 | 01
1806-01-01 | 75723270.66 | 1 | 1806.0 | 2 | 1806.0 | 1 | 01 | 01
1807-01-01 | 69218398.64 | 1 | 1807.0 | 2 | 1807.0 | 1 | 01 | 01
1808-01-01 | 65196317.97 | 1 | 1808.0 | 2 | 1808.0 | 1 | 01 | 01
1809-01-01 | 57023192.09 | 1 | 1809.0 | 2 | 1809.0 | 1 | 01 | 01
1810-01-01 | 53173217.52 | 1 | 1810.0 | 2 | 1810.0 | 1 | 01 | 01
1811-01-01 | 48005587.76 | 1 | 1811.0 | 2 | 1811.0 | 1 | 01 | 01
1812-01-01 | 45209737.9 | 1 | 1812.0 | 2 | 1812.0 | 1 | 01 | 01
1813-01-01 | 55962827.57 | 1 | 1813.0 | 2 | 1813.0 | 1 | 01 | 01
1814-01-01 | 81487846.24 | 1 | 1814.0 | 2 | 1814.0 | 1 | 01 | 01
1815-01-01 | 99833660.15 | 1 | 1815.0 | 2 | 1815.0 | 1 | 01 | 01
1816-01-01 | 127334933.74 | 1 | 1816.0 | 2 | 1816.0 | 1 | 01 | 01
1817-01-01 | 123491965.16 | 1 | 1817.0 | 2 | 1817.0 | 1 | 01 | 01
1818-01-01 | 103466633.83 | 1 | 1818.0 | 2 | 1818.0 | 1 | 01 | 01
1819-01-01 | 95529648.28 | 1 | 1819.0 | 2 | 1819.0 | 1 | 01 | 01
1820-01-01 | 91015566.15 | 1 | 1820.0 | 2 | 1820.0 | 1 | 01 | 01
1821-01-01 | 89987427.66 | 1 | 1821.0 | 2 | 1821.0 | 1 | 01 | 01
1822-01-01 | 93546676.98 | 1 | 1822.0 | 2 | 1822.0 | 1 | 01 | 01
1823-01-01 | 90875877.28 | 1 | 1823.0 | 2 | 1823.0 | 1 | 01 | 01
1824-01-01 | 90269777.77 | 1 | 1824.0 | 2 | 1824.0 | 1 | 01 | 01
1825-01-01 | 83788432.71 | 1 | 1825.0 | 2 | 1825.0 | 1 | 01 | 01
1826-01-01 | 81054059.99 | 1 | 1826.0 | 2 | 1826.0 | 1 | 01 | 01
1827-01-01 | 73987357.2 | 1 | 1827.0 | 2 | 1827.0 | 1 | 01 | 01
1828-01-01 | 67475043.87 | 1 | 1828.0 | 2 | 1828.0 | 1 | 01 | 01
1829-01-01 | 58421413.67 | 1 | 1829.0 | 2 | 1829.0 | 1 | 01 | 01
1830-01-01 | 48565406.5 | 1 | 1830.0 | 2 | 1830.0 | 1 | 01 | 01
1831-01-01 | 39123191.68 | 1 | 1831.0 | 2 | 1831.0 | 1 | 01 | 01
1832-01-01 | 24322235.18 | 1 | 1832.0 | 2 | 1832.0 | 1 | 01 | 01
1833-01-01 | 7001698.83 | 1 | 1833.0 | 2 | 1833.0 | 1 | 01 | 01
1834-01-01 | 4760082.08 | 1 | 1834.0 | 2 | 1834.0 | 1 | 01 | 01
1835-01-01 | 33733.05 | 1 | 1835.0 | 2 | 1835.0 | 1 | 01 | 01
1836-01-01 | 37513.05 | 1 | 1836.0 | 2 | 1836.0 | 1 | 01 | 01
1837-01-01 | 336957.83 | 1 | 1837.0 | 2 | 1837.0 | 1 | 01 | 01
1838-01-01 | 3308124.07 | 1 | 1838.0 | 2 | 1838.0 | 1 | 01 | 01
1839-01-01 | 10434221.14 | 1 | 1839.0 | 2 | 1839.0 | 1 | 01 | 01
1840-01-01 | 3573343.82 | 1 | 1840.0 | 2 | 1840.0 | 1 | 01 | 01
1841-01-01 | 5250875.54 | 1 | 1841.0 | 2 | 1841.0 | 1 | 01 | 01
1842-01-01 | 13594480.73 | 1 | 1842.0 | 2 | 1842.0 | 1 | 01 | 01
1843-01-01 | 20201226.27 | 1 | 1843.0 | 2 | 1843.0 | 1 | 01 | 01
1843-07-01 | 32742922.0 | 1 | 1843.0 | 4 | 1843.0 | 3 | 07 | 01
1844-07-01 | 23461652.5 | 1 | 1844.0 | 4 | 1844.0 | 3 | 07 | 01
1845-07-01 | 15925303.01 | 1 | 1845.0 | 4 | 1845.0 | 3 | 07 | 01
1846-07-01 | 15550202.97 | 1 | 1846.0 | 4 | 1846.0 | 3 | 07 | 01
1847-07-01 | 38826534.77 | 1 | 1847.0 | 4 | 1847.0 | 3 | 07 | 01
1848-07-01 | 47044862.23 | 1 | 1848.0 | 4 | 1848.0 | 3 | 07 | 01
1849-07-01 | 63061858.69 | 1 | 1849.0 | 4 | 1849.0 | 3 | 07 | 01
1850-07-01 | 63452773.55 | 1 | 1850.0 | 4 | 1850.0 | 3 | 07 | 01
1851-07-01 | 68304796.02 | 1 | 1851.0 | 4 | 1851.0 | 3 | 07 | 01
1852-07-01 | 66199341.71 | 1 | 1852.0 | 4 | 1852.0 | 3 | 07 | 01
1853-07-01 | 59803117.7 | 1 | 1853.0 | 4 | 1853.0 | 3 | 07 | 01
1854-07-01 | 42242222.42 | 1 | 1854.0 | 4 | 1854.0 | 3 | 07 | 01
1855-07-01 | 35586956.56 | 1 | 1855.0 | 4 | 1855.0 | 3 | 07 | 01
1856-07-01 | 31972537.9 | 1 | 1856.0 | 4 | 1856.0 | 3 | 07 | 01
1857-07-01 | 28699831.85 | 1 | 1857.0 | 4 | 1857.0 | 3 | 07 | 01
1858-07-01 | 44911881.03 | 1 | 1858.0 | 4 | 1858.0 | 3 | 07 | 01
1859-07-01 | 58496837.88 | 1 | 1859.0 | 4 | 1859.0 | 3 | 07 | 01
1860-07-01 | 64842287.88 | 1 | 1860.0 | 4 | 1860.0 | 3 | 07 | 01
1861-07-01 | 90580873.72 | 1 | 1861.0 | 4 | 1861.0 | 3 | 07 | 01
1862-07-01 | 524176412.13 | 1 | 1862.0 | 4 | 1862.0 | 3 | 07 | 01
1863-07-01 | 1119772138.63 | 1 | 1863.0 | 4 | 1863.0 | 3 | 07 | 01
1864-07-01 | 1815784370.57 | 1 | 1864.0 | 4 | 1864.0 | 3 | 07 | 01
1865-07-01 | 2680647869.74 | 1 | 1865.0 | 4 | 1865.0 | 3 | 07 | 01
1866-07-01 | 2773236173.69 | 1 | 1866.0 | 4 | 1866.0 | 3 | 07 | 01
1867-07-01 | 2678126103.87 | 1 | 1867.0 | 4 | 1867.0 | 3 | 07 | 01
1868-07-01 | 2611687851.19 | 1 | 1868.0 | 4 | 1868.0 | 3 | 07 | 01
(237 rows; csv has all)
