-- S08 QCEW private jobs by state x industry (4- and 6-digit NAICS) plus state private totals, 2022, for the OSHA coverage join
AREA_FIPS | AGG | INDUSTRY_CODE | DISCLOSURE_CODE | ESTABS | EMP | PAY
49000 | 56 | 8139 |  | 490 | 2322 | 66079
10000 | 58 | 423430 |  | 107 | 301 | 123109
18000 | 56 | 3274 |  | 9 | 648 | 78615
22000 | 58 | 334516 | N | 5 | 0 | 0
24000 | 58 | 325212 | N | 4 | 0 | 0
53000 | 58 | 238331 |  | 872 | 2110 | 45507
40000 | 58 | 212321 |  | 49 | 549 | 60824
32000 | 58 | 522210 |  | 27 | 3338 | 85146
15000 | 58 | 332322 | N | 7 | 0 | 0
01000 | 58 | 484121 |  | 951 | 11766 | 62943
25000 | 56 | 3362 |  | 17 | 357 | 84188
45000 | 58 | 221116 | N | 0 | 0 | 0
13000 | 58 | 115115 |  | 45 | 706 | 29425
33000 | 56 | 5617 |  | 1785 | 10681 | 42951
48000 | 58 | 513120 |  | 436 | 3937 | 89050
01000 | 56 | 8114 |  | 268 | 884 | 41212
39000 | 58 | 611630 |  | 43 | 327 | 28621
16000 | 58 | 483111 |  | 7 | 8 | 114056
36000 | 58 | 334516 |  | 44 | 1195 | 82013
55000 | 58 | 311520 |  | 7 | 360 | 43396
05000 | 58 | 445291 |  | 23 | 156 | 50051
49000 | 58 | 541990 |  | 1560 | 6199 | 86471
09000 | 58 | 622110 |  | 124 | 56718 | 81631
22000 | 58 | 487110 | N | 18 | 0 | 0
31000 | 56 | 2212 |  | 68 | 679 | 329488
42000 | 58 | 238332 |  | 138 | 1111 | 76857
36000 | 56 | 6233 |  | 658 | 29473 | 39559
13000 | 58 | 611110 |  | 586 | 29842 | 44000
41000 | 58 | 111199 |  | 12 | 52 | 47643
54000 | 58 | 445292 |  | 5 | 20 | 21638
38000 | 58 | 424520 |  | 19 | 273 | 22732
38000 | 56 | 7139 |  | 285 | 3963 | 18956
02000 | 58 | 213113 | N | 1 | 0 | 0
19000 | 56 | 8131 |  | 83 | 500 | 36452
50000 | 58 | 524127 | N | 10 | 0 | 0
39000 | 58 | 424920 |  | 75 | 613 | 56472
10000 | 56 | 3251 |  | 28 | 1222 | 124878
25000 | 58 | 336214 |  | 4 | 32 | 51700
35000 | 58 | 332119 | N | 1 | 0 | 0
13000 | 51 | 10 |  | 370748 | 4062791 | 66616
47000 | 58 | 485310 |  | 21 | 86 | 28894
19000 | 58 | 311511 |  | 10 | 834 | 66160
12000 | 58 | 813930 |  | 432 | 3058 | 43792
25000 | 58 | 561110 |  | 1318 | 7312 | 157719
05000 | 58 | 237990 |  | 97 | 833 | 59310
29000 | 58 | 811191 |  | 182 | 1470 | 34310
40000 | 58 | 335131 | N | 2 | 0 | 0
53000 | 58 | 812191 |  | 121 | 276 | 23039
08000 | 56 | 3329 |  | 103 | 1796 | 76593
06000 | 56 | 5511 |  | 4714 | 246150 | 158643
48000 | 58 | 721211 |  | 552 | 2844 | 26354
72000 | 56 | 2123 | N | 36 | 0 | 0
38000 | 58 | 541614 |  | 29 | 111 | 80656
41000 | 58 | 813410 |  | 341 | 2590 | 27259
32000 | 58 | 458310 |  | 199 | 1506 | 67302
17000 | 58 | 339994 |  | 13 | 1198 | 61288
05000 | 58 | 424440 |  | 21 | 202 | 86556
28000 | 58 | 327212 | N | 2 | 0 | 0
29000 | 58 | 424590 |  | 31 | 236 | 38201
32000 | 58 | 812332 |  | 20 | 495 | 70601
37000 | 58 | 561210 |  | 234 | 4599 | 50355
12000 | 58 | 445110 |  | 3782 | 203861 | 28951
04000 | 58 | 213114 |  | 31 | 218 | 97284
47000 | 58 | 812112 |  | 982 | 6560 | 36693
22000 | 56 | 3334 |  | 20 | 919 | 54630
01000 | 56 | 4239 |  | 425 | 4839 | 60286
41000 | 58 | 332321 |  | 19 | 303 | 51960
06000 | 56 | 5311 |  | 13663 | 64152 | 82367
25000 | 58 | 112920 |  | 23 | 108 | 36963
31000 | 58 | 541830 |  | 4 | 5 | 88420
48000 | 58 | 326220 |  | 33 | 1303 | 65697
33000 | 58 | 623311 |  | 44 | 2998 | 42122
54000 | 56 | 5615 |  | 70 | 468 | 46585
11000 | 58 | 541410 |  | 89 | 435 | 123082
35000 | 58 | 112920 |  | 23 | 114 | 33616
04000 | 58 | 541890 |  | 175 | 1618 | 44211
54000 | 58 | 334419 | N | 1 | 0 | 0
06000 | 58 | 332410 |  | 20 | 374 | 80613
18000 | 58 | 325413 |  | 15 | 2968 | 148603
30000 | 58 | 811210 |  | 89 | 224 | 73149
(62112 rows; csv has all)
