-- S09 OSHA 300A worksite summaries 2023 and 2024, one row per worksite (latest submission), rolled up by state x NAICS x employer type
YR | ST | NAICS | ETYPE | SITES | EMP | SITES20 | EMP20 | HRS | DAFW | DEATHS
2024 | PA | 623311 | 1 | 162 | 28518 | 154 | 28439 | 128910882.0 | 622 | 0
2023 | WA | 491110 | 2 | 185 | 9773 | 136 | 9248 | 19757900.0 | 297 | 0
2023 | AK | 517110 | 1 | 3 | 2166 | 2 | 2151 | 4491095.0 | 12 | 0
2024 | MI | 621610 | 1 | 60 | 9299 | 48 | 9185 | 14209803.0 | 143 | 0
2023 | FL | 493110 | 1 | 353 | 65875 | 288 | 65245 | 119025601.0 | 690 | 0
2023 | PA | 238910 | 1 | 97 | 6137 | 88 | 6022 | 12089277.0 | 50 | 0
2023 | ID | 238130 | 1 | 7 | 276 | 3 | 234 | 843530.0 | 6 | 0
2023 | NJ | 562211 | 1 | 5 | 358 | 5 | 358 | 772287.0 | 2 | 0
2024 | OR | 621498 | 1 | 45 | 2682 | 29 | 2561 | 4883832.0 | 21 | 0
2024 | OR | 445110 | 1 | 304 | 29183 | 296 | 29070 | 59435364.0 | 634 | 0
2024 | IL | 444220 | 1 | 74 | 2810 | 44 | 2489 | 22860642.0 | 30 | 0
2024 | VA | 238220 | 1 | 134 | 14465 | 110 | 14188 | 27714759.0 | 100 | 0
2023 | MN | 622210 | 2 | 8 | 923 | 8 | 923 | 1653934.0 | 141 | 0
2024 | WI | 424820 | 1 | 13 | 1721 | 12 | 1706 | 3415647.0 | 20 | 0
2023 | MD | 444130 | 1 | 24 | 411 | 5 | 152 | 1107585.0 | 7 | 0
2024 | NY | 623110 | 1 | 366 | 75975 | 364 | 75948 | 282902851.0 | 2804 | 0
2023 | AZ | 339113 | 1 | 16 | 4706 | 16 | 4706 | 7589842.0 | 110 | 0
2023 | OH | 322212 | 1 | 19 | 2554 | 17 | 2525 | 4992150.0 | 18 | 0
2023 | WA | 321211 | 1 | 2 | 162 | 2 | 162 | 333756.0 | 4 | 0
2023 | FL | 453310 | 1 | 103 | 4653 | 89 | 4496 | 6687835.0 | 62 | 0
2024 | UT | 484121 | 1 | 29 | 3978 | 22 | 3930 | 10750421.0 | 43 | 0
2024 | CA | 311941 | 1 | 18 | 2118 | 16 | 2101 | 4324023.0 | 21 | 0
2024 | NC | 562112 | 1 | 33 | 333 | 5 | 148 | 707305.0 | 0 | 0
2024 | TX | 493110 | 1 | 764 | 142378 | 647 | 141185 | 255101810.0 | 953 | 2
2024 | NJ | 561720 | 1 | 237 | 13929 | 76 | 13440 | 20186934.0 | 209 | 0
2024 | NY | 423930 | 1 | 109 | 2078 | 34 | 1700 | 4358365.0 | 72 | 0
2023 | TX | 444240 | 1 | 134 | 2726 | 78 | 1769 | 3818871.0 | 12 | 0
2024 | WV | 623110 | 1 | 93 | 7445 | 93 | 7445 | 13091233.0 | 699 | 0
2023 | TX | 326199 | 1 | 123 | 15398 | 111 | 15240 | 30380340.0 | 141 | 0
2024 | TN | 238140 | 1 | 17 | 933 | 13 | 891 | 1705550.0 | 3 | 0
2024 | VA | 326150 | 1 | 1 | 142 | 1 | 142 | 280498.0 | 2 | 0
2024 | OH | 484110 | 1 | 129 | 6986 | 105 | 6730 | 215478643.0 | 192 | 3
2024 | MT | 562112 | 1 | 4 | 8 | 0 | 0 | 17663.0 | 0 | 0
2023 | CT | 922160 | 3 | 104 | 5680 | 73 | 5361 | 7378193.0 | 165 | 0
2024 | CA | 721110 | 1 | 793 | 89905 | 719 | 88866 | 295770174.0 | 1966 | 2
2024 | OK | 488991 | 1 | 3 | 101 | 1 | 82 | 250330.0 | 6 | 0
2023 | CA | 485410 | 1 | 60 | 5795 | 57 | 5761 | 7076041.0 | 99 | 0
2024 | TN | 492110 | 1 | 179 | 56042 | 171 | 55994 | 77761095.0 | 1046 | 1
2024 | TX | 445110 | 1 | 1625 | 244616 | 1540 | 243456 | 337388384.0 | 1188 | 0
2024 | MO | 237990 | 1 | 15 | 871 | 11 | 813 | 1539911.0 | 3 | 0
2023 | MA | 445299 | 1 | 3 | 263 | 3 | 263 | 432312.0 | 13 | 0
2024 | AL | 444110 | 1 | 117 | 14079 | 111 | 14047 | 21338842.0 | 179 | 0
2024 | CO | 238220 | 1 | 132 | 14536 | 113 | 14301 | 30022474.0 | 106 | 0
2023 | OR | 452112 | 1 | 94 | 6881 | 94 | 6881 | 9521683.0 | 158 | 0
2024 | MO | 325314 | 1 | 6 | 277 | 5 | 260 | 583281.0 | 1 | 0
2024 | KS | 238290 | 1 | 16 | 1781 | 12 | 1739 | 3720403.0 | 10 | 1
2024 | PA | 455219 | 1 | 507 | 19528 | 507 | 19528 | 7747812.0 | 55 | 0
2024 | MO | 493110 | 1 | 151 | 22475 | 125 | 22239 | 37425518.0 | 222 | 0
2023 | IN | 622110 | 1 | 117 | 107560 | 116 | 107541 | 174242533.0 | 796 | 0
2024 | IN | 623110 | 1 | 353 | 34388 | 348 | 34342 | 1300358429.0 | 460 | 0
2023 | MO | 444240 | 1 | 31 | 581 | 10 | 218 | 750547.0 | 11 | 0
2024 | MI | 336320 | 1 | 21 | 3853 | 20 | 3835 | 7886930.0 | 17 | 0
2023 | LA | 622110 | 1 | 61 | 49444 | 60 | 49441 | 81666607.0 | 192 | 0
2024 | NC | 327110 | 1 | 4 | 266 | 4 | 266 | 989828.0 | 2 | 0
2023 | MI | 813410 | 1 | 5 | 1465 | 3 | 1459 | 1107274.0 | 4 | 0
2024 | TN | 488119 | 1 | 21 | 1315 | 19 | 1299 | 1779214.0 | 19 | 0
2023 | CO | 445110 | 1 | 417 | 42555 | 401 | 42365 | 62220371.0 | 744 | 0
2023 | FL | 325998 | 1 | 10 | 703 | 9 | 684 | 1165601.0 | 3 | 0
2024 | CA | 562211 | 1 | 17 | 605 | 11 | 572 | 1245579.0 | 4 | 0
2023 | GA | 236220 | 1 | 134 | 11053 | 107 | 10811 | 56208693.0 | 39 | 1
2023 | OH | 321911 | 1 | 14 | 1141 | 12 | 1122 | 2118726.0 | 11 | 0
2023 | CA | 423930 | 1 | 88 | 3906 | 69 | 3680 | 8426130.0 | 40 | 0
2023 | MN | 921190 | 1 | 20 | 1930 | 16 | 1913 | 3061818.0 | 33 | 0
2023 | IA | 326199 | 1 | 36 | 4984 | 34 | 4958 | 9172017.0 | 68 | 0
2024 | OH | 493110 | 1 | 463 | 98752 | 390 | 98036 | 159695571.0 | 875 | 2
2023 | OH | 333413 | 1 | 14 | 1060 | 13 | 1054 | 2193458.0 | 13 | 0
2023 | NC | 531312 | 1 | 90 | 981 | 6 | 481 | 1511321.0 | 4 | 0
2024 | GA | 423820 | 1 | 52 | 2028 | 41 | 1860 | 3665625.0 | 9 | 0
2023 | CO | 622110 | 1 | 51 | 50251 | 51 | 50251 | 74111681.0 | 255 | 0
2023 | TX | 236117 | 1 | 63 | 7316 | 63 | 7316 | 11926157.0 | 31 | 0
2024 | OR | 622210 | 1 | 35 | 1735 | 17 | 1549 | 2967777.0 | 38 | 0
2023 | PA | 455219 | 1 | 174 | 4973 | 174 | 4973 | 3304711.0 | 30 | 0
2023 | IL | 444130 | 1 | 85 | 1969 | 28 | 1224 | 2718411.0 | 26 | 0
2024 | IN | 921190 | 3 | 38 | 6868 | 22 | 6767 | 9158652.0 | 59 | 0
2023 | UT | 488190 | 1 | 11 | 1531 | 11 | 1531 | 2862419.0 | 14 | 0
