-- S11 Toptier time check, rerun of S07 with casts that accept the real column types: contract obligations by agency and fiscal year, Oct-Jun window
AGENCY | FY | OBLIG_OCT_JUN | OBLIG_FULL | N | BAD_DATE | BAD_AMT | LAST_ACTION
Administrative Conference of the U.S. | 2019 | 120150.06 | 217547.36 | 9 | 0 | 0 | 2019-08-15
Administrative Conference of the U.S. | 2020 | 143388.64 | 234001.44 | 10 | 0 | 0 | 2020-09-30
Administrative Conference of the U.S. | 2021 | 126056.16 | 194608.16 | 6 | 0 | 0 | 2021-09-01
Administrative Conference of the U.S. | 2022 | 119514.79000000001 | 154770.79 | 7 | 0 | 0 | 2022-08-02
Administrative Conference of the U.S. | 2023 | 68328.0 | 93328.0 | 4 | 0 | 0 | 2023-07-12
Administrative Conference of the U.S. | 2024 | 102420.0 | 102420.0 | 1 | 0 | 0 | 2023-12-21
Administrative Conference of the U.S. | 2025 | 0.0 | 26500.0 | 1 | 0 | 0 | 2025-08-12
Administrative Conference of the U.S. | 2026 | 0.0 | 27050.0 | 1 | 0 | 0 | 2026-08-12
Agency for International Development | 2019 | 2963235252.95 | 5456560673.95 | 9080 | 0 | 0 | 2019-09-30
Agency for International Development | 2020 | 3951704207.2499995 | 6012108521.93 | 8869 | 0 | 0 | 2020-09-30
Agency for International Development | 2021 | 3232704071.7799997 | 5483556602.03 | 8334 | 0 | 0 | 2021-09-30
Agency for International Development | 2022 | 3272999392.55 | 5909322961.87 | 9176 | 0 | 0 | 2022-09-30
Agency for International Development | 2023 | 3844894450.8599997 | 6684456104.63 | 8705 | 0 | 0 | 2023-09-30
Agency for International Development | 2024 | 4140947036.28 | 7444753388.62 | 9123 | 0 | 0 | 2024-09-30
Agency for International Development | 2025 | 2633908683.4800005 | 4099062195.3400006 | 6077 | 0 | 0 | 2025-09-30
Agency for International Development | 2026 | 664281301.22 | 726562771.3699999 | 546 | 0 | 0 | 2026-08-21
American Battle Monuments Commission | 2025 | 278000.0 | 278000.0 | 2 | 0 | 0 | 2025-02-03
American Battle Monuments Commission | 2026 | 861248.16 | 861248.16 | 2 | 0 | 0 | 2026-07-29
Committee for Purchase from People Who Are Blind or Severely Disabled | 2019 | 1660360.9299999997 | 2325391.2600000002 | 31 | 0 | 0 | 2019-09-30
Committee for Purchase from People Who Are Blind or Severely Disabled | 2020 | 2230254.11 | 2481994.4699999997 | 43 | 0 | 0 | 2020-09-30
Committee for Purchase from People Who Are Blind or Severely Disabled | 2021 | 2587325.5 | 3110600.9699999997 | 50 | 0 | 0 | 2021-09-23
Committee for Purchase from People Who Are Blind or Severely Disabled | 2022 | 1893613.73 | 2065656.5999999999 | 55 | 0 | 0 | 2022-09-30
Committee for Purchase from People Who Are Blind or Severely Disabled | 2023 | 1471880.0699999998 | 4079143.8400000003 | 48 | 0 | 0 | 2023-09-26
Committee for Purchase from People Who Are Blind or Severely Disabled | 2024 | 1271605.47 | 2221076.8000000003 | 45 | 0 | 0 | 2024-09-26
Committee for Purchase from People Who Are Blind or Severely Disabled | 2025 | 1733609.24 | 2064250.2899999998 | 46 | 0 | 0 | 2025-09-30
