-- S12 OSHA 300A 2023 and 2024 again, now with site-level sanity filters (1-50,000 workers, 500-4,500 hours per worker), private employers only
YR | ST | NAICS | SITES_ALL | SITES_OK | EMP_OK | EMP20_OK | SITES20_OK | DAFW_OK
2024 | HI | 322230 | 1 | 1 | 4 | 0 | 0 | 0
2024 | MT | 311811 | 1 | 1 | 36 | 36 | 1 | 1
2023 | KY | 333244 | 1 | 1 | 101 | 101 | 1 | 1
2023 | IL | 339992 | 1 | 1 | 31 | 31 | 1 | 0
2024 | MT | 327332 | 1 | 1 | 32 | 32 | 1 | 0
2023 | IL | 621410 | 1 | 1 | 48 | 48 | 1 | 0
2023 | SD | 335121 | 1 | 1 | 20 | 20 | 1 | 0
2024 | KY | 445120 | 1 | 1 | 23 | 23 | 1 | 0
2023 | NY | 423920 | 1 | 1 | 13 | 0 | 0 | 0
2024 | MS | 485510 | 1 | 1 | 18 | 0 | 0 | 0
2023 | TX | 541613 | 1 | 1 | 7 | 0 | 0 | 0
2024 | MA | 334514 | 1 | 1 | 72 | 72 | 1 | 2
2024 | NM | 442210 | 1 | 1 | 53 | 53 | 1 | 0
2024 | TX | 541620 | 1 | 1 | 28 | 28 | 1 | 0
2023 | AR | 334419 | 1 | 1 | 45 | 45 | 1 | 0
2023 | MS | 451130 | 1 | 1 | 160 | 160 | 1 | 1
2023 | IN | 531190 | 1 | 1 | 16 | 0 | 0 | 0
2023 | KS | 333994 | 1 | 1 | 160 | 160 | 1 | 0
2024 | RI | 326130 | 1 | 1 | 180 | 180 | 1 | 0
2024 | NH | 621493 | 2 | 2 | 49 | 43 | 1 | 0
2023 | GA | 445292 | 1 | 1 | 36 | 36 | 1 | 0
2023 | ND | 611430 | 1 | 0 | 0 | 0 | 0 | 0
2024 | VI | 448310 | 1 | 1 | 37 | 37 | 1 | 1
2024 | NH | 238330 | 2 | 2 | 95 | 95 | 2 | 2
2023 | AL | 445230 | 1 | 1 | 150 | 150 | 1 | 2
2023 | MS | 486110 | 1 | 1 | 9 | 0 | 0 | 0
2024 | OR | 337127 | 1 | 1 | 26 | 26 | 1 | 3
2024 | AL | 441120 | 1 | 1 | 258 | 258 | 1 | 2
2023 | MO | 521110 | 1 | 1 | 81 | 81 | 1 | 0
2024 | KS | 311514 | 1 | 1 | 92 | 92 | 1 | 0
2023 | IN | 611691 | 1 | 1 | 21 | 21 | 1 | 0
2023 | MS | 562211 | 1 | 1 | 6 | 0 | 0 | 0
2023 | WI | 321213 | 1 | 1 | 97 | 97 | 1 | 0
2023 | AR | 335991 | 1 | 1 | 28 | 28 | 1 | 0
2023 | MD | 621492 | 1 | 1 | 94 | 94 | 1 | 0
2024 | NY | 325612 | 2 | 2 | 550 | 550 | 2 | 22
2023 | KY | 423910 | 1 | 1 | 91 | 91 | 1 | 1
2023 | NC | 334112 | 1 | 1 | 221 | 221 | 1 | 2
2023 | SD | 336611 | 1 | 1 | 245 | 245 | 1 | 0
2024 | NY | 424320 | 1 | 1 | 34 | 34 | 1 | 0
2024 | NV | 115115 | 1 | 1 | 24 | 24 | 1 | 0
2023 | WA | 331511 | 1 | 1 | 198 | 198 | 1 | 4
2023 | NJ | 541320 | 1 | 1 | 28 | 28 | 1 | 0
2023 | CT | 441120 | 1 | 1 | 23 | 23 | 1 | 0
2024 | NE | 811192 | 1 | 1 | 6 | 0 | 0 | 2
2024 | UT | 333414 | 1 | 1 | 340 | 340 | 1 | 0
2023 | MO | 337126 | 1 | 1 | 71 | 71 | 1 | 0
2024 | IA | 444210 | 1 | 1 | 4 | 0 | 0 | 0
2023 | LA | 423860 | 1 | 1 | 39 | 39 | 1 | 1
