-- S17 OSHA 300A: biggest filers of any industry in VT, NM and HI (catches big hospitals filed under odd names or codes)
YR | ST | CITY | ESTABLISHMENT_NAME | COMPANY_NAME | NAICS_CODE | ESTABLISHMENT_TYPE | EMP
2023 | HI | Kailua-Kona | Roberts Tours and Transportation Inc, Hilo and Kona | Roberts Hawaii | 487110 | 1 | 296950
2023 | HI | HONOLULU | 9095-HNL |  | 481111 | 1 | 4690
2023 | HI | HONOLULU | HNL HONOLULUL | Hawaiian Airlines, Inc. HONOLULUL | 481111 | 1 | 4690
2023 | HI | HONOLULU | 12812007 MOANALUA MEDICAL OFFICES | Kaiser Foundation Health Plan MOANALUA MEDICAL OFFICES | 622110 | 1 | 2296
2023 | HI | Honolulu | Hawaiian Electric Company | Hawaiian Electric Company | 551112 | 1 | 2048
2023 | HI | Honolulu | Hawaiian Electric Company | Hawaiian Electric Company | 551112 | 1 | 2048
2023 | HI | HONOLULU | HNLPW9743 HNL - RAMP SERVICES | Worldwide Flight Services HNL - RAMP SERVICES | 488119 | 1 | 2043
2023 | HI | HONOLULU | 26357 HILTON HONOLULU HAWAIIAN VILLAGE, HI | Hilton Worldwide Holdings, Inc. HILTON HONOLULU HAWAIIAN VILLAGE, HI | 721110 | 1 | 1902
2023 | HI | Kapolei | Disney Vacation Club Hawaii Management Company, LLC dba Aulani, A Disney Resort & Spa | The Walt Disney Company | 721110 | 1 | 1641
2023 | HI | Hilo | Hilo Medical Center | Hawaii Health Systems Corporation | 622110 | 2 | 1388
2023 | HI | WAILUKU | 36136050 MAUI MEMORIAL   COTTAGE BUILDINGS | Kaiser Foundation Health Plan MAUI MEMORIAL COTTAGE BUILDINGS | 622110 | 1 | 1388
2023 | HI | Laie | Polynesian Cultural Center | The Church of Jesus Christ of Latter day Saints | 712110 | 1 | 1360
2023 | HI | Kailua-Kona | Hualalai Investors LLC | Hualalai Investors, LLC | 721110 | 1 | 1336
2023 | HI | Honolulu | Nan, Inc. | Nan, Inc. | 236220 | 1 | 1277
2023 | HI | LIHUE | LIHCX0UPS LIH - UPS | Worldwide Flight Services LIH - UPS | 488119 | 1 | 1077
2023 | HI | HONOLULU | HNL HNL | United Continental Holdings Inc HNL | 481111 | 1 | 1035
2023 | HI | Honolulu | Sheraton Waikiki | Kyo-ya Ohana LLC | 721110 | 1 | 1025
2023 | HI | Wailea | Four Seasons Resort Maui |  | 721110 | 1 | 1019
2023 | HI | HONOLULU | 9095-HDQ |  | 488119 | 1 | 950
2023 | HI | HONOLULU | HDQ HEADQUARTERS | Hawaiian Airlines, Inc. HEADQUARTERS | 488119 | 1 | 950
