-- S21 QCEW pay trap: does AVG_ANNUAL_PAY equal wages / jobs, by aggregation level
AGG | N | OFF_BY_2 | MED_RATIO | MED_RATIO_WEEKLY | SAMPLE_ROW
10 | 1 | 0 | 0.999996000 | 0.999914000 | US000 10 emp=150025655 wages=10499737035094 wk=1346 pay=69986
11 | 4 | 0 | 0.999998500 | 0.999945000 | US000 10 emp=128718060 wages=9054842577232 wk=1353 pay=70346
12 | 8 | 0 | 1.000000000 | 0.999885000 | US000 102 emp=4468410 wages=326224078351 wk=1404 pay=73007
13 | 43 | 10 | 0.999999000 | 0.999955000 | US000 1025 emp=23350377 wages=1422871666179 wk=1172 pay=60936
14 | 67 | 15 | 1.000001000 | 0.999932000 | US000 51 emp=6493 wages=579705566 wk=1717 pay=89288
15 | 261 | 97 | 1.000000000 | 1.000000000 | 
16 | 639 | 233 | 1.000001000 | 1.000000000 | US000 3351 emp=39775 wages=2977131680 wk=1439 pay=74849
17 | 1191 | 406 | 1.000001000 | 0.999992000 | 
18 | 1623 | 570 | 1.000001000 | 0.999992000 | US000 711190 emp=7637 wages=428499675 wk=1079 pay=56111
30 | 169 | 0 | 1.000000000 | 1.000019000 | CS306 10 emp=70660 wages=3268971279 wk=890 pay=46263
40 | 388 | 0 | 1.000001000 | 1.000017500 | C1118 10 emp=46766 wages=2814579279 wk=1157 pay=60185
41 | 1502 | 611 | 1.000001000 | 1.000000000 | C3530 10 emp=5516 wages=537472583 wk=1874 pay=97440
42 | 771 | 73 | 1.000001000 | 0.999980000 | C2518 102 emp=67850 wages=3149159478 wk=893 pay=46414
43 | 3868 | 1791 | 1.000002000 | 1.000000000 | 
44 | 6125 | 3573 | 1.000003000 | 0.999998000 | C3102 31-33 emp=6962 wages=558277153 wk=1542 pay=80195
45 | 20453 | 16025 | 1.000008000 | 1.000000000 | 
46 | 48638 | 41805 | 1.000009000 | 1.000000000 | 
47 | 74623 | 65697 | 1.000010000 | 1.000000000 | C1446 53211 emp=1957 wages=127341703 wk=1252 pay=65086
48 | 84840 | 75038 | 1.000009000 | 1.000000000 | 
50 | 53 | 0 | 1.000000000 | 1.000087000 | 31000 10 emp=983968 wages=56358007154 wk=1101 pay=57276
51 | 211 | 8 | 1.000000000 | 0.999987000 | 40000 10 emp=62352 wages=3554028802 wk=1096 pay=56999
52 | 362 | 89 | 1.000001000 | 0.999967000 | 
53 | 1802 | 879 | 1.000001000 | 0.999985500 | 
54 | 2764 | 1391 | 1.000002000 | 0.999996500 | 38000 22 emp=3189 wages=391282134 wk=2360 pay=122713
55 | 8082 | 4861 | 1.000003000 | 1.000000000 | 
56 | 18904 | 13325 | 1.000005000 | 1.000000000 | 
57 | 35318 | 27994 | 1.000006000 | 1.000000000 | 
58 | 44831 | 36620 | 1.000007000 | 1.000000000 | 53000 456110 emp=11262 wages=596528919 wk=1019 pay=52970
70 | 3274 | 1174 | 1.000002000 | 1.000000000 | 01115 10 emp=19970 wages=955538551 wk=920 pay=47848
71 | 12727 | 9322 | 1.000005000 | 1.000000000 | 
72 | 16754 | 12508 | 1.000006000 | 1.000000000 | 
73 | 60027 | 49582 | 1.000007000 | 1.000000000 | 
74 | 76609 | 63984 | 1.000007000 | 1.000000000 | 
75 | 165556 | 142506 | 1.000008000 | 1.000000000 | 39061 459 emp=5499 wages=162656957 wk=569 pay=29578
76 | 251660 | 221508 | 1.000010000 | 1.000000000 | 48303 4238 emp=1250 wages=100213624 wk=1541 pay=80150
77 | 315678 | 277416 | 1.000009000 | 1.000000000 | 
78 | 331795 | 291997 | 1.000009000 | 1.000000000 | 
80 | 541 | 43 | 1.000002000 | 1.000018000 | C4122 10 emp=15205 wages=776893941 wk=983 pay=51095
91 | 1 | 0 | 1.000001000 | 0.999720000 | USMSA 10 emp=128949382 wages=9197178679113 wk=1372 pay=71324
92 | 1 | 0 | 0.999994000 | 0.999778000 | USCMS 10 emp=113839785 wages=8220651287946 wk=1389 pay=72212
93 | 1 | 0 | 0.999998000 | 0.999579000 | USNMS 10 emp=21076273 wages=1302558355981 wk=1189 pay=61802
94 | 1 | 0 | 1.000001000 | 1.000273000 | US000 10 emp=147162048 wages=10234078472403 wk=1337 pay=69543
95 | 1 | 0 | 0.999996000 | 1.000044000 | US000 10 emp=21307595 wages=1444894457862 wk=1304 pay=67811
96 | 53 | 0 | 1.000000000 | 1.000020000 | 35000 10 emp=172193 wages=10548661792 wk=1178 pay=61261
(44 rows; csv has all)
