-- S22 Revoked, no reinstatement in the file, master-file ruling date BEFORE the revocation, still in Pub 78, filed after: top 25 by revenue, plus revocation-year spread
KIND | EIN | NM | BNM | ST | EX | SUB | GRP | RD | RUL | TP | REV | N
top | 237067592 | THE GOVERNORS OF THE UNIVERSITY OF CALGARY | THE GOVERNORS OF THE UNIVERSITY OF CALGARY |  | 03 | 03 | 0000 | 2024-08-15 | 1969-12-01 | 2025-03-01 | 1269761785 | 
top | 462097818 | UMSJ HEALTH SYSTEM I LLC | UMSJ HEALTH SYSTEM LLC | MD | 03 | 03 | 0000 | 2015-11-15 | 2014-09-01 | 2025-06-01 | 605586313 | 
top | 465444821 | UNIVERSITY OF MINNESOTA HEALTH CLINICS AND SURGERY CENTER INC | UNIVERSITY OF MINNESOTA HEALTH CLINICS AND SURGERY CENTER INC | MN | 03 | 03 | 0000 | 2017-05-15 | 2014-11-01 | 2024-12-01 | 173022208 | 
top | 850988160 | BON SECOURS MEDICAL GROUP GREENVILLE SPECIALTY CARE LLC | BON SECOURS MEDICAL GROUP GREENVILLE SPECIALTY CARE LLC | OH | 03 | 03 | 0000 | 2023-05-15 | 2023-01-01 | 2024-12-01 | 155644298 | 
top | 383198397 | MOBILE MEDICAL RESPONSE INC | MOBILE MEDICAL RESPONSE INC | MI | 03 | 03 | 0000 | 2013-11-15 | 1995-02-01 | 2025-06-01 | 74392656 | 
top | 455040456 | COOPER LANNING SQUARE RENAISSANCE SCHOOL INC | KIPP COOPER NORCROSS A NEW JERSEY NONPROFIT CORPORATION | NJ | 03 | 03 | 0000 | 2014-11-15 | 2013-10-01 | 2025-06-01 | 74146527 | 
top | 910905644 | NORTHWEST INDIAN COLLEGES | NORTHWEST INDIAN COLLEGES | WA | 03 | 03 | 0000 | 2023-11-15 | 1975-03-01 | 2025-06-01 | 31736188 | 
top | 351270418 | JOHNSON NICHOLS HEALTH CLINIC INC | CENTERSTONE HEALTH SERVICES INC | IN | 03 | 03 | 0000 | 2021-05-15 | 1973-05-01 | 2024-12-01 | 26434943 | 
top | 261132409 | COMMUNITY CHARTER SCHOOL OF | THE COMMUNITY CHARTER SCHOOL OF PATERSON INC | NJ | 03 | 03 | 0000 | 2012-11-15 | 2011-09-01 | 2025-06-01 | 23498823 | 
top | 660217275 | SOCIEDAD PARA ASISTENCIA LEGAL DE PR | SOCIEDAD PARA ASISTENCIA LEGAL DE PUERTO RICO INC | PR | 03 | 03 | 0000 | 2014-11-15 | 1980-04-01 | 2025-06-01 | 22100003 | 
top | 273116187 | TRINITY CHRISTIAN ACADEMY OF | TRINITY CHRISTIAN ACADEMY OF JACKSONVILLE INC | FL | 03 | 03 | 0000 | 2013-05-15 | 2013-01-01 | 2025-06-01 | 18013478 | 
top | 471204443 | BALTIMORE AFFORDABLE HOUSING DEVELOPMENT INC | BALTIMORE AFFORDABLE HOUSING DEVELOPMENT INC | MD | 03 | 03 | 0000 | 2016-11-15 | 2015-02-01 | 2024-12-01 | 15994584 | 
top | 860465177 | CATHOLIC COMMUNITY FOUNDATION FOR THE DIOCESE OF PHOENIX | CATHOLIC COMMUNITY FOUNDATION FOR THE DIOCESE OF PHOENIX | AZ | 03 | 03 | 0000 | 2021-11-15 | 2005-03-01 | 2025-06-01 | 14458576 | 
top | 900717690 | EMPOWER COLLEGE PREP | EMPOWER COLLEGE PREP | AZ | 03 | 03 | 0000 | 2013-11-15 | 2011-12-01 | 2025-06-01 | 14164396 | 
top | 391919806 | COMMUNITY HEALTH SYSTEMS INC | COMMUNITY HEALTH SYSTEMS INC | WI | 03 | 03 | 0000 | 2017-11-15 | 1998-11-01 | 2025-06-01 | 13375881 | 
top | 752123252 | SOUTH PLAINS RURAL HEALTH SERVICE INC | SOUTH PLAINS RURAL HEALTH SERVICES INC | TX | 03 | 03 | 0000 | 2013-10-15 | 1986-10-01 | 2025-05-01 | 12413505 | 
top | 452770109 | LOVELAND ELDER GREEN HOUSE HOMES FOR LIFE ENRICHMENT A COLORADO NON | LOVELAND ELDER GREEN HOUSE HOMES FOR LIFE ENRICHMENT A COLORADO NON | CO | 03 | 03 | 0000 | 2014-05-15 | 2013-01-01 | 2023-12-01 | 11875498 | 
top | 451559426 | PUEBLO SCHOOL FOR ARTS AND SCIENCES | PUEBLO SCHOOL FOR ARTS AND SCIENCES | CO | 03 | 03 | 0000 | 2013-11-15 | 2013-06-01 | 2025-06-01 | 10897050 | 
top | 825100978 | YOUTH ART LIFE | YOUTH ART LIFE | OH | 03 | 03 | 0000 | 2021-05-15 | 2018-10-01 | 2025-07-01 | 10610550 | 
top | 843078357 | BARKER BLUE DOG | BARKER BLUE DOG | CA | 03 | 03 | 0000 | 2024-05-15 | 2022-05-01 | 2024-06-01 | 9382020 | 
top | 050589120 | UNITED HEALTH CENTER | UNITED HEALTH CENTERS | NC | 03 | 03 | 0000 | 2017-10-15 | 2004-10-01 | 2025-05-01 | 8075775 | 
top | 461001385 | KENT COUNTY REGIONAL SPORTS COMPLEX CORP | KENT COUNTY REGIONAL SPORTS COMPLEX CORP | DE | 03 | 03 | 0000 | 2015-05-15 | 2014-05-01 | 2024-12-01 | 7164850 | 
top | 460348571 | SOUTH DAKOTA URBAN INDIAN HEALTH INC SDUIH | SOUTH DAKOTA URBAN INDIAN HEALTH INC SDUIH | SD | 03 | 03 | 0000 | 2024-02-15 | 1978-11-01 | 2024-09-01 | 6975211 | 
top | 800388783 | VILLA LYAN INC | VILLA LYAN INC | FL | 03 | 03 | 0000 | 2022-05-15 | 2010-09-01 | 2024-12-01 | 6323282 | 
top | 873685420 | FRIENDS VILLAGE INC | FRIENDS VILLAGE INC | NJ | 03 | 03 | 0000 | 2024-05-15 | 2022-03-01 | 2024-12-01 | 6196460 | 
year |  |  |  |  |  |  |  | 2024-01-01 |  |  | 1307297649 | 148
year |  |  |  |  |  |  |  | 2015-01-01 |  |  | 642443585 | 148
year |  |  |  |  |  |  |  | 2018-01-01 |  |  | 11663708 | 73
year |  |  |  |  |  |  |  | 2013-01-01 |  |  | 153536448 | 109
year |  |  |  |  |  |  |  | 2010-01-01 |  |  | 5843432 | 101
year |  |  |  |  |  |  |  | 2021-01-01 |  |  | 116061809 | 246
year |  |  |  |  |  |  |  | 2025-01-01 |  |  | 2372811 | 52
year |  |  |  |  |  |  |  | 2012-01-01 |  |  | 33959530 | 81
year |  |  |  |  |  |  |  | 2017-01-01 |  |  | 213694329 | 122
year |  |  |  |  |  |  |  | 2022-01-01 |  |  | 40617114 | 210
grp |  |  |  |  |  |  | group |  |  |  | 7256717 | 14
year |  |  |  |  |  |  |  | 2016-01-01 |  |  | 52819221 | 131
year |  |  |  |  |  |  |  | 2014-01-01 |  |  | 128289542 | 140
year |  |  |  |  |  |  |  | 2011-01-01 |  |  | 15832495 | 75
year |  |  |  |  |  |  |  | 2019-01-01 |  |  | 24629016 | 124
year |  |  |  |  |  |  |  | 2023-01-01 |  |  | 216548086 | 191
year |  |  |  |  |  |  |  | 2020-01-01 |  |  | 53627525 | 254
grp |  |  |  |  |  |  | none |  |  |  | 3011979583 | 2191
(43 rows; csv has all)
