-- S01 column types for my five tables and the two revocation tables (information schema)
TABLE_NAME | COLUMN_NAME | DATA_TYPE | ORDINAL_POSITION
ECONOMICS__FED_GRANTS_GOV | OPPORTUNITY_ID | TEXT | 1
ECONOMICS__FED_GRANTS_GOV | OPPORTUNITY_NUMBER | TEXT | 2
ECONOMICS__FED_GRANTS_GOV | OPPORTUNITY_TITLE | TEXT | 3
ECONOMICS__FED_GRANTS_GOV | AGENCY_CODE | TEXT | 4
ECONOMICS__FED_GRANTS_GOV | AGENCY_NAME | TEXT | 5
ECONOMICS__FED_GRANTS_GOV | OPPORTUNITY_STATUS | TEXT | 6
ECONOMICS__FED_GRANTS_GOV | OPPORTUNITY_CATEGORY | TEXT | 7
ECONOMICS__FED_GRANTS_GOV | FUNDING_INSTRUMENT_TYPE | TEXT | 8
ECONOMICS__FED_GRANTS_GOV | CATEGORY_OF_FUNDING_ACTIVITY | TEXT | 9
ECONOMICS__FED_GRANTS_GOV | CFDA_NUMBERS | TEXT | 10
ECONOMICS__FED_GRANTS_GOV | ELIGIBLE_APPLICANTS | TEXT | 11
ECONOMICS__FED_GRANTS_GOV | AWARD_CEILING | TEXT | 12
ECONOMICS__FED_GRANTS_GOV | AWARD_FLOOR | TEXT | 13
ECONOMICS__FED_GRANTS_GOV | ESTIMATED_TOTAL_PROGRAM_FUNDING | TEXT | 14
ECONOMICS__FED_GRANTS_GOV | EXPECTED_NUMBER_OF_AWARDS | TEXT | 15
ECONOMICS__FED_GRANTS_GOV | POSTED_DATE | DATE | 16
ECONOMICS__FED_GRANTS_GOV | CLOSE_DATE | DATE | 17
ECONOMICS__FED_GRANTS_GOV | LAST_UPDATED_DATE | TEXT | 18
ECONOMICS__FED_GRANTS_GOV | ARCHIVE_DATE | TEXT | 19
ECONOMICS__FED_GRANTS_GOV | SYNOPSIS_DESC | TEXT | 20
ECONOMICS__FED_GRANTS_GOV | GRANTOR_CONTACT_EMAIL | TEXT | 21
ECONOMICS__FED_GRANTS_GOV | GRANTOR_CONTACT_NAME | TEXT | 22
ECONOMICS__FED_GRANTS_GOV | VERSION | TEXT | 23
ECONOMICS__FED_IRS_990_EFILE_INDEX | RETURN_ID | TEXT | 1
ECONOMICS__FED_IRS_990_EFILE_INDEX | FILING_TYPE | TEXT | 2
ECONOMICS__FED_IRS_990_EFILE_INDEX | EIN | TEXT | 3
ECONOMICS__FED_IRS_990_EFILE_INDEX | TAX_PERIOD | TEXT | 4
ECONOMICS__FED_IRS_990_EFILE_INDEX | SUB_DATE | DATE | 5
ECONOMICS__FED_IRS_990_EFILE_INDEX | SUB_DATE_RAW | TEXT | 6
ECONOMICS__FED_IRS_990_EFILE_INDEX | TAXPAYER_NAME | TEXT | 7
ECONOMICS__FED_IRS_990_EFILE_INDEX | RETURN_TYPE | TEXT | 8
ECONOMICS__FED_IRS_990_EFILE_INDEX | DLN | TEXT | 9
ECONOMICS__FED_IRS_990_EFILE_INDEX | OBJECT_ID | TEXT | 10
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | EIN | TEXT | 1
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | LEGAL_NAME | TEXT | 2
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | DOING_BUSINESS_AS | TEXT | 3
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | ORGANIZATION_ADDRESS | TEXT | 4
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | CITY | TEXT | 5
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | STATE | TEXT | 6
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | ZIP_CODE | TEXT | 7
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | COUNTRY | TEXT | 8
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | EXEMPTION_TYPE | TEXT | 9
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | REVOCATION_DATE | DATE | 10
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | REVOCATION_POSTING_DATE | DATE | 11
ECONOMICS__FED_IRS_AUTO_REVOCATIONS | REINSTATEMENT_DATE | DATE | 12
ECONOMICS__FED_IRS_FATCA_FFI_LIST | GIIN | TEXT | 1
ECONOMICS__FED_IRS_FATCA_FFI_LIST | FINM | TEXT | 2
ECONOMICS__FED_IRS_FATCA_FFI_LIST | COUNTRYNM | TEXT | 3
ECONOMICS__FED_IRS_REVOCATION | EIN | TEXT | 1
ECONOMICS__FED_IRS_REVOCATION | LEGAL_NAME | TEXT | 2
ECONOMICS__FED_IRS_REVOCATION | DBA_NAME | TEXT | 3
ECONOMICS__FED_IRS_REVOCATION | ADDRESS | TEXT | 4
ECONOMICS__FED_IRS_REVOCATION | CITY | TEXT | 5
ECONOMICS__FED_IRS_REVOCATION | STATE | TEXT | 6
ECONOMICS__FED_IRS_REVOCATION | ZIP_CODE | TEXT | 7
ECONOMICS__FED_IRS_REVOCATION | COUNTRY | TEXT | 8
ECONOMICS__FED_IRS_REVOCATION | EXEMPTION_TYPE | TEXT | 9
ECONOMICS__FED_IRS_REVOCATION | REVOCATION_DATE | TEXT | 10
ECONOMICS__FED_IRS_REVOCATION | REVOCATION_POSTING_DATE | TEXT | 11
ECONOMICS__FED_IRS_REVOCATION | REINSTATEMENT_DATE | TEXT | 12
(93 rows; csv has all)
