-- S04 SEC EDGAR (US): per company, rows, accessions, date span, forms, flags, and the recent window
CIK | NM | TK | N | ACC | F0 | F1 | FORMS | EINS | SIC | F424B2 | F8K | FKQ | F4 | FFWP | REG | ANN | QTR | SINCE2025 | RUNS | ADDRS
0000019617 | JPMORGAN CHASE & CO | JPM | 25351 | 25351 | 2025-07-01 | 2026-07-01 | 26 | 1 | 6021 | 22050 | 27 | 4 | 136 | 1710 | 23234 | 1 | 3 | 25351 | 1 | 1
0001403161 | VISA INC. | V | 1018 | 1018 | 2014-11-21 | 2026-07-01 | 43 | 1 | 7389 | 14 | 172 | 47 | 530 | 7 | 29 | 12 | 35 | 171 | 1 | 1
0000104169 | Walmart Inc. | WMT | 1009 | 1009 | 2023-03-13 | 2026-07-01 | 35 | 1 | 5331 | 6 | 45 | 14 | 686 | 3 | 13 | 4 | 10 | 509 | 1 | 1
0000034088 | EXXON MOBIL CORP | XOM | 1008 | 1008 | 2019-12-03 | 2026-07-01 | 43 | 1 | 2911 | 14 | 107 | 26 | 313 | 7 | 25 | 7 | 19 | 144 | 1 | 1
0000858877 | CISCO SYSTEMS, INC. | CSCO | 1006 | 1006 | 2020-02-12 | 2026-06-17 | 33 | 1 | 3576 | 4 | 78 | 26 | 554 | 2 | 95 | 6 | 20 | 263 | 1 | 1
0001141391 | Mastercard Inc | MA | 1005 | 1005 | 2018-06-28 | 2026-07-01 | 29 | 1 | 7389 | 22 | 93 | 32 | 571 | 11 | 25 | 8 | 24 | 175 | 1 | 1
0001018724 | AMAZON COM INC | AMZN | 1004 | 1004 | 2020-05-19 | 2026-06-12 | 31 | 1 | 5961 | 2 | 64 | 24 | 526 | 8 | 20 | 6 | 18 | 239 | 1 | 1
0001652044 | Alphabet Inc. | GOOGL | 1003 | 1003 | 2023-05-05 | 2026-06-30 | 27 | 1 | 7370 | 8 | 40 | 12 | 524 | 12 | 28 | 3 | 9 | 523 | 1 | 1
0000002488 | ADVANCED MICRO DEVICES INC | AMD | 1003 | 1003 | 2017-07-05 | 2026-07-01 | 38 | 1 | 3674 | 0 | 109 | 36 | 627 | 2 | 16 | 10 | 27 | 192 | 1 | 1
0001326801 | Meta Platforms, Inc. | META | 1002 | 1002 | 2024-05-16 | 2026-07-01 | 18 | 1 | 7370 | 6 | 22 | 8 | 544 | 3 | 16 | 2 | 6 | 653 | 1 | 1
0000018230 | CATERPILLAR INC | CAT | 1002 | 1002 | 2019-03-06 | 2026-07-01 | 27 | 1 | 3531 | 0 | 99 | 29 | 650 | 4 | 21 | 7 | 22 | 264 | 1 | 1
0000789019 | MICROSOFT CORP | MSFT | 1002 | 1002 | 2020-03-13 | 2026-06-25 | 31 | 1 | 7372 | 0 | 65 | 25 | 729 | 0 | 16 | 6 | 19 | 253 | 1 | 1
0001045810 | NVIDIA CORP | NVDA | 1001 | 1001 | 2020-06-12 | 2026-06-30 | 32 | 1 | 3674 | 0 | 60 | 24 | 565 | 2 | 11 | 6 | 18 | 362 | 1 | 1
0000200406 | JOHNSON & JOHNSON | JNJ | 1001 | 1001 | 2018-03-14 | 2026-06-25 | 45 | 1 | 2834 | 5 | 99 | 33 | 484 | 5 | 35 | 8 | 25 | 206 | 1 | 1
0001551152 | AbbVie Inc. | ABBV | 1001 | 1001 | 2017-03-10 | 2026-06-24 | 38 | 1 | 2834 | 0 | 138 | 37 | 575 | 6 | 26 | 9 | 28 | 168 | 1 | 1
0000707549 | LAM RESEARCH CORP | LRCX | 1001 | 1001 | 2015-02-10 | 2026-06-25 | 33 | 1 | 3559 | 0 | 135 | 45 | 586 | 4 | 19 | 11 | 34 | 118 | 1 | 1
0001318605 | Tesla, Inc. | TSLA | 1001 | 1001 | 2018-04-26 | 2026-06-17 | 40 | 1 | 3711 | 0 | 125 | 33 | 454 | 1 | 29 | 13 | 25 | 178 | 1 | 1
0000723125 | MICRON TECHNOLOGY INC | MU | 1001 | 1001 | 2017-05-17 | 2026-07-01 | 31 | 1 | 3674 | 8 | 134 | 37 | 583 | 10 | 31 | 9 | 28 | 226 | 1 | 1
0000059478 | ELI LILLY & Co | LLY | 1001 | 1001 | 2021-09-07 | 2026-06-26 | 35 | 1 | 2834 | 14 | 46 | 19 | 692 | 7 | 16 | 5 | 14 | 303 | 1 | 1
0000320193 | Apple Inc. | AAPL | 1000 | 1000 | 2015-05-29 | 2026-06-17 | 34 | 1 | 3571 | 48 | 104 | 44 | 589 | 24 | 59 | 11 | 33 | 127 | 1 | 1
0000006951 | APPLIED MATERIALS INC /DE | AMAT | 1000 | 1000 | 2013-02-19 | 2026-06-29 | 32 | 1 | 3674 | 4 | 141 | 54 | 586 | 5 | 26 | 13 | 41 | 121 | 1 | 1
0000050863 | INTEL CORP | INTC | 1000 | 1000 | 2019-02-13 | 2026-06-12 | 35 | 1 | 3674 | 0 | 121 | 29 | 626 | 9 | 30 | 7 | 22 | 167 | 1 | 1
0001067983 | BERKSHIRE HATHAWAY INC | BRK-B | 996 | 996 | 2016-09-14 | 2026-06-25 | 38 | 1 | 6331 | 12 | 73 | 39 | 271 | 25 | 64 | 10 | 29 | 146 | 1 | 1
0001730168 | Broadcom Inc. | AVGO | 978 | 978 | 2018-02-06 | 2026-06-29 | 39 | 1 | 3674 | 6 | 119 | 33 | 464 | 7 | 42 | 8 | 25 | 241 | 1 | 1
0000937966 | ASML HOLDING NV | ASML | 590 | 590 | 1995-05-19 | 2026-06-05 | 26 | 1 | 3559 | 0 | 0 | 0 | 0 | 0 | 43 | 27 | 0 | 18 | 1 | 1
(25 rows; csv has all)
