-- S05 990 e-file index: by index year and date format; ids, blanks, form mix, EIN width, tax-period span
SUB_Y | YEAR_ONLY | N | OBJS | DLNS | RID_BLANK | EINS | EIN_NOT9 | EIN_ZERO | R990 | R990EZ | R990PF | R990T | R_OTHER | TP0 | TP1 | JAN1
2017 | False | 488780 | 488780 | 488780 | 0 | 412191 | 0 | 0 | 207697 | 109601 | 68438 | 0 | 103044 | 191612 | 201710 | 0
2018 | False | 457274 | 457274 | 457274 | 0 | 409661 | 0 | 0 | 192461 | 103652 | 67520 | 0 | 93641 | 201412 | 201811 | 0
2019 | False | 416656 | 416656 | 416656 | 0 | 390492 | 0 | 0 | 173636 | 94971 | 64614 | 0 | 83435 | 201512 | 210805 | 0
2020 | False | 363848 | 363848 | 363848 | 0 | 342786 | 0 | 0 | 152885 | 81332 | 27883 | 0 | 101748 | 200103 | 202011 | 0
2021 | False | 383130 | 383130 | 383130 | 0 | 360952 | 0 | 0 | 190606 | 107728 | 67522 | 75 | 17199 | 201712 | 202110 | 0
2022 | False | 242003 | 242003 | 242003 | 0 | 229895 | 0 | 0 | 126666 | 62239 | 41121 | 11977 | 0 | 201810 | 202112 | 0
2022 | True | 656503 | 656503 | 656503 | 31199 | 592975 | 0 | 0 | 325555 | 189690 | 117073 | 24185 | 0 | 201901 | 202212 | 656503
2023 | True | 705156 | 705156 | 705156 | 24077 | 633094 | 0 | 0 | 347337 | 209957 | 124666 | 23196 | 0 | 202002 | 202312 | 705156
2024 | True | 728719 | 728719 | 728719 | 279505 | 648929 | 0 | 0 | 363100 | 215355 | 126982 | 23282 | 0 | 201912 | 202411 | 728719
2025 | True | 748906 | 748906 | 748906 | 336956 | 670859 | 0 | 0 | 376920 | 217102 | 130347 | 24537 | 0 | 202112 | 202512 | 748906
2026 | True | 353650 | 353650 | 353650 | 271153 | 334998 | 0 | 0 | 163606 | 111950 | 68094 | 10000 | 0 | 202212 | 202609 | 353650
 | False | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 202012 | 202012 | 0
(12 rows; csv has all)
