-- S07 FATCA FFI list: pull all rows (516K x 3 text columns) for local work
GIIN | FINM | COUNTRYNM
TXUCPS.99999.SL.702 | BREP ASIA SG RED FORT HOLDING (NQ) PTE. LTD | SINGAPORE
8FBWUP.99999.SL.702 | Chemstralia Pte. Ltd. | SINGAPORE
CJUWTK.99999.SL.702 | Bintang Mas Shipping Pte Ltd | SINGAPORE
YIDP6N.00000.SP.702 | Julius Baer Trust Company Singapore Ltd. | SINGAPORE
PK4Y78.99999.SL.702 | BCP V Singapore FVCI Pte. Ltd. | SINGAPORE
PXSVDN.99999.SL.702 | China Inter Cap Corp Singapore Pte Ltd | SINGAPORE
DK6U62.99999.SL.702 | Wynnes Financial Advisers Pte Ltd | SINGAPORE
LX3P0Q.99999.SL.702 | Transocean Oil Pte Ltd | SINGAPORE
BT2YNC.99999.SL.702 | NINEZERO DC PLATFORM II PTE. LTD. | SINGAPORE
SD6X07.00006.ME.702 | Lion Global Investors Limited | SINGAPORE
X0Y5EN.99999.SL.702 | Emergent Asia Logistics Management Pte. Ltd. | SINGAPORE
NCRIWG.00024.ME.702 | Nomura Securities Singapore Pte. Ltd. | SINGAPORE
G1S7BP.99999.SL.702 | Blue Chandra Pte. Ltd. | SINGAPORE
H8JE86.00539.ME.702 | J.P. Morgan (S.E.A.) Limited | SINGAPORE
JPGFMG.99999.SL.702 | Societa Chimica Lombarda Pte Ltd | SINGAPORE
JLXYAL.00000.SP.702 | R&H Trust Co.(Singapore)Pte. Limited | SINGAPORE
W72UZD.00000.LE.702 | Prologis China Logistics Venture 2, LP | SINGAPORE
NACAFS.99999.SL.702 | Yarigai Assets Pte. Ltd | SINGAPORE
G3GQ0Y.99999.SL.702 | iFAST-Eastspring Lion Bond Fund | SINGAPORE
NXUTG8.00340.ME.702 | Citigroup Holding Singapore Private LTD | SINGAPORE
NWRJC4.99999.SL.702 | MB Asia Real Estate Fund Holdings Pte Ltd. | SINGAPORE
5RZPAU.99999.SL.702 | EE Capital Pte. Ltd. | SINGAPORE
U4VZ4D.99999.SL.702 | GLAS Trust (Singapore) Ltd. | SINGAPORE
73SIH6.99999.SL.702 | Marex Spectron Asia Pte Ltd | SINGAPORE
QD69Z3.99999.SL.702 | ASK CAPITAL MANAGEMENT PTE. LTD. | SINGAPORE
CAVRDW.00014.ME.702 | ILP II VENTURES XIII PTE. LTD. | SINGAPORE
J8RYG2.00000.LE.702 | IndoSpace Logistics Parks III LP | SINGAPORE
9EFHAA.99999.SL.702 | AIRRO II Singapore 1 Pte. Ltd. | SINGAPORE
MJCASK.99999.SL.702 | G9 Japan Holding Pte. Ltd. | SINGAPORE
IFZXXS.00003.ME.702 | LSAV Project 2 Pte. Ltd. | SINGAPORE
L5AYII.99999.SL.702 | LionGlobal Asia Bond Fund | SINGAPORE
BTGAT6.00007.ME.702 | UOB Nominees 2006 Private Limited | SINGAPORE
47GNZC.99999.SL.702 | BREP VII GML HOLDING (NQ) PTE. LTD. | SINGAPORE
VTULJ0.99999.SL.702 | Eaton Vance Management International (Asia) Pte. Ltd. | SINGAPORE
7M1N4T.99999.SL.702 | Great World Music Investment Pte Ltd | SINGAPORE
ISR2A6.00000.SP.702 | F & H Fund Management Pte. Ltd. | SINGAPORE
0Q5ACC.99999.SL.702 | BOC INTERNATIONAL (SINGAPORE) PTE.LTD. | SINGAPORE
U41KZT.00000.SP.702 | Sovereign Management Services Pte Ltd | SINGAPORE
FYA1BG.99999.SL.702 | Ikigai Assets Pte. Ltd. | SINGAPORE
84E8UX.99999.SL.702 | Black River Food 2 Pte Ltd | SINGAPORE
232NDK.99999.SL.702 | Broad Peak Fund II GP Pte Ltd. | SINGAPORE
DKZ677.00012.ME.702 | Mandiri Securities PTE. LTD. | SINGAPORE
KD5YG6.99999.SL.702 | ESR-LOGOS REIT MTN Pte. Ltd | SINGAPORE
L92HPY.00031.ME.702 | Hoan My Holdings Pte.Ltd. | SINGAPORE
63Y9XM.99999.SL.702 | BREP Asia SG City View Holding (NQ) PTE. Ltd. | SINGAPORE
F6E9IN.99999.SL.702 | LionGlobal Short Duration Bond Fund | SINGAPORE
WEPHBC.00008.ME.702 | Lombard Odier (Singapore) Ltd | SINGAPORE
QVRQD2.00000.SP.702 | UOB Asset Management Ltd | SINGAPORE
HB4BG0.99999.SL.702 | Core Infrastructure India Fund Pte Ltd | SINGAPORE
WE6JUM.99999.SL.702 | AIF VIII Asia-Pacific Investments Pte. Ltd. | SINGAPORE
WFLBUF.99999.SL.702 | Mission Street Pte. Ltd. | SINGAPORE
W7D0UK.99999.SL.702 | Raffles Venture Partners Pte. Ltd. | SINGAPORE
EI7R0Q.00009.ME.702 | JEFFERIES ASIA HOLDINGS I PTE LTD | SINGAPORE
D1UHTE.99999.SL.702 | Cache Logistics Trust | SINGAPORE
S3N9JE.99999.SL.702 | INDOSPACE SINGAPORE PTE. LTD. | SINGAPORE
PT3SC8.99999.SL.702 | KKR Asia III Fund Investments Pte. Ltd. | SINGAPORE
UKGS38.99999.SL.702 | Virtu Financial Singapore Pte Limited | SINGAPORE
CSCLMC.99999.SL.702 | RCLF Dalian 1 Pte. Ltd. | SINGAPORE
H8JE86.00493.ME.702 | J.P. Morgan Securities Asia Private Limited | SINGAPORE
FCDEYY.99999.SL.702 | UTI INTERNATIONAL (SINGAPORE) PRIVATE LIMITED | SINGAPORE
(516298 rows; csv has all)
