-- S08 990 index: return types by date format (what the 'other' types are), and duplicate returns across the whole table
RETURN_TYPE | YEAR_ONLY | N | S0 | S1 | OBJS | EIN_PERIODS
990 | False | 1043951 | 2017-01-03 | 2022-11-03 | 1043951 | 1035295
990 | True | 1576518 | 2022-01-01 | 2026-01-01 | 1576518 | 1554037
990EO | False | 140343 | 2017-01-03 | 2021-04-22 | 140343 | 139915
990EZ | False | 559523 | 2017-01-03 | 2022-11-03 | 559523 | 557240
990EZ | True | 944054 | 2022-01-01 | 2026-01-01 | 944054 | 935924
990O | False | 228639 | 2017-01-03 | 2020-12-30 | 228639 | 227629
990PF | False | 337099 | 2017-01-03 | 2022-11-07 | 337099 | 335873
990PF | True | 567162 | 2022-01-01 | 2026-01-01 | 567162 | 562996
990PR | False | 30085 | 2020-06-08 | 2020-10-23 | 30085 | 30050
990T | False | 12052 | 2021-09-07 | 2022-11-03 | 12052 | 12028
990T | True | 105200 | 2022-01-01 | 2026-01-01 | 105200 | 104052
(11 rows; csv has all)
