-- S10 JOIN: revoked nonprofits (auto-revocation list, revocation dated 2019 on) x their e-filed 990/990EZ/990PF returns.
EIN | LEGAL_NAME | CITY | STATE | EXEMPTION_TYPE | D | PD | RD | N_RET | N_WIN | N_WIN_SURE_BEFORE | N_WIN_FULL_BEFORE | N_WIN_SAME_YEAR_UNKNOWN | PERIODS_SURE_BEFORE | N_AFTER_PERIOD | N_SUB_AFTER_POSTING_YEAR | P0 | P1 | S0 | S1 | TYPES | IDX_NAME
812671072 | NEW ALBANY SHOCKERS FOOTBALL  | NEW ALBANY | MS | 03 | 2024-05-15 | 2024-08-12 |  | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2020-12-01 | 2020-12-01 | 2021-05-26 | 2021-05-26 | 990 | New Albany Shockers Youth Football
861834581 | 4-TEN PROJECT  | CHARLOTTE | NC | 03 | 2024-05-15 | 2024-08-12 | 2024-05-15 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2024-12-01 | 2024-12-01 | 2025-01-01 | 2025-01-01 | 990EZ | 4-TEN PROJECT
842360253 | UTAH MONGOL ASSOCIATION  | SANDY | UT | 03 | 2024-05-15 | 2024-08-12 | 2024-08-15 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2024-12-01 | 2024-12-01 | 2025-01-01 | 2025-01-01 | 990PF | Utah Mongol Association
834696012 | SPRINGS ACADEMY INC  | GREEN CV SPGS | FL | 03 | 2021-11-15 | 2022-03-14 | 2021-11-15 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2024-06-01 | 2025-06-01 | 2025-01-01 | 2025-01-01 | 990 | SPRINGS ACADEMY INC
760826713 | UNITED STATES BOWLING CONGRESS INC  | PLANO | TX | 03 | 2024-12-15 | 2025-03-10 |  | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2021-07-01 | 2021-07-01 | 2022-04-27 | 2022-04-27 | 990EZ | UNITED STATES BOWLING CONGRESS INC
263660937 | GRUPO AA 3 DE MAYO  | FREDERICKSBURG | VA | 03 | 2019-05-15 | 2019-08-12 |  | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2015-12-01 | 2015-12-01 | 2017-02-13 | 2017-02-13 | 990EZ | GRUPO AA 3 DE MAYO
452785727 | IDTANA NEW ENGLAND REGION INC  | ARLINGTON | MA | 03 | 2019-11-15 | 2020-03-09 |  | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2016-06-01 | 2016-06-01 | 2017-03-31 | 2017-03-31 | 990 | IDTANA NEW ENGLAND REGION INC
462202661 | MARYS PREGNANCY RESOURCE CENTER  | FT LAUDERDALE | FL | 03 | 2019-11-15 | 2020-03-09 | 2019-11-15 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2015-06-01 | 2021-06-01 | 2017-07-14 | 2022-01-01 | 990EZ,990 | Mary's Pregnancy Resource Center
721441458 | NEW ORLEANS MARTINET LEGAL  | NEW ORLEANS | LA | 03 | 2020-05-15 | 2020-09-22 | 2023-12-15 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2023-12-01 | 2023-12-01 | 2024-01-01 | 2024-01-01 | 990EZ | NEW ORLEANS MARTINET LEGAL FOUNDATION INC
842825493 | CHESTNUT FARMS HOMEOWNERS ASSOCIATION | LEE | NH | 03 | 2024-12-15 | 2025-11-14 |  | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2025-07-01 | 2025-07-01 | 2026-01-01 | 2026-01-01 | 990PF | Chestnut Farms Homeowners Association
