-- S11 SEC EDGAR (US): pull the filing index without URLs (49K rows) for local peer and lateness work
CIK | TICKER | ENTITY_NAME | ACCESSION_NUMBER | FORM_TYPE | FILED_AT | PERIOD_OF_REPORT | IS_REGISTRATION_OR_PROSPECTUS | IS_ANNUAL_REPORT | IS_QUARTERLY_REPORT | EIN | ISIN | STATE_OF_INCORPORATION | SOURCE_ID | ING
0000320193 | AAPL | Apple Inc. | 0001209191-16-114935 | 4 | 2016-04-19 | 2016-04-15 | False | False | False | 942404110 |  | CA | fed_us_sec_edgar | 1782938391987908
0001067983 | BRK-B | BERKSHIRE HATHAWAY INC | 0001193125-24-036425 | SC 13G/A | 2024-02-14 |  | False | False | False | 470813844 |  | DE | fed_us_sec_edgar | 1782938391987908
0000059478 | LLY | ELI LILLY & Co | 0001415889-24-019420 | 4 | 2024-07-09 | 2024-07-08 | False | False | False | 350470950 |  | IN | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001839882-25-066420 | 424B2 | 2025-11-20 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001839882-25-053538 | 424B2 | 2025-09-29 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000018230 | CAT | CATERPILLAR INC | 0001104659-23-129671 | 4 | 2023-12-27 | 2023-12-26 | False | False | False | 370602744 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001918704-26-017768 | 424B2 | 2026-06-25 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001918704-26-015656 | 424B2 | 2026-06-04 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001213900-26-043002 | 424B2 | 2026-04-13 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000707549 | LRCX | LAM RESEARCH CORP | 0000707549-20-000119 | 8-K | 2020-07-29 | 2020-07-29 | False | False | False | 942634797 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001839882-25-038667 | 424B2 | 2025-07-15 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001213900-25-082003 | 424B2 | 2025-08-29 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
0000019617 | JPM | JPMORGAN CHASE & CO | 0001918704-26-002827 | 424B2 | 2026-02-03 |  | True | False | False | 132624428 |  | DE | fed_us_sec_edgar | 1782938391987908
