-- S15 fair peer for the BMF check: revoked orgs (2019 on) that e-filed at least one 990/990EZ/990PF in the index, hits vs everyone else, by reinstatement on the list and revocation year
GRP | REV_Y | REINSTATED | N | IN_BMF | BMF_NEW_RULING
core | 2019 | False | 2 | 0 | 0
core | 2019 | True | 1 | 1 | 1
core | 2020 | False | 1 | 1 | 1
core | 2020 | True | 2 | 2 | 2
core | 2021 | False | 1 | 0 | 0
core | 2021 | True | 3 | 3 | 2
core | 2022 | False | 4 | 1 | 0
core | 2023 | False | 25 | 12 | 2
core | 2023 | True | 7 | 7 | 6
core | 2024 | False | 27 | 9 | 3
core | 2024 | True | 6 | 5 | 5
core | 2025 | False | 27 | 4 | 1
core | 2025 | True | 3 | 3 | 3
core | 2026 | False | 2 | 0 | 0
loose | 2019 | False | 5 | 0 | 0
loose | 2019 | True | 7 | 6 | 5
loose | 2020 | False | 69 | 4 | 4
loose | 2020 | True | 17 | 17 | 16
loose | 2021 | False | 17 | 5 | 2
loose | 2021 | True | 4 | 4 | 4
loose | 2022 | False | 15 | 7 | 2
loose | 2022 | True | 2 | 2 | 2
loose | 2023 | False | 50 | 19 | 3
loose | 2023 | True | 14 | 14 | 13
loose | 2024 | False | 57 | 12 | 4
loose | 2024 | True | 11 | 11 | 9
loose | 2025 | False | 77 | 10 | 4
loose | 2025 | True | 8 | 8 | 8
loose | 2026 | False | 7 | 1 | 0
other_efilers | 2019 | False | 1951 | 699 | 559
other_efilers | 2019 | True | 2049 | 1856 | 1815
other_efilers | 2020 | False | 3364 | 1040 | 795
other_efilers | 2020 | True | 1911 | 1792 | 1742
other_efilers | 2021 | False | 4092 | 798 | 549
other_efilers | 2021 | True | 2398 | 2255 | 2207
other_efilers | 2022 | False | 4889 | 782 | 596
other_efilers | 2022 | True | 3057 | 2953 | 2906
other_efilers | 2023 | False | 5186 | 705 | 519
other_efilers | 2023 | True | 2941 | 2896 | 2859
other_efilers | 2024 | False | 7185 | 572 | 460
other_efilers | 2024 | True | 1970 | 1952 | 1940
other_efilers | 2025 | False | 7696 | 367 | 298
other_efilers | 2025 | True | 613 | 607 | 605
other_efilers | 2026 | False | 529 | 7 | 6
other_efilers | 2026 | True | 3 | 3 | 3
(45 rows; csv has all)
