-- S16 990 index trap check: the odd return-type labels (990O, 990EO, 990PR) by year, their overlap with the standard labels for the same EIN and period,
RETURN_TYPE | Y | N | ALSO_990 | ALSO_990PF | IN_BMF | BMF_PRIVATE_FDN
990 | 2017 | 207697 | 207697 | 2 | 184859 | 1071
990 | 2018 | 192461 | 192461 | 2 | 173866 | 937
990 | 2019 | 173636 | 173636 | 1 | 158740 | 719
990 | 2020 | 152885 | 152885 | 2 | 141554 | 654
990 | 2021 | 190606 | 190606 | 0 | 178123 | 457
990EO | 2017 | 36299 | 0 | 0 | 29179 | 8
990EO | 2018 | 32667 | 0 | 0 | 26670 | 11
990EO | 2019 | 29769 | 0 | 0 | 24469 | 7
990EO | 2020 | 24409 | 1 | 0 | 20426 | 2
990EO | 2021 | 17199 | 3 | 0 | 14527 | 1
990O | 2017 | 66745 | 0 | 0 | 57540 | 21
990O | 2018 | 60974 | 0 | 0 | 53305 | 15
990O | 2019 | 53666 | 6 | 0 | 47360 | 15
990O | 2020 | 47254 | 55 | 0 | 42226 | 9
990PF | 2017 | 68438 | 0 | 68438 | 54142 | 51554
990PF | 2018 | 67520 | 3 | 67520 | 54842 | 52139
990PF | 2019 | 64614 | 3 | 64614 | 53869 | 50977
990PF | 2020 | 27883 | 0 | 27883 | 23489 | 22570
990PF | 2021 | 67522 | 1 | 67522 | 58771 | 54492
990PR | 2020 | 30085 | 1 | 150 | 25757 | 23740
(20 rows; csv has all)
