-- S18 JOIN: Form 4s in the EDGAR table filed more than 21 business days after the trade date (period of report), matched on accession number
ACC | ISSUER_TICKER | FILING_DATE | PERIOD_OF_REPORT | OWNER_NAME | RELATIONSHIP | TITLE | TRANSACTION_DATE | TRANSACTION_CODE | SHARES | PRICE_PER_SHARE | TRANSACTION_VALUE | ACQUIRED_DISPOSED
0000320193-23-000081 | AAPL | 2023-09-19 | 2023-08-08 | Adams Katherine L. | Officer | SVP, GC and Secretary | 2023-08-08 | G | 5600.0 | 0.0 | 0.0 | D
0001127602-18-000746 | AMAT | 2018-01-03 | 2017-11-21 | Iannotti Thomas J | Director |  | 2017-11-21 | G | 850.0 | 0.0 | 0.0 | D
0001127602-19-027603 | AMAT | 2019-08-29 | 2019-07-03 | Iannotti Thomas J | Director |  | 2019-07-03 | G | 1000.0 | 0.0 | 0.0 | D
0001127602-22-002096 | AMAT | 2022-01-25 | 2021-12-09 | Salehpour Ali | Officer | SVP, Srv., Dspl. & Flex. | 2021-12-09 | G | 250.0 | 0.0 | 0.0 | D
0001127602-23-000726 | AMAT | 2023-01-04 | 2022-11-21 | Iannotti Thomas J | Director |  | 2022-11-21 | G | 1000.0 | 0.0 | 0.0 | D
0001127602-23-002050 | AMAT | 2023-01-23 | 2022-07-15 | Nalamasu Omkaram | Officer | Senior Vice President, CTO | 2022-07-15 | S | 200.0 | 94.47 | 18894.0 | D
0001127602-23-002146 | AMAT | 2023-01-24 | 2021-10-11 | CHEN XUN | Director |  | 2022-01-14 | P | 28.0 | 163.0 | 4564.0 | A
0001127602-23-002146 | AMAT | 2023-01-24 | 2021-10-11 | CHEN XUN | Director |  | 2022-01-14 | P | 28.0 | 159.89 | 4476.92 | A
0001127602-23-002146 | AMAT | 2023-01-24 | 2021-10-11 | CHEN XUN | Director |  | 2021-11-15 | P | 27.0 | 156.51 | 4225.7699999999995 | A
0001127602-23-002146 | AMAT | 2023-01-24 | 2021-10-11 | CHEN XUN | Director |  | 2021-11-15 | P | 28.0 | 156.51 | 4382.28 | A
0001127602-23-002146 | AMAT | 2023-01-24 | 2021-10-11 | CHEN XUN | Director |  | 2022-06-21 | P | 20.0 | 94.75 | 1895.0 | A
