-- S06 WIND by operating year: generators, MW, turbines, median hub height, median MW per turbine, makers
OY | N | MW | TURBINES | HUB_MED | HUB_MAX | MW_PER_TURB_MED | MW_PER_TURB_MAX | N_MAKERS
1981 | 1 | 25.0 | 241.0 | 80.0 | 80.0 | 0.1 | 0.1 | 1
1982 | 1 | 4.0 | 37.0 | 85.0 | 85.0 | 0.09 | 0.09 | 1
1983 | 1 | 31.0 | 111.0 | 131.0 | 131.0 | 0.28 | 0.28 | 1
1984 | 5 | 138.0 | 505.0 | 85.0 | 180.0 | 0.52 | 4.2 | 4
1985 | 4 | 16.0 | 30.0 | 168.0 | 213.0 | 0.38 | 0.98 | 3
1986 | 2 | 31.0 | 127.0 | 80.0 | 80.0 | 0.19 | 0.29 | 2
1987 | 1 | 27.0 | 251.0 | 131.2 | 131.2 | 0.11 | 0.11 | 1
1988 | 1 | 17.0 | 161.0 | 80.0 | 80.0 | 0.11 | 0.11 | 1
1989 | 1 | 89.0 | 238.0 | 100.0 | 100.0 | 0.37 | 0.37 | 1
1990 | 2 | 91.0 | 371.0 | 181.25 | 262.5 | 0.23 | 0.25 | 2
1992 | 1 | 7.0 | 29.0 | 140.0 | 140.0 | 0.22 | 0.22 | 1
1993 | 1 | 4.0 | 7.0 | 180.0 | 180.0 | 0.6 | 0.6 | 1
1994 | 1 | 47.0 | 71.0 | 180.0 | 180.0 | 0.66 | 0.66 | 1
1997 | 3 | 20.0 | 189.0 | 90.0 | 132.0 | 0.08 | 0.55 | 3
1998 | 5 | 168.0 | 228.0 | 175.0 | 240.0 | 0.66 | 0.77 | 3
1999 | 18 | 492.0 | 654.0 | 181.5 | 262.5 | 0.7 | 2.3 | 7
2000 | 8 | 21.0 | 20.0 | 213.0 | 220.0 | 0.63 | 1.64 | 3
2001 | 33 | 1382.0 | 1627.0 | 213.0 | 262.0 | 0.66 | 1.52 | 8
2002 | 17 | 658.0 | 600.0 | 213.2 | 344.5 | 0.9 | 1.57 | 6
2003 | 40 | 1556.0 | 874.0 | 213.3 | 354.0 | 1.5 | 4.8 | 7
2004 | 20 | 361.0 | 241.0 | 240.0 | 344.5 | 1.67 | 3.55 | 3
2005 | 31 | 2147.0 | 1427.0 | 256.0 | 344.5 | 1.5 | 2.0 | 6
2006 | 48 | 2639.0 | 1559.0 | 259.0 | 279.0 | 1.5 | 3.0 | 7
2007 | 59 | 5262.0 | 3218.0 | 262.4 | 328.0 | 1.65 | 3.0 | 7
2008 | 96 | 8261.0 | 4938.0 | 262.4 | 328.0 | 1.66 | 3.0 | 10
2009 | 125 | 10040.0 | 5728.0 | 262.4 | 320.0 | 1.65 | 3.0 | 16
2010 | 65 | 4850.0 | 2812.0 | 262.4 | 278.9 | 1.6 | 3.0 | 13
2011 | 103 | 6670.0 | 3519.0 | 262.4 | 328.1 | 1.7 | 3.0 | 16
2012 | 163 | 13380.0 | 6797.0 | 262.4 | 344.5 | 1.8 | 3.6 | 20
2013 | 24 | 864.0 | 486.0 | 262.4 | 328.0 | 1.7 | 2.35 | 9
2014 | 52 | 4955.0 | 2572.0 | 262.4 | 328.0 | 1.79 | 2.88 | 5
2015 | 70 | 8239.0 | 4303.0 | 262.4 | 361.0 | 2.0 | 3.3 | 7
2016 | 84 | 8788.0 | 4237.0 | 264.5 | 347.7 | 2.0 | 6.0 | 9
2017 | 71 | 6606.0 | 2860.0 | 272.0 | 410.0 | 2.16 | 3.47 | 8
2018 | 66 | 7083.0 | 2975.0 | 280.5 | 456.0 | 2.36 | 3.98 | 7
2019 | 57 | 8527.0 | 3491.0 | 292.0 | 470.0 | 2.5 | 3.6 | 6
2020 | 96 | 14878.0 | 5709.0 | 292.0 | 487.0 | 2.58 | 4.21 | 6
2021 | 75 | 13848.0 | 4568.0 | 292.0 | 400.0 | 2.86 | 6.0 | 7
2022 | 42 | 9479.0 | 3199.0 | 292.0 | 489.0 | 2.8 | 5.17 | 4
2023 | 39 | 6635.0 | 2057.0 | 321.5 | 403.5 | 3.21 | 5.85 | 6
2024 | 31 | 5156.0 | 1430.0 | 344.5 | 446.2 | 3.4 | 10.83 | 4
(41 rows; csv has all)
