-- S11 WIND full extract, with the master generator row (plans, ownership, RTO node) and the plant row (balancing authority, location)
PLANT_CODE | GENERATOR_ID | UTILITY_ID | UTILITY_NAME | PLANT_NAME | STATE | COUNTY | STATUS | TECHNOLOGY | PRIME_MOVER | SECTOR_NAME | SECTOR | PREDOMINANT_TURBINE_MANUFACTURER | PREDOMINANT_TURBINE_MODEL_NUMBER | WIND_QUALITY_CLASS | NAMEPLATE_CAPACITY_MW | SUMMER_CAPACITY_MW | WINTER_CAPACITY_MW | OPERATING_MONTH | OPERATING_YEAR | NUMBER_OF_TURBINES | DESIGN_WIND_SPEED_MPH | TURBINE_HUB_HEIGHT_FEET | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE | G_OWNERSHIP | G_RET_YEAR | G_REPOWER_YEAR | G_OTHMOD_YEAR | G_OTHMOD | G_UPRATE_YEAR | G_NEW_NP | G_TURBINES | G_RTO | P_BA | P_NERC | P_LAT | P_LON | P_CITY | P_ZIP
1 | WT1 | 63560 | Sand Point Generating, LLC | Sand Point | AK | Aleutians East | OS | Onshore Wind Turbine | WT | Electric Utility | 1 | Vestas | V39-500 | 2 | 0.5 | 0.1 | 0.1 | 10 | 2011 | 1 | 19.0 | 155.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 1 |  |  |  | 55.339722 | -160.497222 | Sand Point | 99661
1 | WT2 | 63560 | Sand Point Generating, LLC | Sand Point | AK | Aleutians East | OS | Onshore Wind Turbine | WT | Electric Utility | 1 | Vestas | V39-500 | 2 | 0.5 | 0.3 | 0.3 | 10 | 2011 | 1 | 19.0 | 155.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 1 |  |  |  | 55.339722 | -160.497222 | Sand Point | 99661
90 | EWT 1 | 13642 | Nome Joint Utility Systems | Snake River | AK | Nome | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | EWT | DW54-900 | 2 | 0.9 | 0.9 | 0.9 | 7 | 2013 | 1 | 20.0 | 164.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  | N |  |  | 1 |  |  |  | 64.505331 | -165.429814 | Nome | 99762
90 | EWT 2 | 13642 | Nome Joint Utility Systems | Snake River | AK | Nome | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | EWT | DW54-900 | 2 | 0.9 | 0.9 | 0.9 | 7 | 2013 | 1 | 20.0 | 164.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  | N |  |  | 1 |  |  |  | 64.505331 | -165.429814 | Nome | 99762
508 | T1-T3 | 10633 | City of Lamar - (CO) | Lamar Plant | CO | Prowers | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | GE | 1.5 XLE | 2 | 4.5 | 4.0 | 4.0 | 2 | 2004 | 3 | 19.0 | 262.4 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 3 |  | PSCO | WECC | 38.033327 | -102.537915 | Lamar | 81052
508 | T4 | 10633 | City of Lamar - (CO) | Lamar Plant | CO | Prowers | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | GE | 1.5 XLE | 2 | 1.5 | 1.5 | 1.5 | 2 | 2004 | 1 | 19.0 | 262.4 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | W |  |  |  |  |  |  | 1 |  | PSCO | WECC | 38.033327 | -102.537915 | Lamar | 81052
944 | 10 | 7095 | City of Geneseo - (IL) | Geneseo | IL | Henry | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | VENSYS | VENSYS77 | 2 | 1.5 | 1.5 | 1.5 | 9 | 2009 | 1 | 18.0 | 200.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 1 |  | MISO | MRO | 41.451494 | -90.148547 | Geneseo | 61254
944 | 11 | 7095 | City of Geneseo - (IL) | Geneseo | IL | Henry | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | VENSYS | VENSYS77 | 2 | 1.5 | 1.5 | 1.5 | 10 | 2009 | 1 | 18.0 | 200.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 1 |  | MISO | MRO | 41.451494 | -90.148547 | Geneseo | 61254
1172 | W1 | 14201 | City of Osage - (IA) | Osage (IA) | IA | Mitchell | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | GE | 1.5 SLE | 2 | 1.6 | 0.5 | 0.5 | 12 | 2009 | 1 | 17.8 | 260.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 1 |  | MISO | MRO | 43.279722 | -92.810556 | Osage | 50461
1998 | 8 | 13048 | City of Mountain Lake - (MN) | Mountain Lake | MN | Cottonwood | OP | Onshore Wind Turbine | WT | Electric Utility | 1 | Suzlon | S64-1250 | 2 | 1.2 | 1.2 | 1.2 | 7 | 2007 | 1 | 15.0 | 246.0 | 2026-08-05 21:37:57.118681 | 2bf9a448-eb04-42e9-8411-993b0ca7812f | 3_2_Wind_Y2024.xlsx | S |  |  |  |  |  |  | 1 |  | MISO | MRO | 43.9405 | -94.9434 | Mountain Lake | 56159
