-- S04 dynamic pricing: whole table (857 rows)
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | SHORT_FORM | STATE | BA_CODE | RESIDENTIAL_CUSTOMERS_ENROLLED | COMMERCIAL_CUSTOMERS_ENROLLED | INDUSTRIAL_CUSTOMERS_ENROLLED | TRANSPORTATION_CUSTOMERS_ENROLLED | TOTAL_CUSTOMERS_ENROLLED | RESIDENTIAL_TIME_OF_USE_PRICING | COMMERCIAL_TIME_OF_USE_PRICING | INDUSTRIAL_TIME_OF_USE_PRICING | TRANSPORTATION_TIME_OF_USE_PRICING | RESIDENTIAL_REAL_TIME_PRICING | COMMERCIAL_REAL_TIME_PRICING | INDUSTRIAL_REAL_TIME_PRICING | TRANSPORTATION_REAL_TIME_PRICING | RESIDENTIAL_VARIABLE_PEAK_PRICING | COMMERCIAL_VARIABLE_PEAK_PRICING | INDUSTRIAL_VARIABLE_PEAK_PRICING | TRANSPORTATION_VARIABLE_PEAK_PRICING | RESIDENTIAL_CRITICAL_PEAK_PRICING | COMMERCIAL_CRITICAL_PEAK_PRICING | INDUSTRIAL_CRITICAL_PEAK_PRICING | TRANSPORTATION_CRITICAL_PEAK_PRICING | RESIDENTIAL_CRITICAL_PEAK_REBATE | COMMERCIAL_CRITICAL_PEAK_REBATE | INDUSTRIAL_CRITICAL_PEAK_REBATE | TRANSPORTATION_CRITICAL_PEAK_REBATE | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
837a385dc6299214c28a0b3563b03224-1 | 2024 | 13936 | Oakdale Electric Coop |  | WI | MISO | 0 | 142 | 55 | 0 | 197 |  | Y | Y |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
f7babe23db97a46acc9a13bec4ea1b54-1 | 2024 | 13374 | Constellation NewEnergy, Inc |  | NJ | PJM | 1977 | 20619 | 58 | 0 | 22654 |  |  |  |  | Y | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
dff63f3ce05c8dec671bb60fd2f09d97-1 | 2024 | 13374 | Constellation NewEnergy, Inc |  | VA | PJM | 0 | 4 | 0 | 0 | 4 |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
464fc851aa9a85dc2f74dbd1a191661b-1 | 2024 | 20371 | West Florida El Coop Assn, Inc |  | FL | SOCO | 1 | 16 |  |  | 17 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
6f61ddde353bbacb93644eb570816373-1 | 2024 | 18917 | Tillamook Peoples Utility Dist |  | OR | BPAT |  |  | 6 |  | 6 |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
892c5626c4c7915cdb37409e358bbdaa-1 | 2024 | 59793 | First Point Power, LLC |  | CT | ISNE | 0 | 20 | 1 | 0 | 21 |  |  |  |  |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
fce8e3b48e975287af7f4167e8e40065-1 | 2024 | 5416 | Duke Energy Carolinas, LLC |  | SC | DUK | 1832 | 2915 | 239 |  | 4986 | Y | Y | Y |  |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
dfdab1787c7634ae7a3fc7381a44febb-1 | 2024 | 55 | City of Aberdeen - (MS) |  | MS | TVA | 0 | 33 | 1 | 0 | 34 |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
f3f020b6142f89494c7a38960e16e459-1 | 2024 | 18280 | Sulphur Springs Valley E C Inc |  | AZ | WALC | 5 | 118 | 0 | 0 | 123 | Y | Y | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
98114055527234e13570fca783dbac11-1 | 2024 | 20996 | Wright-Hennepin Coop Elec Assn |  | MN | MISO | 687 | 1 | 0 | 0 | 688 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
