-- S05 net metering: whole table (1,004 rows)
RECORD_ID | DATA_YEAR | STATE | UTILITY_NUMBER | UTILITY_NAME | BA_CODE | TECHNOLOGY_TYPE | RESIDENTIAL_CAPACITY_MW | COMMERCIAL_CAPACITY_MW | INDUSTRIAL_CAPACITY_MW | TRANSPORTATION_CAPACITY_MW | TOTAL_CAPACITY_MW | RESIDENTIAL_INSTALLATIONS | COMMERCIAL_INSTALLATIONS | INDUSTRIAL_INSTALLATIONS | TRANSPORTATION_INSTALLATIONS | TOTAL_INSTALLATIONS | RESIDENTIAL_ENERGY_SOLD_BACK_MWH | COMMERCIAL_ENERGY_SOLD_BACK_MWH | INDUSTRIAL_ENERGY_SOLD_BACK_MWH | TRANSPORTATION_ENERGY_SOLD_BACK_MWH | TOTAL_ENERGY_SOLD_BACK_MWH | RESIDENTIAL_VIRTUAL_CAPACITY_1_MW_AND_OVER_MW | COMMERCIAL_VIRTUAL_CAPACITY_1_MW_AND_OVER_MW | INDUSTRIAL_VIRTUAL_CAPACITY_1_MW_AND_OVER_MW | TRANSPORTATION_VIRTUAL_CAPACITY_1_MW_AND_OVER_MW | TOTAL_VIRTUAL_CAPACITY_1_MW_AND_OVER_MW | RESIDENTIAL_VIRTUAL_CUSTOMERS_1_MW_AND_OVER | COMMERCIAL_VIRTUAL_CUSTOMERS_1_MW_AND_OVER | INDUSTRIAL_VIRTUAL_CUSTOMERS_1_MW_AND_OVER | TRANSPORTATION_VIRTUAL_CUSTOMERS_1_MW_AND_OVER | TOTAL_VIRTUAL_CUSTOMERS_1_MW_AND_OVER | RESIDENTIAL_VIRTUAL_CAPACITY_UNDER_1_MW_MW | COMMERCIAL_VIRTUAL_CAPACITY_UNDER_1_MW_MW | INDUSTRIAL_VIRTUAL_CAPACITY_UNDER_1_MW_MW | TRANSPORTATION_VIRTUAL_CAPACITY_UNDER_1_MW_MW | TOTAL_VIRTUAL_CAPACITY_UNDER_1_MW_MW | RESIDENTIAL_VIRTUAL_CUSTOMERS_UNDER_1_MW | COMMERCIAL_VIRTUAL_CUSTOMERS_UNDER_1_MW | INDUSTRIAL_VIRTUAL_CUSTOMERS_UNDER_1_MW | TRANSPORTATION_VIRTUAL_CUSTOMERS_UNDER_1_MW | TOTAL_VIRTUAL_CUSTOMERS_UNDER_1_MW | RESIDENTIAL_PV_PAIRED_BATTERY_CAPACITY_MW | COMMERCIAL_PV_PAIRED_BATTERY_CAPACITY_MW | INDUSTRIAL_PV_PAIRED_BATTERY_CAPACITY_MW | TRANSPORTATION_PV_PAIRED_BATTERY_CAPACITY_MW | TOTAL_PV_PAIRED_BATTERY_CAPACITY_MW | RESIDENTIAL_PV_PAIRED_INSTALLATIONS | COMMERCIAL_PV_PAIRED_INSTALLATIONS | INDUSTRIAL_PV_PAIRED_INSTALLATIONS | TRANSPORTATION_PV_PAIRED_INSTALLATIONS | TOTAL_PV_PAIRED_INSTALLATIONS | RESIDENTIAL_PV_PAIRED_ENERGY_CAPACITY_MWH | COMMERCIAL_PV_PAIRED_ENERGY_CAPACITY_MWH | INDUSTRIAL_PV_PAIRED_ENERGY_CAPACITY_MWH | TRANSPORTATION_PV_PAIRED_ENERGY_CAPACITY_MWH | TOTAL_PV_PAIRED_ENERGY_CAPACITY_MWH | RESIDENTIAL_NOT_PV_PAIRED_BATTERY_CAPACITY_MW | COMMERCIAL_NOT_PV_PAIRED_BATTERY_CAPACITY_MW | INDUSTRIAL_NOT_PV_PAIRED_BATTERY_CAPACITY_MW | TRANSPORTATION_NOT_PV_PAIRED_BATTERY_CAPACITY_MW | TOTAL_NOT_PV_PAIRED_BATTERY_CAPACITY_MW | RESIDENTIAL_NOT_PV_PAIRED_INSTALLATIONS | COMMERCIAL_NOT_PV_PAIRED_INSTALLATIONS | INDUSTRIAL_NOT_PV_PAIRED_INSTALLATIONS | TRANSPORTATION_NOT_PV_PAIRED_INSTALLATIONS | TOTAL_NOT_PV_PAIRED_INSTALLATIONS | RESIDENTIAL_NOT_PV_PAIRED_ENERGY_CAPACITY_MWH | COMMERCIAL_NOT_PV_PAIRED_ENERGY_CAPACITY_MWH | INDUSTRIAL_NOT_PV_PAIRED_ENERGY_CAPACITY_MWH | TRANSPORTATION_NOT_PV_PAIRED_ENERGY_CAPACITY_MWH | TOTAL_NOT_PV_PAIRED_ENERGY_CAPACITY_MWH | RESIDENTIAL_CAPACITY_MW_GRP2 | COMMERCIAL_CAPACITY_MW_GRP2 | INDUSTRIAL_CAPACITY_MW_GRP2 | TRANSPORTATION_CAPACITY_MW_GRP2 | TOTAL_CAPACITY_MW_GRP2 | RESIDENTIAL_INSTALLATIONS_GRP2 | COMMERCIAL_INSTALLATIONS_GRP2 | INDUSTRIAL_INSTALLATIONS_GRP2 | TRANSPORTATION_INSTALLATIONS_GRP2 | TOTAL_INSTALLATIONS_GRP2 | RESIDENTIAL_ENERGY_SOLD_BACK_MWH_GRP2 | COMMERCIAL_ENERGY_SOLD_BACK_MWH_GRP2 | INDUSTRIAL_ENERGY_SOLD_BACK_MWH_GRP2 | TRANSPORTATION_ENERGY_SOLD_BACK_MWH_GRP2 | TOTAL_ENERGY_SOLD_BACK_MWH_GRP2 | RESIDENTIAL_CAPACITY_MW_GRP3 | COMMERCIAL_CAPACITY_MW_GRP3 | INDUSTRIAL_CAPACITY_MW_GRP3 | TRANSPORTATION_CAPACITY_MW_GRP3 | TOTAL_CAPACITY_MW_GRP3 | RESIDENTIAL_INSTALLATIONS_GRP3 | COMMERCIAL_INSTALLATIONS_GRP3 | INDUSTRIAL_INSTALLATIONS_GRP3 | TRANSPORTATION_INSTALLATIONS_GRP3 | TOTAL_INSTALLATIONS_GRP3 | RESIDENTIAL_ENERGY_SOLD_BACK_MWH_GRP3 | COMMERCIAL_ENERGY_SOLD_BACK_MWH_GRP3 | INDUSTRIAL_ENERGY_SOLD_BACK_MWH_GRP3 | TRANSPORTATION_ENERGY_SOLD_BACK_MWH_GRP3 | TOTAL_ENERGY_SOLD_BACK_MWH_GRP3 | RESIDENTIAL_CAPACITY_MW_GRP4 | COMMERCIAL_CAPACITY_MW_GRP4 | INDUSTRIAL_CAPACITY_MW_GRP4 | TRANSPORTATION_CAPACITY_MW_GRP4 | TOTAL_CAPACITY_MW_GRP4 | RESIDENTIAL_INSTALLATIONS_GRP4 | COMMERCIAL_INSTALLATIONS_GRP4 | INDUSTRIAL_INSTALLATIONS_GRP4 | TRANSPORTATION_INSTALLATIONS_GRP4 | TOTAL_INSTALLATIONS_GRP4 | RESIDENTIAL_ENERGY_SOLD_BACK_MWH_GRP4 | COMMERCIAL_ENERGY_SOLD_BACK_MWH_GRP4 | INDUSTRIAL_ENERGY_SOLD_BACK_MWH_GRP4 | TRANSPORTATION_ENERGY_SOLD_BACK_MWH_GRP4 | TOTAL_ENERGY_SOLD_BACK_MWH_GRP4 | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
ad8329db66ef22c1e5ac9728c4d435cf-1 | 2024 | MI | 10508 | Village of L'Anse - (MI) | MISO | DC | 0.002 | 0.11 | 0.0 | 0 | 0.112 | 1 | 2 | 0 | 0 | 3 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.002 | 0.11 | 0.0 | 0 | 0.112 | 1 | 2 | 0 | 0 | 3 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
b25566797b7cba5b5b45c3c1afe51243-1 | 2024 | MT | 19603 | USBIA-Mission Valley Power | NWMT | AC | 0.734 |  |  |  | 0.734 | 90 |  |  |  | 90 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 0.734 | 0.0 | 0.0 | 0 | 0.734 | 90 | 0 | 0 | 0 | 90 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
8d4eb72aa20ac0441d96c956b86be466-1 | 2024 | TX | 16461 | Rusk County Electric Coop, Inc | SWPP | AC | 1.64 |  |  |  | 1.64 | 155 |  |  |  | 155 | 1064.453 |  |  |  | 1064.453 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 0.016 |  |  |  | 0.016 | 1 |  |  |  | 1 | 2.831 |  |  |  | 2.831 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 1.656 | 0.0 | 0.0 | 0 | 1.656 | 156 | 0 | 0 | 0 | 156 | 1067.284 | 0.0 | 0.0 | 0.0 | 1067.284 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
9b423afbbefa1f56d40dbfd20e80d8d3-1 | 2024 | CA | 55787 | City of Moreno Valley - (CA) | CISO | AC | 13.46 | 5.03 | 0.0 | 0 | 18.49 | 2945 | 21 | 0 | 0 | 2966 | 2343.7 | 8384.4 |  |  | 10728.1 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.25 | 0.0 | 0.0 | 0 | 0.25 | 23 | 0 | 0 | 0 | 23 | 0.25 | 0.0 | 0.0 | 0 | 0.25 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 13.46 | 5.03 | 0.0 | 0 | 18.49 | 2945 | 21 | 0 | 0 | 2966 | 2343.7 | 8384.4 | 0.0 | 0.0 | 10728.1 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
737da17de7c6a5c8abafbd14db781f06-1 | 2024 | IN | 19667 | Utilities Dist-Western IN REMC | MISO | AC | 1.235 | 0.237 | 0.0 | 0 | 1.472 | 146 | 7 | 0 | 0 | 153 | 712.733 | 46.792 | 0.0 | 0.0 | 759.525 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.382 | 0.0 | 0.0 | 0 | 0.382 | 53 | 0 | 0 | 0 | 53 | 1.105 | 0.0 | 0.0 | 0 | 1.105 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0 | 0 | 0.0 | 0.002 | 0.0 | 0.0 | 0 | 0.002 | 1 | 0 | 0 | 0 | 1 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 1.237 | 0.237 | 0.0 | 0 | 1.474 | 147 | 7 | 0 | 0 | 154 | 712.733 | 46.792 | 0.0 | 0.0 | 759.525 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
bd90baf1e6a144b8c35362e2a2be13a5-1 | 2024 | WI | 15804 | Reedsburg Utility Comm | MISO | DC | 0.122 | 0.43 | 0.0 | 0 | 0.552 | 17 | 10 | 0 | 0 | 27 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.122 | 0.43 | 0.0 | 0 | 0.552 | 17 | 10 | 0 | 0 | 27 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
6389ca44988d0d639a71bc7454232478-1 | 2024 | CT | 7716 | Groton Dept of Utilities - (CT) | ISNE | AC | 4.187 | 0.291 | 0.0 | 0 | 4.478 | 812 | 6 | 0 | 0 | 818 | 2301.911 | 103.358 | 0.0 | 0.0 | 2405.269 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 4.187 | 0.291 | 0.0 | 0 | 4.478 | 812 | 6 | 0 | 0 | 818 | 2301.911 | 103.358 | 0.0 | 0.0 | 2405.269 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
5f8afe3d5b14bb0eea5a044d7371b9db-1 | 2024 | AR | 14289 | Ozarks Electric Coop Corp - (AR) | SWPP | DC | 15.711 | 1.429 | 19.165 |  | 36.305 | 1693 | 16 | 10 |  | 1719 |  |  |  |  | 0.0 | 0.0 | 0.0 |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  | 26.05 |  | 26.05 |  |  | 8 |  | 8 |  |  | 57.05 |  | 57.05 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  | 0.009 |  |  | 0.009 |  | 1 |  |  | 1 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 15.711 | 1.438 | 19.165 | 0 | 36.314 | 1693 | 17 | 10 | 0 | 1720 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
99bacce379f8476d2abf454c342ecfc1-1 | 2024 | IN | 22822 | Clark County Rural E M C - (IN) | MISO | AC | 0.795 |  |  |  | 0.795 | 94 |  |  |  | 94 | 388.076 |  |  |  | 388.076 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 0.01 |  |  |  | 0.01 | 1 |  |  |  | 1 | 2.473 |  |  |  | 2.473 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 0.805 | 0.0 | 0.0 | 0 | 0.805 | 95 | 0 | 0 | 0 | 95 | 390.549 | 0.0 | 0.0 | 0.0 | 390.549 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
bfa528f40e96b547e5a2fd7c5f3f2eeb-1 | 2024 | CO | 15466 | Public Service Co of Colorado | PSCO | DC | 666.919 | 224.042 | 10.981 |  | 901.942 | 113499 | 3452 | 11 |  | 116962 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 |  |  |  |  | 0.0 |  |  |  |  | 0 |  |  |  |  | 0.0 | 666.919 | 224.042 | 10.981 | 0 | 901.942 | 113499 | 3452 | 11 | 0 | 116962 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2026-08-05 21:39:24.621338 | 69b52944-1515-4ab2-a9fb-445f886ba197 | Net_Metering_2024.xlsx
