-- S06 non-net-metering distributed: whole table (507 rows)
RECORD_ID | DATA_YEAR | STATE | UTILITY_NUMBER | UTILITY_NAME | BA_CODE | NUMBER_OF_GENERATORS | TOTAL_CAPACITY_MW | CAPACITY_BACK_UP_ONLY_MW | CAPACITY_UTILITY_OWNED_MW | TECHNOLOGY_TYPE | RESIDENTIAL_CAPACITY_MW_TECH_01 | COMMERCIAL_CAPACITY_MW_TECH_01 | INDUSTRIAL_CAPACITY_MW_TECH_01 | TRANSPORTATION_CAPACITY_MW_TECH_01 | DIRECT_CONNECTED_CAPACITY_MW_TECH_01 | TOTAL_CAPACITY_MW_TECH_01 | RESIDENTIAL_CAPACITY_MW_TECH_02 | COMMERCIAL_CAPACITY_MW_TECH_02 | INDUSTRIAL_CAPACITY_MW_TECH_02 | TRANSPORTATION_CAPACITY_MW_TECH_02 | DIRECT_CONNECTED_CAPACITY_MW_TECH_02 | TOTAL_CAPACITY_MW_TECH_02 | RESIDENTIAL_CAPACITY_MW_TECH_03 | COMMERCIAL_CAPACITY_MW_TECH_03 | INDUSTRIAL_CAPACITY_MW_TECH_03 | TRANSPORTATION_CAPACITY_MW_TECH_03 | DIRECT_CONNECTED_CAPACITY_MW_TECH_03 | TOTAL_CAPACITY_MW_TECH_03 | RESIDENTIAL_CAPACITY_MW_TECH_04 | COMMERCIAL_CAPACITY_MW_TECH_04 | INDUSTRIAL_CAPACITY_MW_TECH_04 | TRANSPORTATION_CAPACITY_MW_TECH_04 | DIRECT_CONNECTED_CAPACITY_MW_TECH_04 | TOTAL_CAPACITY_MW_TECH_04 | RESIDENTIAL_CAPACITY_MW_TECH_05 | COMMERCIAL_CAPACITY_MW_TECH_05 | INDUSTRIAL_CAPACITY_MW_TECH_05 | TRANSPORTATION_CAPACITY_MW_TECH_05 | DIRECT_CONNECTED_CAPACITY_MW_TECH_05 | TOTAL_CAPACITY_MW_TECH_05 | RESIDENTIAL_CAPACITY_MW_TECH_06 | COMMERCIAL_CAPACITY_MW_TECH_06 | INDUSTRIAL_CAPACITY_MW_TECH_06 | TRANSPORTATION_CAPACITY_MW_TECH_06 | DIRECT_CONNECTED_CAPACITY_MW_TECH_06 | TOTAL_CAPACITY_MW_TECH_06 | RESIDENTIAL_CAPACITY_MW_TECH_07 | COMMERCIAL_CAPACITY_MW_TECH_07 | INDUSTRIAL_CAPACITY_MW_TECH_07 | TRANSPORTATION_CAPACITY_MW_TECH_07 | DIRECT_CONNECTED_CAPACITY_MW_TECH_07 | TOTAL_CAPACITY_MW_TECH_07 | RESIDENTIAL_CAPACITY_MW_TECH_08 | COMMERCIAL_CAPACITY_MW_TECH_08 | INDUSTRIAL_CAPACITY_MW_TECH_08 | TRANSPORTATION_CAPACITY_MW_TECH_08 | DIRECT_CONNECTED_CAPACITY_MW_TECH_08 | TOTAL_CAPACITY_MW_TECH_08 | RESIDENTIAL_CAPACITY_MW_TECH_09 | COMMERCIAL_CAPACITY_MW_TECH_09 | INDUSTRIAL_CAPACITY_MW_TECH_09 | TRANSPORTATION_CAPACITY_MW_TECH_09 | DIRECT_CONNECTED_CAPACITY_MW_TECH_09 | TOTAL_CAPACITY_MW_TECH_09 | RESIDENTIAL_CAPACITY_MW_TECH_10 | COMMERCIAL_CAPACITY_MW_TECH_10 | INDUSTRIAL_CAPACITY_MW_TECH_10 | TRANSPORTATION_CAPACITY_MW_TECH_10 | DIRECT_CONNECTED_CAPACITY_MW_TECH_10 | TOTAL_CAPACITY_MW_TECH_10 | RESIDENTIAL_CAPACITY_MW_ALL_TECH | COMMERCIAL_CAPACITY_MW_ALL_TECH | INDUSTRIAL_CAPACITY_MW_ALL_TECH | TRANSPORTATION_CAPACITY_MW_ALL_TECH | DIRECT_CONNECTED_CAPACITY_MW_ALL_TECH | TOTAL_CAPACITY_MW_ALL_TECH | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
131574a5e94b862c1279259c0dbd2ed9-1 | 2024 | NC | 8333 | Haywood Electric Member Corp | DUK | 3 | 0.615 | 0.615 | 0.615 |  |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  | 0.615 | 0.615 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.615 | 0.615 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
489b6d7e070c77ed577040a64d1e97ac-1 | 2024 | MN | 16181 | Rochester Public Utilities | MISO | 6 | 1.295 | 0.0 | 0.0 | AC |  | 1.295 |  |  |  | 1.295 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 1.295 | 0.0 | 0 | 0.0 | 1.295 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
0ccdd2e398d0d1fe3d1fd9dcea004306-1 | 2024 | CA | 16655 | City of Santa Clara - (CA) | CISO | 3 | 0.294 |  |  |  |  |  |  |  |  | 0.0 |  | 0.28 |  |  |  | 0.28 |  |  |  |  |  | 0.0 |  | 0.014 |  |  |  | 0.014 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.294 | 0.0 | 0 | 0.0 | 0.294 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
08020155d81c7e23569aefe0d98ae38a-1 | 2024 | IL | 13032 | Mt Carmel Public Utility Co | MISO | 1 | 0.049 |  |  | AC |  | 0.049 |  |  |  | 0.049 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.049 | 0.0 | 0 | 0.0 | 0.049 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
45cc01b820e0bbf0582db7b429e1725b-1 | 2024 | AL | 241 | Albertville Municipal Utilities Board | TVA | 3 | 0.026 | 0.0 | 0.0 | AC | 0.02 | 0.006 | 0.0 | 0 | 0.0 | 0.026 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.02 | 0.006 | 0.0 | 0 | 0.0 | 0.026 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
613fe2d94d7eb0a4fcb6449e600b7d84-1 | 2024 | AK | 213 | Alaska Electric Light & Power Co. |  | 6 | 0.141 |  |  | DC |  | 0.09 |  |  |  | 0.09 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  | 0.002 |  |  |  | 0.002 |  | 0.03 |  |  |  | 0.03 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  | 0.019 |  |  | 0.019 |  |  |  |  |  | 0.0 | 0.0 | 0.122 | 0.019 | 0 | 0.0 | 0.141 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
1750250e3c17e3842cf033a6453b903e-1 | 2024 | SC | 16606 | Santee Electric Coop, Inc | SC | 4 | 1.45 |  |  | AC |  | 0.25 |  |  |  | 0.25 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  | 1.2 |  |  |  | 1.2 | 0.0 | 1.45 | 0.0 | 0 | 0.0 | 1.45 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
9d149b9139595babc4251c11c07a12b9-1 | 2024 | AL | 1640 | City of Bessemer Utilities | TVA | 1 | 0.011 | 0.0 | 0.0 | AC | 0.011 | 0.0 | 0.0 | 0 | 0.0 | 0.011 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.011 | 0.0 | 0.0 | 0 | 0.0 | 0.011 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
f1236e5f689836ff4338b2eaae168fee-1 | 2024 | WI | 20847 | Wisconsin Electric Power Co | MISO | 171 | 18.715 |  |  | AC | 0.289 | 4.822 | 8.577 |  |  | 13.688 | 0.076 | 0.153 |  |  |  | 0.229 |  |  |  |  |  | 0.0 | 0.1 | 0.256 | 0.216 |  |  | 0.572 |  | 0.377 | 0.465 |  |  | 0.842 |  | 0.4 |  |  |  | 0.4 |  | 0.174 |  |  |  | 0.174 |  |  |  |  |  | 0.0 |  |  | 0.455 |  |  | 0.455 |  | 1.287 | 1.068 |  |  | 2.355 | 0.465 | 7.469 | 10.781 | 0 | 0.0 | 18.715 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
76b742fe3227f39f1023e74b4e91a5d9-1 | 2024 | MS | 15211 | Pontotoc Electric Power Assn | TVA | 2 | 1.002 | 0.0 | 0.0 | AC | 0.003 | 0.0 | 0.0 | 0 | 0.0 | 0.003 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.999 | 0.0 | 0 | 0.0 | 0.999 | 0.003 | 0.999 | 0.0 | 0 | 0.0 | 1.002 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
