-- S07 sales to ultimate customers: whole table, the customer-count and price denominator for every join
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | PART | SERVICE_TYPE | DATA_TYPE | STATE | OWNERSHIP | BA_CODE | RESIDENTIAL_REVENUES_THOUSAND_DOLLARS | RESIDENTIAL_SALES_MWH | RESIDENTIAL_CUSTOMERS | COMMERCIAL_REVENUES_THOUSAND_DOLLARS | COMMERCIAL_SALES_MWH | COMMERCIAL_CUSTOMERS | INDUSTRIAL_REVENUES_THOUSAND_DOLLARS | INDUSTRIAL_SALES_MWH | INDUSTRIAL_CUSTOMERS | TRANSPORTATION_REVENUES_THOUSAND_DOLLARS | TRANSPORTATION_SALES_MWH | TRANSPORTATION_CUSTOMERS | TOTAL_REVENUES_THOUSAND_DOLLARS | TOTAL_SALES_MWH | TOTAL_CUSTOMERS | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
a2d1e34b69e18d56818b87df17da4643-1 | 2024 | 8774 | City of Holyoke - (MA) | A | Bundled | O | MA | Municipal | ISNE | 17929.0 | 108136 | 15040 | 33851.0 | 227354 | 2905 | 5370.0 | 46317 | 21 |  |  |  | 57150.0 | 381807 | 17966 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
45f1bd7ed0942365c0aa0b372dc5276f-1 | 2024 | 12744 | Modern Electric Water Company | A | Bundled | O | WA | Cooperative | AVA | 7588.6 | 102145 | 9181 | 8563.9 | 122895 | 1748 |  |  |  |  |  |  | 16152.5 | 225040 | 10929 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
2794fd43a414275be6d9797b040b5825-1 | 2024 | 3226 | Central Rural Electric Cooperative, Inc | A | Bundled | O | OK | Cooperative | AECI | 41022.6 | 354953 | 19650 | 27309.2 | 247180 | 4948 | 1469.8 | 12052 | 4 |  |  |  | 69801.6 | 614185 | 24602 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
ae9ce1a883dd93af5ffb5035f60b5815-1 | 2024 | 50046 | Texas Retail Energy, LLC | D | Bundled | O | TX | Retail Power Marketer | ERCO | 0.0 | 0 | 0 | 138798.5 | 1684185 | 603 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 138798.5 | 1684185 | 603 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
d76a782eb3ca6c0e774405ba4a48951a-1 | 2024 | 1149 | Baldwin County El Member Corp | A | Bundled | O | AL | Cooperative | SOCO | 155483.0 | 1121292 | 83005 | 59304.0 | 537247 | 8363 |  |  |  |  |  |  | 214787.0 | 1658539 | 91368 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
f8f759fe5fa1972990ad1d777c7d8a57-1 | 2024 | 61972 | SunSea Energy, LLC | B | Energy | O | NY | Retail Power Marketer | NYIS | 2386.2 | 8520 | 1808 | 0.5 | 2 | 1 |  |  |  |  |  |  | 2386.7 | 8522 | 1809 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
e86735ddb0e4b0f73a2deab67e725d4b-1 | 2024 | 40224 | Central Electric Coop, Inc - (PA) | A | Bundled | O | PA | Cooperative | PJM | 36790.0 | 216051 | 23629 | 9073.0 | 65626 | 1966 | 2451.0 | 21309 | 9 |  |  |  | 48314.0 | 302986 | 25604 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
099a05e8f78006761d1c02e836341a8c-1 | 2024 | 50046 | Texas Retail Energy, LLC | B | Energy | O | PA | Retail Power Marketer | PJM | 0.0 | 0 | 0 | 39085.2 | 552152 | 217 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 39085.2 | 552152 | 217 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
3e353bbc2f8c4ceffa48594a9ade08a9-1 | 2024 | 6194 | Farmers Rural Electric Coop Corp - (KY) | A | Bundled | O | KY | Cooperative | PJM | 40733.0 | 311377 | 24889 | 9934.0 | 79164 | 2006 | 8969.0 | 93053 | 6 |  |  |  | 59636.0 | 483594 | 26901 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
443ff5d19cd6a941aad4eb22164ef885-1 | 2024 | 19579 | Upshur Rural Elec Coop Corp | A | Bundled | O | TX | Cooperative | SWPP | 77807.0 | 627655 | 44415 | 20589.0 | 171085 | 6398 | 9490.0 | 125844 | 23 |  |  |  | 107886.0 | 924584 | 50836 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
