-- S08 reliability: whole table, outage minutes (SAIDI) and counts (SAIFI) per utility-state, the harm side
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | STATE | OWNERSHIP | IEEE_SAIDI_WITH_MED_MINUTES | IEEE_SAIFI_WITH_MED | IEEE_CAIDI_WITH_MED_MINUTES | IEEE_SAIDI_WITHOUT_MED_MINUTES | IEEE_SAIFI_WITHOUT_MED | IEEE_CAIDI_WITHOUT_MED_MINUTES | IEEE_SAIDI_LOSS_OF_SUPPLY_REMOVED_MINUTES | IEEE_SAIFI_LOSS_OF_SUPPLY_REMOVED | IEEE_CAIDI_LOSS_OF_SUPPLY_REMOVED_MINUTES | IEEE_NUMBER_OF_CUSTOMERS | IEEE_HIGHEST_DISTRIBUTION_VOLTAGE_KV | IEEE_OUTAGES_RECORDED_AUTOMATICALLY | OTHER_SAIDI_WITH_MED_MINUTES | OTHER_SAIFI_WITH_MED | OTHER_CAIDI_WITH_MED_MINUTES | OTHER_SAIDI_WITHOUT_MED_MINUTES | OTHER_SAIFI_WITHOUT_MED | OTHER_CAIDI_WITHOUT_MED_MINUTES | OTHER_NUMBER_OF_CUSTOMERS | INACTIVE_ACCOUNTS_INCLUDED | MOMENTARY_INTERRUPTIONS | OTHER_HIGHEST_DISTRIBUTION_VOLTAGE_KV | OTHER_OUTAGES_RECORDED_AUTOMATICALLY | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
b7d412dbaa71cc886e27558316d2429e-1 | 2024 | 7174 | Gibson Electric Members Corp | TN | Cooperative | 312.0 | 2.71 | 115.12915 | 140.15 | 2.374 | 59.035383 | 312.0 | 2.71 | 115.12915 | 39835.0 | 24.9 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
5b8593e5824ee1cdab9b11b7a18dd6f0-1 | 2024 | 7891 | Guernsey-Muskingum El Coop Inc | OH | Cooperative | 494.44 | 2.68 | 184.49254 | 485.1 | 2.64 | 183.75 | 298.47 | 1.9 | 157.08947 | 17356.0 | 12.5 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
2eef2743565de3b78190b441c9182a02-1 | 2024 | 6442 | Fleming-Mason Energy Coop Inc | KY | Cooperative | 831.14 | 2.32 | 358.25 | 216.89 | 1.73 | 125.36994 | 808.1 | 2.1 | 384.80952 | 26110.0 | 25.0 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
696127aed85012cbd36954498c97a82e-1 | 2024 | 19219 | Diverse Power Incorporated | AL | Cooperative | 184.681 | 2.582 | 71.526336 | 54.981 | 1.509 | 36.435388 | 184.681 | 2.582 | 71.526336 | 685.0 | 35.0 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
4bb515e48011004e17f728e61d8bb52f-1 | 2024 | 10618 | Lake Region Electric Cooperative - (MN) | MN | Cooperative | 297.43 | 1.82 | 163.42308 | 102.47 | 1.0 | 102.47 | 216.83 | 0.91 | 238.27473 | 29815.0 | 12.5 | N |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
bef8ca4408d5c4c482a0a97a7514bca3-1 | 2024 | 3940 | City of College Station - (TX) | TX | Municipal | 22.8 | 0.4 | 57.0 | 16.3 | 0.24 | 67.916667 | 16.3 | 0.24 | 67.916667 | 45821.0 | 15.0 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
18acab6b45a163205015f3901d519f2f-1 | 2024 | 17637 | Southern Maryland Elec Coop Inc | MD | Cooperative | 145.98 | 1.31 | 111.43511 | 113.87 | 1.13 | 100.76991 | 145.98 | 1.31 | 111.43511 | 177329.0 | 13.8 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
291399884ce98741803d0eaa6de0c883-1 | 2024 | 57483 | Liberty Utilities | CA | Investor Owned | 742.75 | 2.57 | 289.00778 | 496.17 | 2.37 | 209.35443 | 449.58 | 1.85 | 243.01622 | 50151.0 | 24.9 | N |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
47647915b6d37bac15b74dbaea51ecb3-1 | 2024 | 1300 | City of Bartow - (FL) | FL | Municipal |  |  |  |  |  |  |  |  |  |  |  |  | 66.89 | 0.59 | 113.37288 | 66.89 | 0.59 | 113.37288 | 13199.0 | N | L | 35.0 | N | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
151b645b828f5b5f331c1e5e032e46ad-1 | 2024 | 1015 | Austin Energy | TX | Municipal | 92.13 | 0.96 | 95.96875 | 76.03 | 0.87 | 87.390805 | 90.33 | 0.93 | 97.129032 | 557039.0 | 35.0 | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:36.498366 | 40d28df2-2c1e-4d4e-bd9a-dffbb1872898 | Reliability_2024.xlsx
