-- S09 advanced meters: whole table, smart-meter counts per utility-state, the precondition for time-varying rates
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | OWNERSHIP | SHORT_FORM | STATE | BA_CODE | RESIDENTIAL_AMR_METERS | COMMERCIAL_AMR_METERS | INDUSTRIAL_AMR_METERS | TRANSPORTATION_AMR_METERS | TOTAL_AMR_METERS | RESIDENTIAL_AMI_METERS | COMMERCIAL_AMI_METERS | INDUSTRIAL_AMI_METERS | TRANSPORTATION_AMI_METERS | TOTAL_AMI_METERS | RESIDENTIAL_AMI_HOME_AREA_NETWORK_METERS | COMMERCIAL_AMI_HOME_AREA_NETWORK_METERS | INDUSTRIAL_AMI_HOME_AREA_NETWORK_METERS | TRANSPORTATION_AMI_HOME_AREA_NETWORK_METERS | TOTAL_AMI_HOME_AREA_NETWORK_METERS | RESIDENTIAL_NON_AMR_AMI_METERS | COMMERCIAL_NON_AMR_AMI_METERS | INDUSTRIAL_NON_AMR_AMI_METERS | TRANSPORTATION_NON_AMR_AMI_METERS | TOTAL_NON_AMR_AMI_METERS | RESIDENTIAL_TOTAL_METERS | COMMERCIAL_TOTAL_METERS | INDUSTRIAL_TOTAL_METERS | TRANSPORTATION_TOTAL_METERS | TOTAL_TOTAL_METERS | RESIDENTIAL_ENERGY_SERVED_AMI_MWH | COMMERCIAL_ENERGY_SERVED_AMI_MWH | INDUSTRIAL_ENERGY_SERVED_AMI_MWH | TRANSPORTATION_ENERGY_SERVED_AMI_MWH | TOTAL_ENERGY_SERVED_AMI_MWH | RESIDENTIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | COMMERCIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | INDUSTRIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | TRANSPORTATION_AMI_DAILY_DIGITAL_ACCESS_METERS | TOTAL_AMI_DAILY_DIGITAL_ACCESS_METERS | RESIDENTIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | COMMERCIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | INDUSTRIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TRANSPORTATION_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TOTAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
ccefb615ccf6025183d807bddadfc07e-1 | 2024 | 7090 | GreyStone Power Corporation | Cooperative |  | GA | SOCO | 28259 | 8682 | 255 |  | 37196 | 113831 | 4528 | 1 |  | 118360 |  |  |  |  |  | 78 | 2 | 0 |  | 80 | 142168 | 13212 | 256 | 0 | 155636 | 1584917.0 | 215095.0 | 4.0 |  | 1800016.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
f0d312296e514d6cd0406dc0dae073e7-1 | 2024 | 5015 | Delano Municipal Utilities | Municipal | Y | MN | MISO | 0 | 0 | 0 |  | 0 | 2681 | 172 | 88 |  | 2941 |  |  |  |  |  |  |  |  |  |  | 2681 | 172 | 88 | 0 | 2941 | 21992.0 | 5780.0 | 38114.0 |  | 65886.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
1f7ea9c8bcbd9dc7db5e8dbfdfa95281-1 | 2024 | 11789 | Maryville Utilities | Municipal |  | TN | TVA | 3990 | 621 | 0 | 0 | 4611 | 15981 | 2470 | 11 | 0 | 18462 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 19971 | 3091 | 11 | 0 | 23073 | 213424.0 | 195685.0 | 263561.0 | 0 | 672670.0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
0f55f002df55288f310aed64d80fef8a-1 | 2024 | 40437 | Emerald People's Utility Dist | Political Subdivision |  | OR | PACW |  |  |  |  |  | 19987 | 2356 | 749 |  | 23092 |  |  |  |  |  | 71 | 4 |  |  | 75 | 20058 | 2360 | 749 | 0 | 23167 | 287617.0 | 110506.0 | 388114.0 |  | 786237.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
7103742b89bc861988501b6ddb9ac1b4-1 | 2024 | 4459 | Cozad Board of Public Works | Municipal | Y | NE | SWPP | 2099 | 386 | 68 |  | 2553 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2099 | 386 | 68 | 0 | 2553 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
90f8f09ecabea75bf895d0be46d67b3e-1 | 2024 | 1586 | City of Bentonville - (AR) | Municipal |  | AR | SWPP |  |  |  |  |  | 25103 | 3921 |  |  | 29024 |  |  |  |  |  |  |  |  |  |  | 25103 | 3921 | 0 | 0 | 29024 | 287396.0 | 448206.0 |  |  | 735602.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
4a588e1a3bd80089b9ae3b30509ab736-1 | 2024 | 21101 | Village of Yellow Springs - (OH) | Municipal | Y | OH | PJM | 1421 | 73 | 3 |  | 1497 | 727 | 7 | 4 |  | 738 |  |  |  |  |  |  |  |  |  |  | 2148 | 80 | 7 | 0 | 2235 | 14685.0 | 3716.0 | 17188.0 |  | 35589.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
eef6c472ade0740fda3a16c7a1d0c2d8-1 | 2024 | 11481 | City of Madison - (NE) | Municipal | Y | NE | SWPP | 848 | 113 | 0 |  | 961 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 848 | 113 | 0 | 0 | 961 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
14b276915f3c7b663a56fe7098486946-1 | 2024 | 7654 | Greer Commission of Public Wks | Municipal |  | SC | DUK | 118 | 10173 |  |  | 10291 | 24775 | 241 |  |  | 25016 |  |  |  |  |  |  |  |  |  |  | 24893 | 10414 | 0 | 0 | 35307 | 243863.0 | 4662.0 |  |  | 248525.0 |  | 0 |  |  | 0 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
a941a84994a45ff9c9fba248f25968f4-1 | 2024 | 993 | Auburn Board of Public Works | Municipal | Y | NE | SWPP | 1859 | 713 | 1 |  | 2573 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1859 | 713 | 1 | 0 | 2573 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
