-- S12 non-net + net metering: residential solar MW per residential customer, Southern Co. and TVA-area utilities (AL, GA, MS, TN) with 100K+ homes
STATE | NAME | RES_CUST | NM_RES_INST | NM_RES_MW | NN_RES_PV_MW | NN_GENERATORS | RES_SOLAR_WATTS_PER_HOME
TN | City of Memphis - (TN) | 380286 |  |  |  |  | 0.0
GA | Snapping Shoals El Member Corp | 105253 |  |  |  |  | 0.0
AL | Alabama Power Co | 1332911 |  |  | 2.138 | 443 | 1.6
AL | City of Huntsville - (AL) | 197537 |  |  | 0.503 | 63 | 2.5
MS | Entergy Mississippi LLC | 384611 | 625 | 1.159 |  | 15 | 3.0
TN | Nashville Electric Service | 417640 |  |  | 1.627 | 335 | 3.9
TN | Knoxville Utilities Board | 193707 |  |  | 0.847 | 151 | 4.4
TN | Middle Tennessee E M C | 307370 |  |  | 1.38 | 210 | 4.5
TN | Cumberland Elec Member Corp | 100585 |  |  | 0.641 | 78 | 6.4
TN | City of Chattanooga - (TN) | 164417 |  |  | 1.88 | 292 | 11.4
TN | Volunteer Electric Coop | 104387 |  |  | 1.997 | 181 | 19.1
GA | Cobb Electric Membership Corp | 200601 | 598 | 3.883 |  |  | 19.4
GA | Sawnee Electric Membership Corporation | 181600 | 615 | 3.799 |  | 6 | 20.9
GA | GreyStone Power Corporation | 139028 | 564 | 3.59 |  | 136 | 25.8
GA | Georgia Power Co | 2452488 | 11208 | 73.363 | 0.495 | 726 | 30.1
MS | Mississippi Power Co | 157437 | 496 | 4.848 | 0.109 | 32 | 31.5
GA | Jackson Electric Member Corp - (GA) | 239558 | 1062 | 8.573 | 0.281 | 57 | 37.0
GA | Walton Electric Member Corp | 131915 | 675 | 5.677 |  | 6 | 43.0
(18 rows; csv has all)
