-- S10 Google advertiser stats (sibling table): names, regions, all-place total USD, ad count, the IDs each buyer gave Google (FEC ID lives here)
ADVERTISER_ID | ADVERTISER_NAME | REGIONS | USD_TOTAL | TOTAL_CREATIVES | PUBLIC_IDS_LIST
AR08395185106758664193 | SARAH G. NORMAN | US | 400 | 4 | 
AR04185907356116189185 | ELEICAO 2022 RAPHAELA MARIA DE OLIVEIRA MORAES VASQUES DEPUTADO FEDERAL | BR | 0 | 7 | 
AR17536331266041839617 | DOUGHTY COMMITTEE | US | 4100 | 10 | EIN ID 87-4531269
AR03405196719632154625 | WOMEN'S MARCH, INC | US | 200 | 2 | EIN ID 81-4571869
AR02449589173699477505 | FUEGER 2020 FOR STATE ASSEMBLY | US | 900 | 2 | Registered in US-WI 0106228
AR17407766410788077569 | VIRGIN ISLANDERS FOR PROGRESS PAC | US | 14900 | 3 | FEC ID C00953307
AR10315867199897600001 | ELEICAO 2022 CARLOS WAGNER BORGES DEPUTADO FEDERAL | BR | 0 | 1 | 
AR04513082227965296641 | EVERYTOWN FOR GUN SAFETY ACTION FUND | US | 549400 | 221 | FEC ID C90015025
AR11094713760445628417 | Richards for Nebraska | US | 4500 | 2 | EIN ID 88-0882364
AR06805836521912926209 | WISCONSIN FORWARD FUND | US | 57700 | 11 | EIN ID 93-3622096
AR14684484182772547585 | ELEICAO 2022 CLAUDIO CESAR SILVA APOLINARIO DEPUTADO ESTADUAL | BR | 0 | 63 | 
AR01708583860599521281 | Friends of Tony Bernard | US | 1000 | 1 | EIN ID 92-3586446
AR13434713089786249217 | DANIEL KEMPH FOR CONGRESS | US | 100 | 14 | FEC ID C00717660
AR06508176862890426369 | TUX FOR MONTANA | US | 5300 | 31 | EIN ID 84-4677381
AR04926652806514868225 | BRITTANY PETTERSEN FOR COLORADO | US | 205700 | 19 | FEC ID C00637215
AR05426224641968439297 | ACCOUNTABLE US | US | 700 | 3 | EIN ID 83-4158350
AR09281633646182137857 | HUFFMAN FOR CONGRESS | US | 1400 | 1 | FEC ID C00536680
AR13815673527845519361 | Maria de Lourdes Monteiro Godoy | BR | 0 | 6 | 
AR17075397368699944961 | Mr. Satyanarayan | IN | 0 | 1 | 
AR02268078392572116993 | Comunicación Entre Ríos | AR | 0 | 1 | 
AR14043792160197705729 | Xie Committee | US | 3800 | 32 | Registered in US-MA 18057
AR10379344188012494849 | TATE FOR MICHIGAN | US | 1000 | 2 | FEC ID C00904862
AR05950717526940844033 | JULIEFORHOUSE | US | 12200 | 67 | EIN ID 88-2571416
AR00090548983025369089 | AMERICAN DEMOCRACY PROJECT | US | 79000 | 4 | EIN ID 42-3575720
AR16185262922702782465 | Maria Teresa Saenz Surita Guimarães | BR | 0 | 16 | 
AR16293422646031286273 | Kevin Hartke for State Representative - District 13 | US | 600 | 1 | Registered in US-AZ 101949
AR10507301159364984833 | Jonathan Gracia for Cameron County Treasurer | US | 700 | 3 | EIN ID 41-2554263
AR06854954034197954561 | ADAM FRANKEL CAMPAIGN ACCOUNT | US | 200 | 2 | EIN ID 85-4094814
AR06554704552845639681 | ELEICAO 2022 FLAVIO SOUZA DE MATTOS DEPUTADO ESTADUAL | BR | 0 | 2 | 
AR14528957859296706561 | Lori Rook for Missouri | US | 6300 | 9 | Registered in US-MO C253563
AR09790464967269416961 | Eric Richman | AU | 0 | 6 | 
AR09787561122700722177 | Safer Los Angeles County Sponsored by Labor Organizations | US | 6800 | 4 | EIN ID 41-2775668
AR04747134168658345985 | NOAH ARBIT FOR MICHIGAN | US | 12000 | 15 | EIN ID 87-2051625
AR02328836408690606081 | JOSH STEIN FOR ATTORNEY GENERAL | US | 332600 | 22 | EIN ID 47-5040088
AR00180842621655056385 | MANO DEAYALA CAMPAIGN | US | 700 | 1 | EIN ID 88-1663521
AR05723789940559446017 | AJWANG FOR CONGRESS | US | 1600 | 3 | FEC ID C00785956
AR17108889798552059905 | DEBORAH ROSS FOR CONGRESS | US | 67800 | 8 | FEC ID C00729277
AR15882824313699565569 | ELEICAO 2022 SONIA DA SILVA DEPUTADO FEDERAL | BR | 0 | 2 | 
AR04241855953755963393 | Steven Choi for Senate 2024 | US | 1500 | 17 | Registered in US-CA 1458388
AR08781396966971015169 | FRIENDS OF DAN MCPHILLIPS PA | US | 6500 | 6 | EIN ID 99-1983113
AR15903648462634221569 | Stringham for Arizona | US | 25300 | 10 | EIN ID 93-3758360
AR03068515607688249345 | O.C. "OJ" Oleka | US | 2000 | 1 | Registered in US-KY 
