-- S18 FEC candidate records for the members whose official accounts spent inside 60 days of a general election, plus Gomez (CA-34): on the ballot that year?
CAND_ID | CAND_NAME | CAND_ELECTION_YR | CAND_OFFICE | CAND_OFFICE_ST | CAND_OFFICE_DISTRICT | CAND_ICI | CAND_STATUS | CAND_PCC
H2NY14094 | CUELLAR, DESI | 2022 | H | NY | 14 | C | P | C00781211
H2NY14094 | CUELLAR, DESI | 2022 | H | NY | 14 | C | C | C00781211
H2TX23082 | CUELLAR, HENRY | 2020 | H | TX | 28 | I | C | C00371302
H2TX23082 | CUELLAR, HENRY | 2022 | H | TX | 28 | I | C | C00371302
H2TX23082 | CUELLAR, HENRY R. | 2018 | H | TX | 28 | I | C | C00371302
H2TX23082 | CUELLAR, HENRY R. | 2024 | H | TX | 28 | I | C | C00371302
H2NY10308 | GOLDMAN, DANIEL | 2022 | H | NY | 10 | C | C | C00816660
H2NY10308 | GOLDMAN, DANIEL | 2024 | H | NY | 10 | I | C | C00816660
H8CA34266 | GOMEZ, JIMMY | 2018 | H | CA | 34 | I | C | C00629659
H8CA34266 | GOMEZ, JIMMY | 2020 | H | CA | 34 | I | C | C00629659
H8CA34266 | GOMEZ, JIMMY | 2022 | H | CA | 34 | I | C | C00629659
H8CA34266 | GOMEZ, JIMMY | 2024 | H | CA | 34 | I | C | C00629659
H6IN09176 | HOLLINGSWORTH, TREY | 2018 | H | IN | 09 | I | C | C00590463
H6IN09176 | HOLLINGSWORTH, TREY | 2020 | H | IN | 09 | I | C | C00590463
H6IN09176 | HOLLINGSWORTH, TREY | 2022 | H | IN | 09 | I | C | C00590463
H6IN09176 | HOLLINGSWORTH, TREY | 2022 | H | IN | 09 | I | P | C00590463
H6CA22125 | MCCARTHY, KEVIN | 2018 | H | CA | 23 | I | C | C00420935
H6CA22125 | MCCARTHY, KEVIN | 2020 | H | CA | 23 | I | C | C00420935
H6CA22125 | MCCARTHY, KEVIN | 2022 | H | CA | 20 | I | C | C00420935
H6CA22125 | MCCARTHY, KEVIN | 2024 | H | CA | 20 | I | C | C00420935
H8TX22107 | OLSON, PETER G. | 2018 | H | TX | 22 | I | C | C00437913
H8TX22107 | OLSON, PETER G. | 2020 | H | TX | 22 | I | C | C00437913
H8TX22107 | OLSON, PETER G. | 2020 | H | TX | 22 | I | P | C00437913
H0CA48198 | STEEL, MICHELLE | 2020 | H | CA | 48 | C | C | C00704981
H0CA48198 | STEEL, MICHELLE | 2022 | H | CA | 45 | I | C | C00704981
H0CA48198 | STEEL, MICHELLE | 2024 | H | CA | 45 | I | C | C00704981
(26 rows; csv has all)
