===== q07 (stmt 7) 101 rows
MO | N | STILL_D | REL | NEVER | ENTRY_KNOWN | G_0_30D | G_1M_2Y | G_2_10Y | G_10Y_PLUS | G_NEG | LPR1 | AWC_D | RBC_D | UC | AWC_ATD | AGE_KNOWN | MINOR | UNDER6 | FEMALE | HAS_E28 | MX | NT | VE
2018-01-01 | 11333 | 6370 | 4958 | 5 | 5301 | 2011 | 1927 | 614 | 712 | 37 | 17 | 0 | 8 | 227 | 7 | 7573 | 607 | 94 | 1198 | 6566 | 4117 | 3934 | 49
2018-02-01 | 10668 | 6085 | 4577 | 6 | 4780 | 1958 | 1443 | 654 | 708 | 17 | 21 | 1 | 3 | 291 | 11 | 7621 | 685 | 97 | 1219 | 6127 | 4317 | 3705 | 55
2018-03-01 | 11327 | 6340 | 4983 | 4 | 5275 | 2404 | 1389 | 739 | 727 | 16 | 23 | 1 | 5 | 226 | 20 | 6824 | 710 | 109 | 1144 | 6529 | 4256 | 4171 | 57
2018-04-01 | 11880 | 6395 | 5477 | 8 | 5689 | 2860 | 1342 | 695 | 773 | 19 | 17 | 0 | 5 | 304 | 14 | 6503 | 740 | 96 | 1094 | 7162 | 4346 | 4440 | 70
2018-05-01 | 13536 | 7063 | 6470 | 3 | 6960 | 3633 | 1796 | 739 | 776 | 16 | 28 | 1 | 4 | 453 | 14 | 7915 | 1203 | 173 | 1229 | 8013 | 4493 | 5722 | 71
2018-06-01 | 13188 | 6618 | 6560 | 10 | 6900 | 3604 | 1974 | 688 | 614 | 20 | 12 | 0 | 7 | 649 | 12 | 8718 | 1461 | 155 | 1558 | 7769 | 3932 | 5814 | 67
2018-07-01 | 12924 | 6567 | 6349 | 8 | 6623 | 3148 | 2177 | 637 | 646 | 15 | 13 | 0 | 7 | 619 | 17 | 8695 | 1484 | 133 | 1594 | 7649 | 4173 | 5402 | 64
2018-08-01 | 14521 | 7489 | 7029 | 3 | 7471 | 3054 | 2859 | 741 | 809 | 8 | 12 | 0 | 4 | 745 | 16 | 10118 | 1821 | 164 | 1779 | 8544 | 4678 | 5804 | 63
2018-09-01 | 14291 | 6395 | 7889 | 7 | 8264 | 2818 | 4110 | 649 | 677 | 10 | 8 | 0 | 2 | 1611 | 11 | 10644 | 2765 | 149 | 1908 | 8426 | 3839 | 6237 | 70
2018-10-01 | 14577 | 7168 | 7401 | 8 | 7865 | 3116 | 3359 | 753 | 618 | 19 | 6 | 0 | 8 | 887 | 11 | 10320 | 1817 | 138 | 1806 | 8694 | 4183 | 5752 | 58
2018-11-01 | 13977 | 6796 | 7179 | 2 | 8132 | 3721 | 3128 | 664 | 598 | 21 | 13 | 0 | 3 | 681 | 8 | 9419 | 1445 | 113 | 1874 | 8169 | 3691 | 5598 | 95
2018-12-01 | 13496 | 6577 | 6914 | 5 | 7894 | 4015 | 2684 | 574 | 597 | 24 | 9 | 1 | 4 | 605 | 5 | 8850 | 1303 | 129 | 1747 | 7793 | 3387 | 5673 | 122
2019-01-01 | 14024 | 7234 | 6783 | 7 | 7892 | 3307 | 3183 | 716 | 664 | 22 | 4 | 0 | 9 | 866 | 10 | 9101 | 1574 | 131 | 1651 | 7851 | 3790 | 5869 | 102
2019-02-01 | 12352 | 6391 | 5952 | 9 | 6600 | 2975 | 2420 | 631 | 559 | 15 | 9 | 0 | 7 | 618 | 8 | 8655 | 1500 | 181 | 1588 | 7028 | 3635 | 5260 | 84
2019-03-01 | 13909 | 7305 | 6590 | 14 | 7860 | 3465 | 3135 | 614 | 628 | 18 | 11 | 0 | 8 | 673 | 5 | 8748 | 1459 | 178 | 1776 | 7872 | 3659 | 6273 | 151
2019-04-01 | 16174 | 8424 | 7737 | 13 | 10062 | 5275 | 3546 | 606 | 608 | 27 | 15 | 0 | 7 | 591 | 9 | 10452 | 1519 | 271 | 2103 | 8864 | 3509 | 7208 | 132
2019-05-01 | 19766 | 11371 | 8384 | 11 | 12817 | 7545 | 4043 | 593 | 616 | 20 | 19 | 0 | 5 | 747 | 6 | 12909 | 2874 | 640 | 3211 | 9398 | 3569 | 9842 | 167
2019-06-01 | 17118 | 9431 | 7680 | 7 | 10304 | 5348 | 3889 | 531 | 512 | 24 | 10 | 0 | 2 | 564 | 9 | 11223 | 2694 | 618 | 3298 | 8590 | 2942 | 8412 | 159
2019-07-01 | 20990 | 13158 | 7819 | 13 | 14077 | 7763 | 5245 | 517 | 536 | 16 | 11 | 1 | 3 | 535 | 3 | 16067 | 3548 | 940 | 5162 | 8822 | 3237 | 10280 | 355
2019-08-01 | 25626 | 15959 | 9662 | 5 | 17518 | 10299 | 6102 | 545 | 550 | 22 | 18 | 0 | 4 | 674 | 8 | 19470 | 4834 | 1428 | 6651 | 10658 | 3524 | 13621 | 597
2019-09-01 | 22368 | 13758 | 8605 | 5 | 14828 | 8233 | 5565 | 505 | 511 | 14 | 9 | 0 | 2 | 424 | 7 | 15879 | 3929 | 1192 | 5740 | 10197 | 3466 | 10827 | 614
2019-10-01 | 18165 | 11335 | 6822 | 8 | 11451 | 5487 | 4878 | 593 | 479 | 14 | 5 | 0 | 6 | 401 | 9 | 12683 | 2964 | 883 | 4160 | 8577 | 3629 | 8242 | 523
2019-11-01 | 16161 | 9676 | 6478 | 7 | 10758 | 3780 | 5934 | 524 | 504 | 16 | 9 | 0 | 3 | 223 | 9 | 12678 | 3194 | 1002 | 4367 | 6989 | 3378 | 7682 | 472
2019-12-01 | 17077 | 9300 | 7766 | 11 | 11712 | 4055 | 6598 | 556 | 489 | 14 | 9 | 0 | 1 | 320 | 9 | 13632 | 3579 | 1107 | 4944 | 7090 | 3148 | 8511 | 438
2020-01-01 | 15973 | 8545 | 7417 | 11 | 9787 | 4171 | 4422 | 640 | 538 | 16 | 5 | 0 | 5 | 288 | 10 | 12040 | 2788 | 896 | 3788 | 7315 | 3761 | 6997 | 399
2020-02-01 | 13144 | 6970 | 6166 | 8 | 7400 | 3557 | 2673 | 591 | 571 | 8 | 8 | 2 | 4 | 479 | 7 | 8345 | 2277 | 674 | 2418 | 7016 | 3789 | 4771 | 348
2020-03-01 | 11179 | 5664 | 5511 | 4 | 6048 | 3302 | 1766 | 523 | 445 | 12 | 10 | 0 | 1 | 476 | 10 | 6870 | 1836 | 407 | 1968 | 5883 | 3296 | 4330 | 179
2020-04-01 | 5297 | 2790 | 2504 | 3 | 3134 | 1085 | 1572 | 241 | 234 | 2 | 3 | 1 | 1 | 109 | 6 | 3232 | 485 | 129 | 845 | 2942 | 1301 | 1741 | 91
2020-05-01 | 3142 | 1885 | 1254 | 3 | 1485 | 361 | 676 | 214 | 233 | 1 | 6 | 1 | 3 | 62 | 2 | 2093 | 124 | 13 | 307 | 1929 | 1010 | 828 | 24
2020-06-01 | 2992 | 1941 | 1049 | 2 | 1252 | 397 | 357 | 232 | 262 | 4 | 9 | 0 | 3 | 42 | 4 | 2156 | 111 | 23 | 307 | 1758 | 1123 | 693 | 26
2020-07-01 | 3513 | 2114 | 1398 | 1 | 1544 | 704 | 357 | 249 | 228 | 6 | 5 | 0 | 1 | 34 | 3 | 2737 | 175 | 45 | 452 | 2009 | 1264 | 770 | 34
2020-08-01 | 4358 | 2293 | 2062 | 3 | 2036 | 917 | 413 | 363 | 341 | 2 | 13 | 1 | 3 | 101 | 3 | 3524 | 308 | 62 | 587 | 2497 | 1590 | 1086 | 37
2020-09-01 | 5479 | 2434 | 3036 | 9 | 3136 | 1882 | 493 | 394 | 363 | 4 | 5 | 0 | 0 | 303 | 7 | 4705 | 777 | 76 | 929 | 2985 | 1659 | 1566 | 52
2020-10-01 | 5447 | 2446 | 2996 | 5 | 2670 | 1448 | 531 | 351 | 337 | 3 | 16 | 0 | 3 | 356 | 9 | 4621 | 914 | 82 | 819 | 3152 | 1754 | 1864 | 72
2020-11-01 | 4799 | 1883 | 2913 | 3 | 2611 | 1544 | 456 | 295 | 316 | 0 | 8 | 0 | 0 | 317 | 3 | 4072 | 807 | 76 | 767 | 2717 | 1354 | 1592 | 104
2020-12-01 | 5269 | 1918 | 3349 | 2 | 3028 | 1878 | 478 | 370 | 298 | 4 | 8 | 1 | 1 | 364 | 5 | 4442 | 944 | 92 | 934 | 3039 | 1400 | 1722 | 149
2021-01-01 | 4789 | 1643 | 3141 | 5 | 2855 | 1862 | 445 | 280 | 243 | 25 | 6 | 0 | 2 | 336 | 1 | 3892 | 993 | 70 | 815 | 2867 | 1077 | 1662 | 132
2021-02-01 | 3327 | 1278 | 2026 | 23 | 2370 | 1743 | 335 | 132 | 148 | 12 | 5 | 0 | 1 | 243 | 2 | 2384 | 760 | 77 | 572 | 2080 | 472 | 1207 | 149
2021-03-01 | 5380 | 1744 | 3587 | 49 | 4073 | 3059 | 682 | 142 | 174 | 16 | 3 | 0 | 1 | 606 | 0 | 3705 | 1400 | 118 | 1059 | 3263 | 467 | 1855 | 362
2021-04-01 | 6519 | 2194 | 4295 | 30 | 5075 | 3382 | 1379 | 129 | 169 | 16 | 3 | 0 | 1 | 625 | 0 | 4579 | 1422 | 105 | 1290 | 4012 | 520 | 1880 | 643
2021-05-01 | 7135 | 2119 | 4982 | 34 | 5461 | 3219 | 1925 | 125 | 170 | 22 | 5 | 1 | 0 | 447 | 0 | 4469 | 1110 | 69 | 1216 | 4464 | 525 | 1547 | 1041
2021-06-01 | 7841 | 2330 | 5464 | 47 | 5816 | 3102 | 2398 | 125 | 176 | 15 | 6 | 0 | 1 | 401 | 2 | 4721 | 964 | 103 | 1199 | 4797 | 593 | 1407 | 1183
2021-07-01 | 9567 | 2732 | 6752 | 83 | 7313 | 4474 | 2536 | 138 | 136 | 29 | 11 | 0 | 0 | 258 | 0 | 5491 | 712 | 75 | 1432 | 5679 | 551 | 1248 | 1213
2021-08-01 | 8091 | 2745 | 5253 | 93 | 6094 | 3723 | 1983 | 160 | 185 | 43 | 9 | 0 | 1 | 249 | 1 | 4835 | 693 | 54 | 1244 | 4649 | 632 | 1240 | 683
2021-09-01 | 9221 | 3193 | 5954 | 74 | 6619 | 4351 | 1845 | 165 | 237 | 21 | 10 | 0 | 1 | 189 | 1 | 6002 | 597 | 73 | 1653 | 5149 | 751 | 1106 | 876
2021-10-01 | 8036 | 2606 | 5366 | 64 | 5914 | 4012 | 1623 | 135 | 119 | 25 | 3 | 0 | 0 | 259 | 0 | 5157 | 591 | 71 | 1380 | 4443 | 496 | 1043 | 575
2021-11-01 | 7270 | 2299 | 4863 | 108 | 4963 | 3094 | 1611 | 116 | 126 | 16 | 4 | 0 | 0 | 347 | 1 | 4501 | 642 | 31 | 1208 | 4074 | 556 | 1136 | 407
2021-12-01 | 7666 | 2107 | 5483 | 76 | 5743 | 4234 | 1238 | 111 | 118 | 42 | 4 | 0 | 0 | 298 | 2 | 5461 | 563 | 48 | 1059 | 4688 | 502 | 1015 | 1038
2022-01-01 | 7378 | 1904 | 5412 | 62 | 5529 | 3847 | 1400 | 136 | 127 | 19 | 4 | 0 | 0 | 156 | 1 | 5586 | 521 | 29 | 1008 | 4452 | 484 | 970 | 933
2022-02-01 | 7017 | 2074 | 4883 | 60 | 5332 | 3940 | 1042 | 173 | 157 | 20 | 3 | 0 | 0 | 239 | 2 | 4697 | 535 | 38 | 824 | 3920 | 538 | 1067 | 274
2022-03-01 | 10983 | 2817 | 8077 | 89 | 8839 | 7431 | 975 | 240 | 184 | 9 | 4 | 0 | 0 | 250 | 1 | 9132 | 599 | 36 | 1881 | 6225 | 640 | 1313 | 155
2022-04-01 | 9948 | 3408 | 6490 | 50 | 7527 | 6055 | 954 | 211 | 182 | 125 | 4 | 1 | 0 | 181 | 3 | 8552 | 410 | 26 | 1520 | 5553 | 708 | 1309 | 68
