===== q08 (stmt 8) 58 rows
QTR | FRESH_N | MED_IDN | MIN_IDN | MAX_IDN | MARKER_2Y_BEFORE | DETAINED | OLD_CASE_2Y | OLD_CASE_2Y_ENTRY_2Y | OLD_CASE_LAWYER_BEFORE_DET | HAS_E28 | E28_BEFORE_DET
2012-01-01 | 3460 | 6955403.5 | 6914035 | 10954462 |  | 30665 | 0 | 0 | 0 | 9683 | 267
2012-04-01 | 3481 | 7011853.0 | 6962184 | 9670263 |  | 29822 | 0 | 0 | 0 | 10653 | 296
2012-07-01 | 3540 | 7067245.5 | 7028986 | 7951909 |  | 29756 | 0 | 0 | 0 | 11048 | 284
2012-10-01 | 3372 | 7117809.5 | 7086348 | 9672704 |  | 25104 | 0 | 0 | 0 | 9737 | 269
2013-01-01 | 4551 | 7167424.0 | 7127033 | 8709173 |  | 23426 | 0 | 0 | 0 | 10077 | 271
2013-04-01 | 7443 | 7222289.0 | 7175167 | 9694614 |  | 28024 | 0 | 0 | 0 | 14892 | 329
2013-07-01 | 9128 | 7274689.0 | 7229131 | 9712966 |  | 28404 | 0 | 0 | 0 | 16185 | 448
2013-10-01 | 8544 | 7335698.0 | 7290176 | 9868228 |  | 26806 | 0 | 0 | 0 | 15334 | 548
2014-01-01 | 11085 | 7390027.0 | 7339193 | 9696608 | 6955403.5 | 29161 | 743 | 434 | 212 | 17146 | 470
2014-04-01 | 12858 | 7445625.5 | 7393997 | 15179675 | 7011853.0 | 31268 | 665 | 350 | 211 | 18140 | 410
2014-07-01 | 5997 | 7512751.0 | 7446299 | 10763383 | 7067245.5 | 25065 | 680 | 360 | 202 | 13884 | 437
2014-10-01 | 5088 | 7582244.5 | 7533245 | 9689882 | 7117809.5 | 18613 | 652 | 348 | 187 | 10642 | 382
2015-01-01 | 5087 | 7636140.0 | 6533283 | 9689101 | 7167424.0 | 18202 | 635 | 293 | 205 | 10719 | 403
2015-04-01 | 7435 | 7695531.0 | 7650714 | 11462039 | 7222289.0 | 23511 | 805 | 371 | 250 | 13997 | 463
2015-07-01 | 6945 | 7746429.0 | 7554840 | 9686751 | 7274689.0 | 22730 | 819 | 386 | 233 | 13802 | 431
2015-10-01 | 6257 | 7813487.0 | 7602632 | 10685237 | 7335698.0 | 21848 | 775 | 353 | 236 | 13024 | 420
2016-01-01 | 6889 | 7872367.0 | 7820303 | 9766671 | 7390027.0 | 22483 | 778 | 327 | 214 | 13777 | 386
2016-04-01 | 7970 | 7936435.0 | 7884972 | 11869440 | 7445625.5 | 25116 | 861 | 388 | 252 | 15251 | 437
2016-07-01 | 8569 | 8005630.0 | 7945237 | 9881756 | 7512751.0 | 26792 | 944 | 401 | 275 | 15968 | 466
2016-10-01 | 10358 | 8079509.5 | 7138999 | 11044821 | 7582244.5 | 27408 | 921 | 388 | 252 | 16058 | 434
2017-01-01 | 6235 | 8145229.0 | 8080127 | 15351844 | 7636140.0 | 27055 | 1231 | 576 | 346 | 15902 | 544
2017-04-01 | 4118 | 8231191.5 | 5989033 | 10740975 | 7695531.0 | 24364 | 1606 | 801 | 480 | 14012 | 703
2017-07-01 | 5078 | 8306592.5 | 8248558 | 12020863 | 7746429.0 | 26998 | 1748 | 895 | 529 | 15461 | 826
2017-10-01 | 5798 | 8387835.0 | 8321062 | 10338952 | 7813487.0 | 32422 | 1717 | 866 | 510 | 18490 | 901
2018-01-01 | 6373 | 8459627.0 | 8220482 | 9886463 | 7872367.0 | 33328 | 1743 | 932 | 574 | 19222 | 1037
