===== q09 (stmt 9) 39 rows
YR | IS_TOTAL | NAT | N | HEAR_ON_AFTER_DET | HEAR_FUTURE | LAWYER_BEFORE | IN_US_10Y | CUST_D | CUST_R | RMV | MED_IDN | FIRST_DET
2019 | 1 | ALL | 2728 | 2050 | 124 | 983 | 693 | 1878 | 847 | 2661 | 7252744.5 | 2019-01-01
2019 | 0 | MX | 930 | 746 | 40 | 340 | 203 | 667 | 263 | 917 | 7216655.5 | 2019-01-01
2019 | 0 | ES | 472 | 343 | 20 | 160 | 103 | 340 | 130 | 461 | 7337987.0 | 2019-01-01
2019 | 0 | GT | 394 | 296 | 18 | 149 | 72 | 275 | 119 | 380 | 7399161.5 | 2019-01-01
2019 | 0 | HO | 362 | 277 | 25 | 120 | 86 | 228 | 133 | 360 | 7339407.5 | 2019-01-01
2019 | 0 | EC | 60 | 49 | 3 | 18 | 8 | 42 | 18 | 59 | 7345561.5 | 2019-01-02
2019 | 0 | BR | 40 | 21 | 5 | 16 | 26 | 21 | 19 | 40 | 5436592.5 | 2019-01-03
2019 | 0 | DR | 36 | 25 | 0 | 10 | 11 | 28 | 8 | 34 | 7248175.5 | 2019-01-03
2019 | 0 | CH | 30 | 16 | 0 | 15 | 8 | 21 | 9 | 28 | 7164618.0 | 2019-01-11
2019 | 0 | RO | 29 | 24 | 1 | 12 | 0 | 19 | 10 | 29 | 7913546.0 | 2019-01-03
2019 | 0 | NU | 27 | 21 | 1 | 12 | 11 | 20 | 7 | 25 | 7089504.0 | 2019-01-04
2019 | 0 | HA | 21 | 16 | 0 | 8 | 8 | 18 | 3 | 20 | 7123041.0 | 2019-01-11
2019 | 0 | IN | 21 | 14 | 1 | 8 | 5 | 15 | 6 | 20 | 7195469.0 | 2019-01-16
2024 | 1 | ALL | 1544 | 1054 | 157 | 680 | 273 | 1189 | 355 | 1513 | 8826705.0 | 2024-01-01
2024 | 0 | MX | 405 | 273 | 38 | 213 | 93 | 321 | 84 | 395 | 8526912.0 | 2024-01-02
2024 | 0 | HO | 295 | 202 | 29 | 117 | 45 | 233 | 62 | 289 | 8917967.0 | 2024-01-01
2024 | 0 | GT | 269 | 173 | 24 | 108 | 26 | 214 | 55 | 266 | 8855648.0 | 2024-01-03
2024 | 0 | ES | 167 | 115 | 10 | 91 | 34 | 140 | 27 | 164 | 8035746.0 | 2024-01-02
2024 | 0 | BR | 49 | 33 | 5 | 17 | 5 | 39 | 10 | 48 | 9710435.0 | 2024-01-02
2024 | 0 | NU | 45 | 34 | 5 | 14 | 1 | 32 | 13 | 45 | 10214127.0 | 2024-01-01
2024 | 0 | CU | 35 | 26 | 7 | 8 | 1 | 18 | 17 | 35 | 9666179.0 | 2024-01-03
2024 | 0 | CO | 29 | 21 | 3 | 7 | 1 | 23 | 6 | 29 | 10324627.0 | 2024-01-12
2024 | 0 | EC | 28 | 23 | 7 | 11 | 1 | 20 | 8 | 26 | 9290869.0 | 2024-01-16
2024 | 0 | IN | 22 | 18 | 2 | 8 | 2 | 12 | 10 | 22 | 8904989.0 | 2024-01-09
2024 | 0 | VE | 22 | 17 | 1 | 2 | 1 | 15 | 7 | 22 | 10226732.5 | 2024-01-09
2024 | 0 | DR | 20 | 10 | 1 | 8 | 5 | 19 | 1 | 19 | 8366876.5 | 2024-01-09
2026 | 1 | ALL | 18567 | 10083 | 5325 | 7694 | 1277 | 16210 | 2352 | 18421 | 11643964.0 | 2026-01-01
2026 | 0 | VE | 3406 | 1696 | 807 | 671 | 10 | 3076 | 328 | 3395 | 12503717.5 | 2026-01-01
2026 | 0 | MX | 2337 | 1202 | 645 | 1174 | 370 | 2127 | 210 | 2319 | 10518128.0 | 2026-01-01
2026 | 0 | HO | 1742 | 814 | 421 | 745 | 180 | 1603 | 139 | 1720 | 10703265.0 | 2026-01-01
2026 | 0 | GT | 1591 | 778 | 418 | 740 | 143 | 1446 | 143 | 1571 | 10097426.0 | 2026-01-01
2026 | 0 | CO | 1197 | 579 | 301 | 315 | 15 | 1057 | 139 | 1194 | 11831128.0 | 2026-01-01
2026 | 0 | NU | 1058 | 475 | 223 | 413 | 13 | 976 | 82 | 1056 | 11336022.0 | 2026-01-01
2026 | 0 | CU | 993 | 688 | 371 | 391 | 29 | 853 | 140 | 990 | 10806155.0 | 2026-01-01
2026 | 0 | EC | 930 | 475 | 212 | 280 | 17 | 763 | 167 | 929 | 12476031.0 | 2026-01-01
2026 | 0 | IN | 749 | 522 | 351 | 499 | 25 | 531 | 218 | 746 | 11597965.0 | 2026-01-01
2026 | 0 | ES | 652 | 314 | 163 | 406 | 158 | 582 | 70 | 635 | 8962391.5 | 2026-01-01
2026 | 0 | PE | 500 | 252 | 130 | 128 | 10 | 425 | 75 | 495 | 11607171.0 | 2026-01-01
2026 | 0 | CH | 394 | 265 | 174 | 268 | 36 | 319 | 75 | 388 | 12327375.0 | 2026-01-02
