===== q10b (stmt 11) 41 rows
MO | DETAINED | OLD_CASE | HEAR_EQ_DET | OLD_HEAR_EQ_DET | OLD_EQ_MASTER | OLD_EQ_INDIV | WEEKEND | OLD_WEEKEND | MAX_OLD_ONE_DAY | DAYS_WITH_OLD
2023-01-01 | 10310 | 273 | 17 | 1 | 1 | 0 | 1391 | 20 | 19 | 31
2023-02-01 | 10681 | 271 | 17 | 0 | 0 | 0 | 1609 | 13 | 19 | 27
2023-03-01 | 12117 | 311 | 3 | 0 | 0 | 0 | 1365 | 13 | 19 | 29
2023-04-01 | 10125 | 259 | 11 | 1 | 0 | 1 | 1554 | 10 | 21 | 26
2023-05-01 | 11519 | 351 | 43 | 0 | 0 | 0 | 1617 | 14 | 24 | 30
2023-06-01 | 12930 | 288 | 54 | 0 | 0 | 0 | 1629 | 10 | 19 | 28
2023-07-01 | 12827 | 328 | 62 | 0 | 0 | 0 | 2101 | 18 | 28 | 28
2023-08-01 | 12741 | 277 | 61 | 0 | 0 | 0 | 1693 | 12 | 15 | 30
2023-09-01 | 9986 | 255 | 38 | 0 | 0 | 0 | 1374 | 19 | 21 | 30
2023-10-01 | 10321 | 281 | 33 | 0 | 0 | 0 | 1465 | 14 | 20 | 30
2023-11-01 | 9713 | 232 | 35 | 0 | 0 | 0 | 1201 | 12 | 17 | 29
2023-12-01 | 10504 | 254 | 22 | 0 | 0 | 0 | 1724 | 13 | 20 | 29
2024-01-01 | 11985 | 262 | 35 | 0 | 0 | 0 | 1234 | 14 | 18 | 31
2024-02-01 | 10589 | 308 | 47 | 0 | 0 | 0 | 1042 | 12 | 22 | 27
2024-03-01 | 10735 | 294 | 47 | 0 | 0 | 0 | 1244 | 14 | 19 | 29
2024-04-01 | 11427 | 339 | 56 | 0 | 0 | 0 | 1075 | 10 | 25 | 28
2024-05-01 | 11985 | 341 | 36 | 0 | 0 | 0 | 1186 | 13 | 21 | 31
2024-06-01 | 10125 | 290 | 69 | 0 | 0 | 0 | 1263 | 18 | 20 | 29
2024-07-01 | 11177 | 374 | 63 | 0 | 0 | 0 | 1162 | 9 | 23 | 29
2024-08-01 | 12221 | 347 | 123 | 0 | 0 | 0 | 1290 | 21 | 22 | 30
2024-09-01 | 11289 | 331 | 32 | 0 | 0 | 0 | 1127 | 25 | 23 | 29
2024-10-01 | 12142 | 410 | 15 | 0 | 0 | 0 | 934 | 21 | 22 | 31
2024-11-01 | 10309 | 386 | 51 | 0 | 0 | 0 | 1114 | 26 | 28 | 30
2024-12-01 | 10710 | 369 | 50 | 0 | 0 | 0 | 1281 | 20 | 26 | 30
2025-01-01 | 12733 | 579 | 38 | 0 | 0 | 0 | 1503 | 48 | 53 | 30
2025-02-01 | 15547 | 975 | 26 | 1 | 1 | 0 | 2063 | 100 | 57 | 28
2025-03-01 | 15465 | 1215 | 5 | 1 | 1 | 0 | 2606 | 152 | 65 | 31
2025-04-01 | 13542 | 1351 | 3 | 0 | 0 | 0 | 1414 | 91 | 83 | 30
2025-05-01 | 14916 | 1639 | 13 | 2 | 1 | 1 | 1772 | 165 | 110 | 31
2025-06-01 | 19158 | 2210 | 16 | 1 | 1 | 0 | 2693 | 287 | 125 | 30
2025-07-01 | 17597 | 2289 | 28 | 10 | 10 | 0 | 1990 | 255 | 123 | 31
2025-08-01 | 17360 | 2309 | 16 | 3 | 3 | 0 | 2982 | 380 | 125 | 31
2025-09-01 | 20022 | 2857 | 15 | 2 | 1 | 1 | 2775 | 387 | 144 | 30
2025-10-01 | 22650 | 4268 | 14 | 4 | 2 | 2 | 2816 | 476 | 213 | 31
2025-11-01 | 20708 | 4084 | 7 | 1 | 1 | 0 | 3709 | 602 | 221 | 30
2025-12-01 | 22155 | 4456 | 12 | 5 | 5 | 0 | 2893 | 507 | 239 | 31
2026-01-01 | 20708 | 4840 | 11 | 3 | 3 | 0 | 3337 | 748 | 258 | 31
2026-02-01 | 17383 | 3892 | 6 | 1 | 1 | 0 | 2646 | 535 | 200 | 28
2026-03-01 | 18318 | 3655 | 10 | 0 | 0 | 0 | 2593 | 473 | 183 | 31
2026-04-01 | 17002 | 3575 | 11 | 1 | 1 | 0 | 1987 | 380 | 170 | 30
2026-05-01 | 15665 | 2605 | 12 | 4 | 3 | 1 | 2556 | 388 | 154 | 30
