===== q11 (stmt 12) 39 rows
MO | STAYS | STAYS_ENTRY_2Y | STAYS_CAT3_IJ | STAYS_BP | MAX_BIN
2023-01-01 | 21726 | 1323 | 445 | 14861 | 2026-03-11
2023-02-01 | 19438 | 1612 | 539 | 12146 | 2026-03-11
2023-03-01 | 21867 | 1809 | 584 | 13537 | 2026-03-11
2023-04-01 | 18630 | 1456 | 477 | 11314 | 2026-03-11
2023-05-01 | 30146 | 1620 | 573 | 21657 | 2026-03-11
2023-06-01 | 23788 | 1608 | 520 | 14835 | 2026-03-11
2023-07-01 | 22574 | 1645 | 507 | 13794 | 2026-03-11
2023-08-01 | 28878 | 1408 | 470 | 19737 | 2026-03-11
2023-09-01 | 24864 | 1255 | 472 | 15670 | 2026-03-11
2023-10-01 | 23921 | 1418 | 482 | 14990 | 2026-03-11
2023-11-01 | 17558 | 1358 | 494 | 9252 | 2026-03-11
2023-12-01 | 20913 | 1349 | 442 | 11756 | 2026-03-11
2024-01-01 | 20348 | 1438 | 488 | 12610 | 2026-03-11
2024-02-01 | 24237 | 1688 | 602 | 15830 | 2026-03-11
2024-03-01 | 21906 | 1656 | 561 | 13213 | 2026-03-11
2024-04-01 | 23812 | 1932 | 554 | 14255 | 2026-03-11
2024-05-01 | 28364 | 1990 | 565 | 18623 | 2026-03-11
2024-06-01 | 24858 | 1731 | 520 | 16714 | 2026-03-11
2024-07-01 | 23463 | 1973 | 593 | 14387 | 2026-03-11
2024-08-01 | 24485 | 1992 | 566 | 15199 | 2026-03-11
2024-09-01 | 21826 | 1905 | 555 | 13354 | 2026-03-11
2024-10-01 | 23410 | 2185 | 618 | 13674 | 2026-03-11
2024-11-01 | 20950 | 2005 | 578 | 12129 | 2026-03-11
2024-12-01 | 21943 | 2091 | 589 | 12828 | 2026-03-11
2025-01-01 | 21667 | 3170 | 849 | 9142 | 2026-03-11
2025-02-01 | 21250 | 5055 | 1349 | 3421 | 2026-03-11
2025-03-01 | 22462 | 5386 | 1371 | 3140 | 2026-03-11
2025-04-01 | 22498 | 5711 | 1411 | 4147 | 2026-03-11
2025-05-01 | 28616 | 7042 | 1552 | 4783 | 2026-03-11
2025-06-01 | 36268 | 9843 | 2024 | 4678 | 2026-03-11
2025-07-01 | 31426 | 8429 | 1694 | 3753 | 2026-03-11
2025-08-01 | 31805 | 8466 | 1599 | 4012 | 2026-03-11
2025-09-01 | 36804 | 9816 | 1702 | 5005 | 2026-03-11
2025-10-01 | 40293 | 11700 | 1745 | 4528 | 2026-03-11
2025-11-01 | 36844 | 10826 | 1534 | 3421 | 2026-03-11
2025-12-01 | 40225 | 12232 | 1601 | 3725 | 2026-03-11
2026-01-01 | 38632 | 11617 | 1283 | 3163 | 2026-03-11
2026-02-01 | 30919 | 9731 | 765 | 2760 | 2026-03-11
2026-03-01 | 10288 | 3406 | 154 | 820 | 2026-03-11
