===== q14 (stmt 15) 7442 rows
ENTITY | CODE | YEAR | REFUGEES_BY_COUNTRY_OF_ORIGIN | WORLD_REGION_ACCORDING_TO_OWID
Latvia | LVA | 2013 | 228 | Europe
Burundi | BDI | 1978 | 148180 | Africa
Nigeria | NGA | 2007 | 13898 | Africa
Philippines | PHL | 2016 | 426 | Asia
Marshall Islands | MHL | 2021 | 7 | Oceania
Burkina Faso | BFA | 1985 | 90 | Africa
Cambodia | KHM | 1977 | 76710 | Asia
Libya | LBY | 2000 | 603 | Africa
Guinea-Bissau | GNB | 1985 | 5350 | Africa
Qatar | QAT | 2004 | 10 | Asia
Cyprus | CYP | 1988 | 11 | Europe
Anguilla | AIA | 2024 | 0 | North America
Saint Kitts and Nevis | KNA | 2011 | 7 | North America
Hong Kong | HKG | 1999 | 17 | Asia
Equatorial Guinea | GNQ | 2024 | 426 | Africa
Malta | MLT | 2003 | 6 | Europe
Uruguay | URY | 1998 | 72 | South America
Venezuela | VEN | 2018 | 21047 | South America
Burundi | BDI | 1988 | 190153 | Africa
North Macedonia | MKD | 2009 | 7921 | Europe
Qatar | QAT | 2015 | 21 | Asia
Vatican | VAT | 2008 | 0 | Europe
Syria | SYR | 2012 | 729011 | Asia
Mauritius | MUS | 2016 | 106 | Africa
Kenya | KEN | 2008 | 9682 | Africa
Guyana | GUY | 2023 | 248 | South America
Afghanistan | AFG | 1991 | 6306301 | Asia
Romania | ROU | 2003 | 8384 | Europe
Nicaragua | NIC | 2016 | 1409 | North America
Trinidad and Tobago | TTO | 2021 | 285 | North America
Philippines | PHL | 1984 | 100000 | Asia
Hungary | HUN | 2008 | 1612 | Europe
China | CHN | 1988 | 265 | Asia
Burkina Faso | BFA | 1996 | 64 | Africa
Iran | IRN | 2004 | 115171 | Asia
Japan | JPN | 2006 | 166 | Asia
Togo | TGO | 1986 | 5 | Africa
Saint Kitts and Nevis | KNA | 2000 | 0 | North America
Botswana | BWA | 2008 | 29 | Africa
Syria | SYR | 1982 | 505 | Asia
Montenegro | MNE | 2015 | 646 | Europe
Ethiopia | ETH | 1987 | 1487663 | Africa
Ethiopia | ETH | 1980 | 2567998 | Africa
Chile | CHL | 2012 | 1145 | South America
Tanzania | TZA | 2008 | 1262 | Africa
Croatia | HRV | 1992 | 168570 | Europe
Panama | PAN | 2001 | 36 | North America
Kyrgyzstan | KGZ | 2002 | 2952 | Asia
Madagascar | MDG | 2022 | 494 | Africa
Gabon | GAB | 1997 | 17 | Africa
Guinea-Bissau | GNB | 1996 | 854 | Africa
Burkina Faso | BFA | 2020 | 15694 | Africa
Guinea-Bissau | GNB | 2000 | 880 | Africa
Italy | ITA | 1994 | 145 | Europe
Germany | DEU | 2000 | 1182 | Europe
Panama | PAN | 2005 | 41 | North America
Djibouti | DJI | 1996 | 18096 | Africa
Nigeria | NGA | 2022 | 391120 | Africa
Oman | OMN | 2013 | 20 | Asia
Namibia | NAM | 2005 | 1221 | Africa
Haiti | HTI | 2019 | 26734 | North America
Turkey | TUR | 1992 | 10089 | Asia
Albania | ALB | 1967 | 4260 | Europe
Somalia | SOM | 2013 | 1121760 | Africa
Dominica | DMA | 2000 | 0 | North America
Malawi | MWI | 2010 | 168 | Africa
Israel | ISR | 2000 | 414 | Asia
Laos | LAO | 2023 | 6551 | Asia
Zimbabwe | ZWE | 1998 | 40 | Africa
Jamaica | JAM | 2000 | 37 | North America
Kenya | KEN | 2007 | 7544 | Africa
Norway | NOR | 2003 | 5 | Europe
Spain | ESP | 1972 | 650 | Europe
East Timor | TLS | 2017 | 13 | Asia
Uruguay | URY | 2020 | 15 | South America
Saint Lucia | LCA | 2024 | 160 | North America
Nigeria | NGA | 2008 | 14170 | Africa
United Arab Emirates | ARE | 2012 | 580 | Asia
Rwanda | RWA | 1978 | 175110 | Africa
Lithuania | LTU | 1996 | 659 | Europe
Indonesia | IDN | 2021 | 13962 | Asia
Eritrea | ERI | 2009 | 209164 | Africa
Kiribati | KIR | 2003 | 15 | Oceania
Vietnam | VNM | 1988 | 440379 | Asia
Romania | ROU | 1970 | 100 | Europe
Hong Kong | HKG | 2013 | 24 | Asia
Barbados | BRB | 2013 | 63 | North America
Oman | OMN | 2023 | 95 | Asia
Montenegro | MNE | 2017 | 704 | Europe
Indonesia | IDN | 2006 | 34722 | Asia
