===== q15 (stmt 16) 28 rows
K | V | N | D
total | all | 12739 | 11121
place | LUMPKIN, GA 31815 | 485 | 485
place | WATONGA, OK 73772 | 414 | 414
place | BALDWIN, MI 49304 | 345 | 345
place | FOLKSTON, GA 31537 | 332 | 331
place | KARNES CITY, TX 78118 | 322 | 320
place | PHILIPSBURG, PA 16866 | 307 | 306
place | PEARSALL, TX 78061 | 300 | 299
place | CONROE, TX 77301 | 290 | 290
place | ANSON, TX 79501 | 287 | 287
place | ALVARADO, TX 76009 | 270 | 270
place | AURORA, CO 80010 | 253 | 252
place | CUSHING, OK 74023 | 222 | 222
place | WINNFIELD, LA 71483 | 214 | 214
place | SANDERSON, FL 32087 | 206 | 205
place | EDEN, TX 76837 | 205 | 205
court | PSD | 984 | 964
court | AUR | 909 | 908
court | CIC | 657 | 656
court | ELZ | 622 | 614
court | OAK | 594 | 594
court | SDC | 570 | 570
court | ADL | 500 | 492
court | DET | 492 | 439
court | HGP | 461 | 457
court | JNA | 457 | 456
court | EPD | 451 | 451
court | MEM | 396 | 370
