===== q16 (stmt 17) 16 rows
K | ZIP | N | LANDED | ZIPS | ZIPS_LANDED | NAMES | TYPES | LAWYER_BEFORE
land |  | 11121 | 10266 | 479 | 183 |  |  | 3604
top | 31815 | 492 | 125 |  | 1 | Stewart Detention Center | Dedicated | 
top | 73772 | 424 | 108 |  | 1 | Diamondback Corr Facility | Non-Dedicated | 
top | 49304 | 351 | 109 |  | 1 | North Lake Correctional Facility | Dedicated | 
top | 16866 | 349 | 136 |  | 2 | Moshannon Valley Correctional | Moshannon Valley Processing Center | Dedicated | 
top | 31537 | 338 | 74 |  | 5 | Annex Folkston IPC | D. Ray James Prison | Main Folkston IPC Drjames | Folkston Main IPC | Folkston D Ray ICE Processing Ctr | Dedicated|Federal | 
top | 78118 | 326 | 71 |  | 4 | Karnes Cty Corr Ctr | Trusted Adult Karnes FSC | Karnes County Residential Center | Karnes County Civil Det. Facility | Family/Youth|Other/Unknown|Federal | 
top | 78061 | 302 | 61 |  | 4 | Frio County Jail | Frio Regional Hospital | South Texas/Pearsall Hold Room | South Texas ICE Processing Center | Dedicated|Hold/Staging|Non-Dedicated|Medical | 
top | 77301 | 293 | 115 |  | 4 | Montgomery Hold Rm | Montgomery Processing Ctr | Montgomery County Jail | Joe Corley Processing Ctr | Dedicated|Non-Dedicated|Hold/Staging | 
top | 79501 | 290 | 68 |  | 2 | Bluebonnet Det Fclty | Anson General Hospital | Non-Dedicated|Medical | 
top | 76009 | 272 | 56 |  | 2 | Prairieland Detention Center | Prairieland Suboffice Hold Room | Hold/Staging|Dedicated | 
top | 80010 | 256 | 69 |  | 3 | BI Incororated, GEO Group Company | Denver Contract Det. Fac. | Denver CDF II | Dedicated|Other/Unknown | 
top | 74023 | 235 | 84 |  | 1 | Cimarron Correctional Facility | Federal | 
top | 71483 | 228 | 83 |  | 1 | Winn Corr Institute | Dedicated | 
top | 32087 | 207 | 40 |  | 1 | Baker C. I. | Other/Unknown | 
top | 76837 | 205 | 48 |  | 4 | Eden Det Center | Eden Det Ctr Hold Room | Eden Hold Room | Eden Detention Ctr | Federal|Hold/Staging|Other/Unknown | 
