-- S01 Columns and types for the five tables
TABLE_NAME | ORDINAL_POSITION | COLUMN_NAME | DATA_TYPE | CHARACTER_MAXIMUM_LENGTH
DIM_COUNTY | 1 | COUNTY_FIPS | TEXT | 16777216
DIM_COUNTY | 2 | STATE_FIPS | TEXT | 16777216
DIM_COUNTY | 3 | COUNTY_NAME | TEXT | 16777216
DIM_COUNTY | 4 | STATE_NAME | TEXT | 16777216
DIM_COUNTY | 5 | POPULATION_2020 | NUMBER | 
DIM_COUNTY | 6 | POP_CENTER_LAT | FLOAT | 
DIM_COUNTY | 7 | POP_CENTER_LON | FLOAT | 
DIM_COUNTY | 8 | VINTAGE | TEXT | 16777216
DIM_DATE | 1 | DATE_DAY | DATE | 
DIM_DATE | 2 | YEAR_NUMBER | NUMBER | 
DIM_DATE | 3 | QUARTER_NUMBER | NUMBER | 
DIM_DATE | 4 | MONTH_NUMBER | NUMBER | 
DIM_DATE | 5 | MONTH_NAME | TEXT | 16777216
DIM_DATE | 6 | DAY_OF_MONTH | NUMBER | 
DIM_DATE | 7 | DAY_OF_WEEK_ISO | NUMBER | 
DIM_DATE | 8 | DAY_NAME | TEXT | 16777216
DIM_DATE | 9 | WEEK_OF_YEAR_ISO | NUMBER | 
DIM_DATE | 10 | YEAR_MONTH | TEXT | 16777216
DIM_DATE | 11 | IS_WEEKEND | BOOLEAN | 
DIM_DATE | 12 | US_FISCAL_YEAR | NUMBER | 
DIM_ZIP_POINT | 1 | ZCTA5 | TEXT | 16777216
DIM_ZIP_POINT | 2 | PRIMARY_COUNTY_FIPS | TEXT | 16777216
DIM_ZIP_POINT | 3 | STATE_FIPS | TEXT | 16777216
DIM_ZIP_POINT | 4 | COUNTY_NAME | TEXT | 16777216
DIM_ZIP_POINT | 5 | STATE_USPS | TEXT | 16777216
DIM_ZIP_POINT | 6 | LAT | FLOAT | 
DIM_ZIP_POINT | 7 | LON | FLOAT | 
DIM_ZIP_POINT | 8 | COUNTY_SPAN | NUMBER | 
DIM_ZIP_POINT | 9 | POINT_METHOD | TEXT | 34
XWALK_HOSPITAL_CCN_EIN | 1 | CCN | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 2 | EIN | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 3 | MATCH_TIER | NUMBER | 
XWALK_HOSPITAL_CCN_EIN | 4 | MATCH_RULE | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 5 | CCN_NAME | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 6 | CCN_ZIP5 | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 7 | EIN_NAME | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 8 | EIN_ZIP5 | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 9 | EIN_NTEE | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 10 | PROPRIETARY_NONPROFIT | TEXT | 16777216
XWALK_HOSPITAL_CCN_EIN | 11 | BUILT_AT | TIMESTAMP_LTZ | 
XWALK_ZCTA_COUNTY | 1 | ZCTA5 | TEXT | 16777216
XWALK_ZCTA_COUNTY | 2 | COUNTY_FIPS | TEXT | 16777216
XWALK_ZCTA_COUNTY | 3 | STATE_FIPS | TEXT | 16777216
XWALK_ZCTA_COUNTY | 4 | COUNTY_NAME | TEXT | 16777216
XWALK_ZCTA_COUNTY | 5 | STATE_USPS | TEXT | 16777216
XWALK_ZCTA_COUNTY | 6 | XWALK_TYPE | TEXT | 16777216
XWALK_ZCTA_COUNTY | 7 | VINTAGE | TEXT | 16777216
(47 rows; csv has all)
