-- S07 UK Companies House: live companies by incorporation month since 2017 (status, accounts, default address, legal form, busiest postcode), plus weeks around 18 Nov 2025 and the same weeks a year earlier
G | P | N | STRIKE | LIQ | NOACC | DORMANT | MICRO | DFLT | LP | LLP | OE | SC | NI | TOP_PC | TOP_PC_N
month | 2017-01-01 | 17541 | 2212 | 477 | 752 | 2023 | 7949 | 124 | 385 | 168 | 0 | 799 | 294 | WC2H9JQ | 125
month | 2017-02-01 | 18451 | 2423 | 555 | 725 | 2017 | 8230 | 114 | 362 | 180 | 0 | 971 | 322 | EC1V2NX | 118
month | 2017-03-01 | 23070 | 2835 | 659 | 900 | 2533 | 10310 | 142 | 507 | 249 | 0 | 1150 | 383 | EC1V2NX | 154
month | 2017-04-01 | 17315 | 2057 | 462 | 760 | 1820 | 7859 | 111 | 401 | 177 | 0 | 801 | 284 | WC2H9JQ | 126
month | 2017-05-01 | 18737 | 2388 | 523 | 904 | 2198 | 8343 | 108 | 534 | 171 | 0 | 831 | 338 | WC2H9JQ | 135
month | 2017-06-01 | 18450 | 2361 | 539 | 830 | 2132 | 8193 | 143 | 489 | 180 | 0 | 877 | 265 | CF148LH | 143
month | 2017-07-01 | 17546 | 2153 | 468 | 770 | 2103 | 7897 | 137 | 368 | 158 | 0 | 805 | 238 | CF148LH | 137
month | 2017-08-01 | 17818 | 2252 | 469 | 780 | 2118 | 8050 | 136 | 343 | 150 | 0 | 880 | 290 | WC2H9JQ | 137
month | 2017-09-01 | 18025 | 2325 | 506 | 690 | 2014 | 8219 | 142 | 264 | 264 | 0 | 853 | 326 | WC1N3AX | 159
month | 2017-10-01 | 19678 | 2676 | 516 | 726 | 2403 | 8906 | 148 | 254 | 208 | 0 | 875 | 347 | EC1V2NX | 157
month | 2017-11-01 | 19355 | 2632 | 524 | 736 | 2381 | 8558 | 169 | 301 | 191 | 0 | 905 | 312 | CF148LH | 169
month | 2017-12-01 | 14575 | 2027 | 416 | 532 | 1761 | 6448 | 129 | 173 | 176 | 0 | 626 | 214 | EC1V2NX | 133
month | 2018-01-01 | 20269 | 3052 | 616 | 619 | 2453 | 9444 | 170 | 197 | 177 | 0 | 970 | 332 | EC1V2NX | 170
month | 2018-02-01 | 20173 | 3134 | 587 | 695 | 2239 | 9241 | 177 | 268 | 185 | 0 | 974 | 358 | CF148LH | 177
month | 2018-03-01 | 22880 | 3295 | 617 | 772 | 2643 | 10453 | 210 | 308 | 220 | 0 | 1116 | 349 | CF148LH | 210
month | 2018-04-01 | 21533 | 3319 | 579 | 588 | 2644 | 10158 | 213 | 141 | 208 | 0 | 1108 | 343 | CF148LH | 213
month | 2018-05-01 | 21993 | 3475 | 637 | 634 | 2711 | 10159 | 189 | 175 | 202 | 0 | 1090 | 338 | CF148LH | 189
month | 2018-06-01 | 20586 | 3323 | 536 | 669 | 2541 | 9601 | 202 | 184 | 230 | 0 | 936 | 370 | CF148LH | 202
month | 2018-07-01 | 20787 | 3395 | 523 | 612 | 2567 | 9825 | 215 | 98 | 198 | 0 | 951 | 284 | CF148LH | 215
month | 2018-08-01 | 20933 | 3307 | 520 | 622 | 2659 | 9845 | 200 | 104 | 159 | 0 | 1089 | 351 | CF148LH | 200
month | 2018-09-01 | 20512 | 3280 | 590 | 633 | 2538 | 9748 | 191 | 81 | 149 | 0 | 911 | 300 | CF148LH | 191
month | 2018-10-01 | 23993 | 3890 | 666 | 752 | 2949 | 11312 | 222 | 117 | 208 | 0 | 1117 | 375 | CF148LH | 222
month | 2018-11-01 | 22764 | 3893 | 617 | 914 | 2854 | 10493 | 259 | 130 | 171 | 0 | 1142 | 339 | CF148LH | 259
