-- S08 UK Companies House: every postcode hosting 1,000+ live companies, with strike-off, overdue-accounts, dormant, newcomer and same-day-burst counts (peer table)
PC | N | A1S | TOP_A1 | TOWN | STRIKE | LIQ | OLD_N | OLD_NOACC | DORMANT | MICRO | NEW25 | POST_IDV | PRIOR_IDV | LP | OE | D0 | D1 | MAXDAY | PEAKDAY
WC2H9JQ | 88424 | 369 | 71-75 SHELTON STREET | LONDON | 4526 | 67 | 38039 | 591 | 10559 | 22064 | 44465 | 19694 | 12692 | 34 | 0 | 1890-03-24 | 2026-06-30 | 266 | 2026-06-17
EC1V2NX | 71618 | 1764 | 128 CITY ROAD | LONDON | 4835 | 128 | 34288 | 542 | 7977 | 20687 | 31754 | 13148 | 11107 | 18 | 0 | 1880-06-03 | 2026-06-30 | 182 | 2026-06-19
N17GU | 37300 | 196 | 20 WENLOCK ROAD | LONDON | 2460 | 120 | 22131 | 345 | 5272 | 12452 | 12863 | 5335 | 4318 | 7 | 0 | 1934-05-14 | 2026-06-30 | 76 | 2026-03-16
EC2A4NE | 30948 | 774 | 3RD FLOOR, 86-90 | LONDON | 2112 | 67 | 13707 | 279 | 1685 | 8977 | 14879 | 5521 | 5403 | 2 | 0 | 1911-08-14 | 2026-06-30 | 100 | 2026-03-09
CF148LH | 29279 | 29274 | PO BOX 4385 | CARDIFF | 23638 | 758 | 19905 | 2048 | 5049 | 8828 | 8204 | 1868 | 5133 | 6 | 0 | 1895-12-20 | 2026-06-20 | 81 | 2025-03-05
W1W5PF | 27092 | 785 | 167-169 GREAT PORTLAND STREET | LONDON | 748 | 44 | 14331 | 93 | 3049 | 8199 | 11132 | 5695 | 2838 | 46 | 1 | 1909-01-01 | 2026-06-30 | 76 | 2025-12-23
IP287DE | 19382 | 1619 | 82A JAMES CARTER ROAD | BURY ST. EDMUNDS | 1294 | 34 | 9184 | 117 | 2471 | 5888 | 8776 | 3829 | 2793 | 30 | 0 | 1947-08-27 | 2026-06-30 | 70 | 2026-06-18
WC1N3AX | 16203 | 203 | 27 OLD GLOUCESTER STREET | LONDON | 1439 | 74 | 11496 | 191 | 3049 | 5402 | 3883 | 1333 | 1555 | 28 | 10 | 1944-01-14 | 2026-06-30 | 59 | 2021-03-31
HR53DJ | 12755 | 3295 | 61 BRIDGE STREET | KINGTON | 768 | 11 | 4859 | 63 | 2040 | 2697 | 7115 | 2208 | 2386 | 22 | 0 | 1962-01-03 | 2026-06-30 | 62 | 2025-08-19
W1W7LT | 10648 | 262 | 85 GREAT PORTLAND STREET | LONDON | 903 | 43 | 7358 | 592 | 1277 | 3952 | 2313 | 66 | 1859 | 497 | 0 | 1901-05-29 | 2026-06-19 | 31 | 2025-05-06
W60NB | 8144 | 49 | 1 LYRIC SQUARE | LONDON | 246 | 0 | 5842 | 28 | 30 | 128 | 1576 | 523 | 777 | 1 | 0 | 1961-12-29 | 2026-06-30 | 23 | 2024-02-10
E62JA | 8022 | 6932 | 182-184 HIGH STREET NORTH | LONDON | 510 | 2 | 1695 | 35 | 494 | 1200 | 5891 | 2910 | 1440 | 0 | 0 | 1984-12-17 | 2026-06-30 | 87 | 2026-01-30
M408WN | 7033 | 747 | UNIT 7 INITIAL BUSINESS CENTRE | MANCHESTER | 293 | 4 | 2096 | 12 | 1740 | 523 | 4565 | 2498 | 943 | 0 | 0 | 1967-02-17 | 2026-06-30 | 139 | 2026-01-30
WC2A2JR | 6700 | 139 | 7 BELL YARD | LONDON | 457 | 27 | 6001 | 112 | 1074 | 3509 | 219 | 46 | 118 | 62 | 0 | 1879-01-02 | 2026-06-29 | 13 | 2024-10-15
EC2A4NA | 6686 | 91 | 66 PAUL STREET | LONDON | 26 | 0 | 910 | 4 | 115 | 576 | 5664 | 5368 | 199 | 4 | 0 | 1953-03-26 | 2026-06-30 | 217 | 2026-06-18
EH39WJ | 6473 | 18 | 50 LOTHIAN ROAD | EDINBURGH | 11 | 3 | 5756 | 4815 | 289 | 99 | 504 | 229 | 257 | 5412 | 0 | 1892-02-24 | 2026-06-29 | 53 | 2015-03-19
E10SG | 6099 | 1652 | 5 BRAYFORD SQUARE | LONDON | 300 | 4 | 2103 | 24 | 559 | 1315 | 3697 | 1908 | 1037 | 2 | 0 | 1935-10-25 | 2026-06-30 | 35 | 2025-12-29
HA47AE | 5916 | 151 | 2ND FLOOR COLLEGE HOUSE | RUISLIP, | 409 | 6 | 2411 | 133 | 1016 | 1198 | 3032 | 1291 | 1178 | 95 | 0 | 1963-08-27 | 2026-06-30 | 21 | 2026-04-15
BR34AB | 5725 | 4 | 37 CROYDON ROAD | BECKENHAM | 113 | 0 | 4800 | 0 | 5170 | 3 | 614 | 142 | 424 | 0 | 0 | 1986-12-11 | 2026-06-30 | 17 | 2025-04-29
WA11RG | 5484 | 21 | 320 FIRECREST COURT | WARRINGTON | 367 | 20 | 4463 | 33 | 32 | 833 | 830 | 357 | 334 | 0 | 0 | 1980-08-22 | 2026-06-30 | 53 | 2007-02-12
EH24AN | 4900 | 69 | 5 SOUTH CHARLOTTE STREET | EDINBURGH | 152 | 4 | 3272 | 1366 | 326 | 1136 | 1349 | 630 | 440 | 1587 | 0 | 1896-07-01 | 2026-06-30 | 40 | 2022-08-15
G21BP | 4441 | 555 | 48 WEST GEORGE STREET | GLASGOW | 277 | 51 | 2768 | 156 | 396 | 1606 | 1428 | 571 | 524 | 116 | 0 | 1898-01-24 | 2026-06-30 | 11 | 2025-11-26
BH166FA | 3624 | 339 | LYTCHETT HOUSE 13 FREELAND PARK | POOLE | 394 | 5 | 2113 | 25 | 415 | 1360 | 1269 | 394 | 529 | 1 | 0 | 1915-04-14 | 2026-06-30 | 10 | 2025-09-03
VG1110 | 3539 | 651 | VISTRA CORPORATE SERVICES CENTRE WICKHAMS CAY II | TORTOLA | 0 | 0 | 3429 | 3421 | 0 | 0 | 74 | 31 | 33 | 0 | 3528 | 2017-11-09 | 2026-06-24 | 88 | 2023-02-02
W1B3HH | 3527 | 179 | 3RD FLOOR SUITE | LONDON | 379 | 24 | 2537 | 97 | 870 | 1038 | 823 | 274 | 337 | 59 | 0 | 1927-12-10 | 2026-06-30 | 10 | 2025-09-15
W1T6EB | 3401 | 459 | SILVERSTREAM HOUSE | LONDON | 330 | 5 | 1657 | 29 | 285 | 1022 | 1448 | 446 | 671 | 0 | 1 | 1972-06-06 | 2026-06-30 | 12 | 2025-02-10
E173NU | 3227 | 268 | SUITE RA01 | LONDON | 127 | 2 | 885 | 9 | 214 | 593 | 2177 | 1200 | 512 | 0 | 0 | 1966-02-10 | 2026-06-30 | 26 | 2026-06-19
W1T2EW | 3128 | 2524 | 60 TOTTENHAM COURT ROAD | LONDON | 134 | 1 | 1090 | 13 | 266 | 744 | 1803 | 821 | 524 | 0 | 0 | 1986-10-16 | 2026-06-30 | 26 | 2026-01-30
ML110QW | 3067 | 15 | 44 MAIN STREET | DOUGLAS | 1 | 0 | 3067 | 3065 | 0 | 1 | 0 | 0 | 0 | 3065 | 0 | 2008-03-04 | 2024-03-28 | 48 | 2014-06-03
RM66AX | 2975 | 2521 | 321-323 HIGH ROAD | ESSEX | 259 | 3 | 1270 | 24 | 384 | 731 | 1521 | 602 | 518 | 0 | 0 | 1998-07-29 | 2026-06-30 | 16 | 2026-01-30
W1W6XH | 2877 | 23 | 101 NEW CAVENDISH STREET | LONDON | 64 | 2 | 2325 | 10 | 539 | 157 | 431 | 179 | 179 | 3 | 0 | 1896-07-03 | 2026-06-30 | 17 | 2023-11-07
M126AE | 2801 | 486 | PICCADILLY BUSINESS CENTRE UNIT C ALDOW ENTERPRISE PARK | MANCHESTER | 274 | 12 | 1485 | 18 | 431 | 834 | 1164 | 341 | 497 | 1 | 0 | 1962-10-25 | 2026-06-30 | 16 | 2025-09-15
BH217SB | 2776 | 55 | C/O SG ACCOUNTING 1 CEDAR OFFICE PARK | WIMBORNE | 114 | 2 | 2161 | 8 | 21 | 2193 | 452 | 205 | 151 | 0 | 0 | 1952-01-10 | 2026-06-29 | 5 | 2023-12-19
NR21AD | 2754 | 38 | LAWRENCE HOUSE | NORWICH | 8 | 2715 | 2734 | 147 | 80 | 1458 | 5 | 3 | 3 | 0 | 0 | 1935-12-30 | 2026-06-25 | 6 | 2018-12-19
E145HU | 2621 | 20 | 5 CHURCHILL PLACE | LONDON | 24 | 0 | 2102 | 39 | 289 | 28 | 399 | 160 | 135 | 39 | 1 | 1901-12-07 | 2026-06-30 | 10 | 2012-09-07
CR02RF | 2585 | 23 | STONEMEAD HOUSE | CROYDON | 4 | 0 | 2541 | 0 | 472 | 1959 | 25 | 8 | 17 | 0 | 0 | 1907-05-08 | 2026-04-21 | 7 | 2017-02-02
CM201YS | 2582 | 231 | C/O AACSL ACCOUNTANTS LTD | HARLOW | 80 | 1 | 1632 | 0 | 20 | 1885 | 721 | 295 | 290 | 0 | 0 | 2003-08-19 | 2026-06-30 | 8 | 2023-08-22
G24JR | 2509 | 57 | 272 BATH STREET | GLASGOW | 223 | 10 | 2165 | 1473 | 211 | 331 | 271 | 58 | 115 | 1471 | 0 | 1901-11-08 | 2026-06-24 | 25 | 2016-03-30
CV24AQ | 2443 | 12 | 7 COPPERFIELD ROAD, COVENTRY | WEST MIDLANDS, ENGLAND | 233 | 0 | 1073 | 1 | 1391 | 12 | 1117 | 448 | 518 | 0 | 0 | 2003-11-05 | 2026-06-30 | 17 | 2026-01-27
N213NA | 2393 | 10 | 1 KINGS AVENUE | LONDON | 115 | 28 | 1941 | 34 | 220 | 840 | 341 | 122 | 155 | 3 | 0 | 1932-06-28 | 2026-06-30 | 7 | 2022-05-05
SS143JJ | 2390 | 58 | 4 CAPRICORN CENTRE | BASILDON | 178 | 398 | 1948 | 42 | 37 | 170 | 346 | 162 | 124 | 0 | 0 | 1964-12-08 | 2026-06-30 | 9 | 2025-11-21
M23WQ | 2366 | 111 | BARTLE HOUSE | MANCHESTER | 189 | 153 | 1126 | 26 | 270 | 564 | 1039 | 407 | 394 | 0 | 0 | 1948-06-22 | 2026-06-30 | 11 | 2025-07-31
EH75JA | 2358 | 18 | SUITE 1 | EDINBURGH | 0 | 1 | 2358 | 2356 | 1 | 0 | 0 | 0 | 0 | 2356 | 0 | 1993-08-04 | 2024-01-04 | 34 | 2012-10-18
EH67BD | 2305 | 537 | SUMMIT HOUSE | EDINBURGH | 74 | 13 | 2128 | 1366 | 316 | 300 | 149 | 48 | 70 | 1362 | 0 | 1957-10-01 | 2026-06-22 | 32 | 2016-03-01
HA71JS | 2263 | 159 | DEVONSHIRE HOUSE | STANMORE | 98 | 60 | 1967 | 7 | 197 | 724 | 220 | 99 | 82 | 0 | 2 | 1931-01-22 | 2026-06-29 | 10 | 2023-09-12
WD171HP | 2256 | 105 | 4TH FLOOR RADIUS HOUSE | WATFORD | 111 | 7 | 1995 | 17 | 168 | 1449 | 189 | 71 | 83 | 5 | 1 | 1930-07-05 | 2026-06-29 | 9 | 2023-04-06
FY45FS | 2239 | 14 | APOLLO HOUSE | WHITEHILLS BUSINESS PARK | 81 | 3 | 2111 | 7 | 8 | 2103 | 100 | 41 | 46 | 0 | 0 | 1963-11-06 | 2026-06-18 | 5 | 2016-06-28
WC2A1HR | 2174 | 46 | SUITE G04 | LONDON | 339 | 1 | 1623 | 32 | 444 | 804 | 429 | 157 | 236 | 0 | 0 | 1976-08-04 | 2026-06-22 | 7 | 2025-04-10
N134BS | 2064 | 122 | 483 GREEN LANES | LONDON | 185 | 9 | 1395 | 22 | 215 | 774 | 558 | 117 | 242 | 11 | 0 | 1907-05-01 | 2026-06-30 | 8 | 2025-05-06
SE83GG | 2033 | 1739 | OFFICE SUITE 29A, 3/F., | LONDON | 178 | 1 | 408 | 11 | 230 | 215 | 1533 | 493 | 481 | 0 | 0 | 1978-12-22 | 2026-06-29 | 28 | 2025-11-25
EC3V0BT | 1985 | 27 | 5TH FLOOR | LONDON | 68 | 0 | 1846 | 2 | 116 | 56 | 110 | 25 | 34 | 0 | 0 | 1937-08-23 | 2026-06-29 | 64 | 2006-08-17
CV12NT | 1982 | 84 | UNION HOUSE | COVENTRY | 122 | 6 | 1639 | 13 | 489 | 841 | 266 | 102 | 94 | 0 | 0 | 1889-05-27 | 2026-06-27 | 5 | 2017-12-12
