-- S17 UK Companies House x PSC: every postcode with 400+ live companies formed in the two windows (18 Nov 2024-30 Jun 2025 vs 18 Nov 2025-30 Jun 2026), with growth and the share controlled by someone living in the UK (peer table)
PC | PRIOR_N | POST_N | PRIOR_UKRES | POST_UKRES | POST_WITH_PSC | POST_TOP_NAT | POST_TOP_NAT_N
WC2H9JQ | 12692 | 19694 | 7340 | 13985 | 19677 | BRITISH | 9936
EC1V2NX | 11107 | 13148 | 7474 | 9120 | 13138 | BRITISH | 6654
W1W5PF | 2838 | 5695 | 2064 | 4176 | 5684 | BRITISH | 2869
EC2A4NE | 5403 | 5521 | 5017 | 5237 | 5512 | BRITISH | 4135
EC2A4NA | 199 | 5368 | 162 | 5136 | 5363 | BRITISH | 4047
N17GU | 4318 | 5335 | 3371 | 3894 | 5313 | BRITISH | 3179
IP287DE | 2793 | 3829 | 2100 | 2688 | 3823 | BRITISH | 1965
E62JA | 1440 | 2910 | 518 | 640 | 2906 | PAKISTANI | 951
M408WN | 943 | 2498 | 150 | 146 | 2493 | EGYPTIAN | 857
HR53DJ | 2386 | 2208 | 636 | 1116 | 2203 | BRITISH | 784
E10SG | 1037 | 1908 | 376 | 882 | 1907 | TURKISH | 617
CF148LH | 5133 | 1868 | 1479 | 1232 | 1795 | PAKISTANI | 433
WC1N3AX | 1555 | 1333 | 750 | 770 | 1332 | BRITISH | 582
HA47AE | 1178 | 1291 | 683 | 687 | 1291 | BRITISH | 507
E173NU | 512 | 1200 | 482 | 1157 | 1200 | BRITISH | 779
W1T2EW | 524 | 821 | 396 | 408 | 819 | BRITISH | 276
WV60SR | 133 | 642 | 25 | 96 | 641 | PAKISTANI | 555
E15NF | 114 | 630 | 82 | 368 | 626 | PAKISTANI | 275
EH24AN | 440 | 630 | 246 | 447 | 630 | BRITISH | 237
RM66AX | 518 | 602 | 279 | 301 | 602 | BRITISH | 214
G21BP | 524 | 571 | 478 | 526 | 571 | BRITISH | 332
N17AA | 298 | 536 | 75 | 51 | 536 | EGYPTIAN | 395
W60NB | 777 | 523 | 358 | 226 | 523 | BRITISH | 196
DN68DA | 87 | 499 | 16 | 317 | 498 | BRITISH | 302
SE83GG | 481 | 493 | 315 | 340 | 472 | BRITISH | 320
CV24AQ | 518 | 448 | 5 | 3 | 447 | CHINESE | 404
W1T6EB | 671 | 446 | 553 | 387 | 445 | BRITISH | 292
M23WQ | 394 | 407 | 380 | 392 | 405 | BRITISH | 267
BH166FA | 529 | 394 | 290 | 281 | 393 | BRITISH | 218
HG11ND | 118 | 389 | 46 | 281 | 382 | BRITISH | 281
N101AB | 139 | 385 | 110 | 340 | 385 | BRITISH | 336
WA11RG | 334 | 357 | 332 | 356 | 357 | BRITISH | 319
IG63SZ | 260 | 344 | 123 | 172 | 344 | BRITISH | 113
M126AE | 497 | 341 | 259 | 166 | 340 | BRITISH | 125
IP11RJ | 190 | 312 | 125 | 235 | 312 | BRITISH | 127
CM201YS | 290 | 295 | 282 | 283 | 295 | NIGERIAN | 166
M45JW | 258 | 287 | 232 | 262 | 286 | BRITISH | 188
PO160EN | 203 | 278 | 197 | 260 | 278 | BRITISH | 210
W1B3HH | 337 | 274 | 106 | 93 | 274 | BRITISH | 72
E81LL | 184 | 274 | 23 | 18 | 274 | CHINESE | 200
W1S4JL | 193 | 258 | 165 | 215 | 258 | BRITISH | 143
E148PX | 260 | 250 | 175 | 195 | 250 | BRITISH | 153
E181HB | 186 | 234 | 13 | 7 | 234 | TURKISH | 216
EH39WJ | 257 | 229 | 7 | 11 | 229 | AMERICAN | 15
CB12GE | 459 | 226 | 4 | 2 | 226 | CHINESE | 201
WC1X0ND | 255 | 222 | 107 | 76 | 222 | BRITISH | 55
B13NJ | 231 | 217 | 208 | 205 | 217 | BRITISH | 149
ST180BF | 227 | 184 | 14 | 7 | 183 | CHINESE | 134
BR34AB | 424 | 142 | 2 | 0 | 142 | CHINESE | 128
N32JU | 532 | 95 | 9 | 4 | 95 | MOROCCAN | 15
W1W7LT | 1859 | 66 | 1158 | 45 | 66 | BRITISH | 41
FY43RL | 422 | 2 | 418 | 2 | 2 | BRITISH | 1
(52 rows; csv has all)
