-- S20 UK PSC x Companies House: every company where a PSC named ELTANTAWY/ELTANTAVY appears (current or ceased), by incorporation month and postcode; ceased and other-PSC counts test the shelf-company-seller explanation
M | POSTCODE | COS | STILL_PSC | ANY_CEASED | WITH_OTHER_PSC_NOW | NOT_ACTIVE | NO_ACCOUNTS | DORMANT | NAME_A | NAME_Z | CATEGORY
2016-06-01 | (not on live register) | 1 | 1 | 0 | 1 | 0 | 0 | 0 |  |  | 
2016-11-01 | (not on live register) | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  |  | 
2018-06-01 | EN61DQ | 1 | 1 | 0 | 0 | 0 | 0 | 0 | DR WAFAA CLINIC LIMITED | DR WAFAA CLINIC LIMITED | Private Limited Company
2018-10-01 | (not on live register) | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  |  | 
2020-03-01 | W93TB | 1 | 1 | 0 | 1 | 0 | 0 | 0 | MTEX PHARMA UK LTD | MTEX PHARMA UK LTD | Private Limited Company
2020-05-01 | M408WN | 2 | 2 | 0 | 0 | 0 | 0 | 2 | G1LDER LTD | SN1FF LTD | Private Limited Company
2020-06-01 | M408WN | 7 | 7 | 0 | 0 | 0 | 0 | 7 | BAMB1 LIMITED | R1TZ LTD | Private Limited Company
2021-08-01 | EC1N8LE | 1 | 1 | 0 | 0 | 0 | 0 | 0 | EXPORYA LTD | EXPORYA LTD | Private Limited Company
2021-10-01 | M408WN | 4 | 0 | 4 | 4 | 0 | 0 | 4 | AHD AL KHADAMAT LTD | KHALED ALI FOR TRADING & SERVICES LTD | Private Limited Company
2021-11-01 | M408WN | 56 | 0 | 56 | 56 | 0 | 0 | 56 | ABDALLAH ZAKI ABDALLAH ABU-HADHOUD FOR TRADING LTD | ZAHIRULLAH FOR TRADING LTD | Private Limited Company
2021-12-01 | M408WN | 200 | 0 | 200 | 200 | 0 | 0 | 200 | A AND M UNITED WORKS LTD LTD | YASIR YAHA ABDULLA FOR TRADING LTD | Private Limited Company
2021-12-01 | WC2H9JQ | 1 | 0 | 1 | 1 | 0 | 0 | 1 | OXLEY CAVENDISH LIMITED | OXLEY CAVENDISH LIMITED | Private Limited Company
2022-02-01 | M408WN | 1 | 0 | 1 | 1 | 0 | 0 | 1 | HEATHBRIDGE TRADING LIMITED | HEATHBRIDGE TRADING LIMITED | Private Limited Company
2022-02-01 | W1W5PF | 1 | 0 | 1 | 1 | 0 | 0 | 1 | EWAN FOR TRADING LTD | EWAN FOR TRADING LTD | Private Limited Company
