-- K02 completeness: company numbers are issued in sequence, so missing numbers inside each year's run show purged companies
Y | CNT | LO | HI | P01 | P99 | MISSING_IN_YEAR | GAP_RUNS | MAXGAP
-1 | 0 |  |  |  |  |  |  | 
1980 | 7074 | 627 | 909404 | 72981.24 | 902143.76 | 30 | 23 | 3
1981 | 6957 | 18633 | 909317 | 80074.07 | 902233.93 | 37 | 18 | 8
1982 | 5818 | 86881 | 909288 | 86938.68 | 902325.96 | 29 | 16 | 5
1983 | 6413 | 19716 | 909224 | 92698.63 | 902405.37 | 28 | 13 | 7
1984 | 6139 | 10816 | 909302 | 99030.89 | 902475.44 | 32 | 18 | 4
1985 | 6566 | 2548 | 908745 | 105101.16 | 902563.84 | 27 | 19 | 3
1986 | 7731 | 111519 | 909098 | 111595.81 | 902626.225 | 19 | 17 | 2
1987 | 8686 | 19436 | 909480 | 119254.36 | 902689.71 | 27 | 17 | 5
1988 | 10978 | 127766 | 909424 | 127875.28 | 902782.2133333333 | 39 | 20 | 4
1989 | 14664 | 47994 | 909269 | 138770.14 | 153143.86 | 25 | 17 | 4
1990 | 15144 | 153166 | 909309 | 153316.94 | 168159.06 | 30 | 23 | 2
1991 | 14701 | 168194 | 909473 | 168340.51 | 182749.49 | 41 | 26 | 5
1992 | 14669 | 182788 | 909211 | 182934.19 | 197309.81 | 44 | 30 | 4
1993 | 14082 | 197337 | 909369 | 197477.31999999998 | 243327.37714290898 | 62 | 30 | 6
1994 | 15607 | 211282 | 909491 | 211437.57 | 226733.43 | 16 | 11 | 5
1995 | 16233 | 15691 | 909493 | 226933.83 | 903603.17 | 20 | 16 | 3
1996 | 16346 | 18829 | 909457 | 242896.96 | 903783.0399999999 | 18 | 12 | 4
1997 | 19354 | 208012 | 909433 | 259050.04 | 903877.7904 | 24 | 22 | 2
1998 | 21155 | 200128 | 909435 | 278222.05 | 299039.95 | 83 | 31 | 17
1999 | 18771 | 299107 | 909449 | 299294.21 | 317746.79 | 66 | 21 | 16
2000 | 18247 | 500 | 909299 | 317944.97 | 336899.03 | 1072 | 98 | 158
2001 | 14375 | 336916 | 909362 | 337065.25 | 774962.40625 | 488 | 144 | 94
2002 | 13860 | 351632 | 909488 | 351777.1 | 365644.9 | 293 | 105 | 20
2003 | 14384 | 365663 | 909474 | 365806.34 | 380025.66 | 121 | 62 | 11
2004 | 15696 | 379793 | 909478 | 380225.46 | 395772.54 | 177 | 76 | 15
2005 | 17325 | 395824 | 909468 | 395996.74999999994 | 413079.25 | 107 | 50 | 12
2006 | 19328 | 413139 | 909490 | 413332.0024 | 432329.22000000003 | 60 | 33 | 8
2007 | 18820 | 432389 | 909482 | 432576.7 | 451105.3 | 87 | 36 | 8
2008 | 14834 | 438238 | 909450 | 451320.84 | 465863.16 | 55 | 12 | 19
2009 | 13465 | 465901 | 909494 | 466035.14999999997 | 906200.95 | 1 | 1 | 1
2010 | 14160 | 479220 | 909460 | 479361.1 | 906354.75 | 20 | 6 | 12
2011 | 14765 | 493235 | 909462 | 493382.14999999997 | 871309.9625000048 | 7 | 5 | 3
2012 | 14169 | 507852 | 909466 | 507993.19 | 907010.3709523808 | 16 | 5 | 12
2013 | 15690 | 521863 | 909471 | 522019.39999999997 | 907317.3125 | 23 | 10 | 7
2014 | 17987 | 537387 | 909454 | 537566.37 | 907628.4076 | 43 | 32 | 3
2015 | 19561 | 555199 | 909475 | 555394.11 | 574606.89 | 43 | 7 | 12
2016 | 21047 | 574646 | 909469 | 574855.97 | 595536.03 | 53 | 5 | 35
2017 | 22408 | 595650 | 909489 | 595873.58 | 617939.42 | 105 | 3 | 81
2018 | 22518 | 618059 | 909485 | 618283.68 | 640454.32 | 103 | 10 | 81
2019 | 22796 | 640585 | 909483 | 640818.46 | 663194.5400000002 | 41 | 10 | 20
2020 | 21929 | 474826 | 1110001 | 663551.7900000002 | 685063.21 | 21 | 4 | 15
2021 | 25692 | 17805 | 909714 | 685479.42 | 710848.5800000001 | 209 | 110 | 13
2022 | 21637 | 710901 | 909914 | 711116.8700000001 | 732369.1300000001 | 49 | 34 | 5
2023 | 22581 | 732387 | 910110 | 732612.31 | 754791.6900000001 | 50 | 16 | 10
2024 | 23835 | 754821 | 910293 | 755058.8500000001 | 778503.15 | 86 | 34 | 13
2025 | 26533 | 498431 | 910478 | 778822.83 | 804908.17 | 44 | 25 | 6
2026 | 18191 | 366572 | 910625 | 805171.41 | 823003.5900000001 | 16 | 5 | 7
 | 16192 | 84 | 904661 | 2454.58 | 70582.43 | 0 | 0 | 
(49 rows)
